Id_kierowcy;Punkty;Id_wyscigu
z31;10;w1
z42;6;w1
z46;4;w1
z13;2;w1
z23;3;w1
z47;1;w1
z31;10;w2
z46;2;w2
z13;6;w2
z18;1;w2
z14;4;w2
z20;3;w2
z31;10;w3
z29;6;w3
z8;4;w3
z42;3;w3
z23;2;w3
z30;1;w3
z31;4;w4
z29;6;w4
z8;10;w4
z46;3;w4
z18;2;w4
z20;1;w4
z31;2;w5
z29;10;w5
z8;6;w5
z42;4;w5
z46;3;w5
z14;1;w5
z31;10;w6
z29;6;w6
z8;4;w6
z42;3;w6
z13;2;w6
z38;1;w6
z29;1;w7
z8;10;w7
z42;6;w7
z13;4;w7
z30;2;w7
z10;3;w7
z31;10;w8
z29;3;w8
z42;6;w8
z13;4;w8
z20;1;w8
z22;2;w8
z29;6;w9
z8;10;w9
z42;4;w9
z46;2;w9
z23;3;w9
z20;1;w9
z29;10;w10
z8;6;w10
z42;4;w10
z23;3;w10
z18;2;w10
z30;1;w10
z29;6;w11
z8;4;w11
z42;10;w11
z18;3;w11
z30;2;w11
z38;1;w11
z31;6;w12
z29;10;w12
z8;4;w12
z42;3;w12
z46;2;w12
z14;1;w12
z31;6;w13
z29;10;w13
z8;3;w13
z46;4;w13
z18;2;w13
z14;1;w13
z31;10;w14
z29;6;w14
z46;4;w14
z22;3;w14
z47;1;w14
z3;2;w14
z31;10;w15
z8;2;w15
z42;6;w15
z23;3;w15
z14;4;w15
z47;1;w15
z31;10;w16
z29;6;w16
z8;4;w16
z42;3;w16
z23;1;w16
z18;2;w16
z31;10;w17
z29;3;w17
z8;6;w17
z42;4;w17
z23;2;w17
z10;1;w17
z31;10;w18
z8;6;w18
z42;4;w18
z33;3;w18
z26;1;w18
z14;2;w18
z31;10;w19
z8;4;w19
z42;6;w19
z46;2;w19
z29;1;w19
z14;3;w19
z31;6;w20
z8;10;w20
z33;4;w20
z20;2;w20
z13;1;w20
z37;3;w20
z8;6;w21
z42;4;w21
z46;10;w21
z29;3;w21
z20;2;w21
z14;1;w21
z31;10;w22
z8;2;w22
z19;6;w22
z23;4;w22
z33;1;w22
z20;3;w22
z31;6;w23
z8;10;w23
z42;4;w23
z26;3;w23
z37;2;w23
z22;1;w23
z31;10;w24
z8;2;w24
z42;6;w24
z23;3;w24
z10;4;w24
z16;1;w24
z31;6;w25
z46;10;w25
z29;4;w25
z26;3;w25
z16;2;w25
z38;1;w25
z31;10;w26
z8;4;w26
z42;2;w26
z46;3;w26
z29;1;w26
z19;6;w26
z31;10;w27
z8;3;w27
z42;4;w27
z46;6;w27
z33;1;w27
z20;2;w27
z31;6;w28
z42;4;w28
z29;10;w28
z19;3;w28
z33;1;w28
z26;2;w28
z42;6;w29
z46;10;w29
z23;4;w29
z13;3;w29
z16;1;w29
z18;2;w29
z31;10;w30
z8;4;w30
z42;6;w30
z46;3;w30
z29;2;w30
z33;1;w30
z31;10;w31
z8;6;w31
z42;2;w31
z29;3;w31
z13;4;w31
z16;1;w31
z31;3;w32
z42;6;w32
z46;4;w32
z19;10;w32
z23;1;w32
z38;2;w32
z31;6;w33
z8;4;w33
z29;10;w33
z33;1;w33
z20;3;w33
z10;2;w33
z31;10;w34
z8;4;w34
z42;2;w34
z46;1;w34
z29;3;w34
z19;6;w34
z31;10;w35
z19;6;w35
z26;4;w35
z10;3;w35
z32;2;w35
z30;1;w35
z31;4;w36
z19;6;w36
z46;10;w36
z18;3;w36
z33;2;w36
z12;1;w36
z31;10;w37
z19;2;w37
z46;6;w37
z8;4;w37
z18;3;w37
z30;1;w37
z31;10;w38
z42;6;w38
z19;3;w38
z46;4;w38
z8;1;w38
z18;2;w38
z31;10;w39
z19;6;w39
z8;4;w39
z33;3;w39
z12;2;w39
z14;1;w39
z31;10;w40
z42;6;w40
z19;4;w40
z46;3;w40
z8;1;w40
z13;2;w40
z31;6;w41
z46;4;w41
z8;10;w41
z20;3;w41
z13;2;w41
z14;1;w41
z31;10;w42
z42;4;w42
z8;6;w42
z26;3;w42
z20;1;w42
z13;2;w42
z31;6;w43
z42;10;w43
z46;3;w43
z26;4;w43
z18;2;w43
z12;1;w43
z31;10;w44
z42;6;w44
z19;4;w44
z33;1;w44
z23;3;w44
z37;2;w44
z31;10;w45
z19;3;w45
z46;2;w45
z8;4;w45
z26;6;w45
z18;1;w45
z31;10;w46
z42;3;w46
z19;6;w46
z46;4;w46
z8;2;w46
z33;1;w46
z31;6;w47
z42;10;w47
z46;4;w47
z8;2;w47
z26;3;w47
z13;1;w47
z31;10;w48
z42;6;w48
z19;4;w48
z46;2;w48
z8;3;w48
z10;1;w48
z31;6;w49
z42;10;w49
z18;2;w49
z20;3;w49
z10;4;w49
z37;1;w49
z31;6;w50
z42;10;w50
z19;3;w50
z8;4;w50
z20;2;w50
z23;1;w50
z31;10;w51
z42;6;w51
z19;3;w51
z26;4;w51
z18;1;w51
z54;2;w51
z31;5;w52
z26;6;w52
z19;8;w52
z46;1;w52
z11;2;w52
z8;10;w52
z20;4;w52
z14;3;w52
z31;3;w53
z26;10;w53
z42;8;w53
z46;5;w53
z11;6;w53
z20;4;w53
z18;2;w53
z33;1;w53
z26;8;w54
z46;2;w54
z11;6;w54
z8;5;w54
z20;1;w54
z14;4;w54
z13;10;w54
z23;3;w54
z31;10;w55
z26;8;w55
z19;2;w55
z42;6;w55
z46;5;w55
z11;3;w55
z8;4;w55
z18;1;w55
z31;10;w56
z19;5;w56
z42;6;w56
z46;4;w56
z11;8;w56
z32;2;w56
z6;3;w56
z43;1;w56
z31;10;w57
z26;8;w57
z42;6;w57
z46;3;w57
z8;4;w57
z20;1;w57
z18;5;w57
z32;2;w57
z31;6;w58
z26;8;w58
z19;10;w58
z42;1;w58
z46;5;w58
z11;4;w58
z8;2;w58
z20;3;w58
z31;10;w59
z26;3;w59
z19;6;w59
z42;4;w59
z46;8;w59
z11;5;w59
z32;2;w59
z37;1;w59
z31;4;w60
z19;8;w60
z42;6;w60
z46;10;w60
z11;5;w60
z18;2;w60
z32;3;w60
z33;1;w60
z31;6;w61
z26;5;w61
z19;8;w61
z42;2;w61
z46;10;w61
z8;4;w61
z32;3;w61
z37;1;w61
z31;5;w62
z26;6;w62
z19;8;w62
z42;10;w62
z8;4;w62
z20;3;w62
z18;1;w62
z6;2;w62
z31;2;w63
z19;10;w63
z11;5;w63
z8;8;w63
z20;6;w63
z18;1;w63
z6;3;w63
z37;4;w63
z31;1;w64
z26;8;w64
z19;6;w64
z46;5;w64
z11;10;w64
z8;4;w64
z20;2;w64
z32;3;w64
z31;10;w65
z26;5;w65
z19;8;w65
z42;6;w65
z11;1;w65
z32;2;w65
z23;3;w65
z28;4;w65
z31;10;w66
z26;8;w66
z19;3;w66
z20;5;w66
z14;6;w66
z13;2;w66
z33;4;w66
z24;1;w66
z31;1;w67
z26;8;w67
z42;10;w67
z8;6;w67
z20;4;w67
z18;5;w67
z6;2;w67
z54;3;w67
z31;10;w68
z42;8;w68
z18;3;w68
z11;6;w68
z19;4;w68
z20;2;w68
z46;5;w68
z8;1;w68
z31;10;w69
z42;5;w69
z18;6;w69
z11;2;w69
z19;8;w69
z20;4;w69
z8;3;w69
z12;1;w69
z31;10;w70
z42;8;w70
z18;6;w70
z11;3;w70
z20;5;w70
z54;4;w70
z46;2;w70
z32;1;w70
z31;10;w71
z42;3;w71
z18;8;w71
z11;5;w71
z19;6;w71
z20;4;w71
z26;1;w71
z46;2;w71
z31;10;w72
z42;8;w72
z18;1;w72
z11;5;w72
z20;6;w72
z54;4;w72
z46;3;w72
z13;2;w72
z42;6;w73
z18;8;w73
z19;5;w73
z20;10;w73
z12;4;w73
z37;1;w73
z6;3;w73
z33;2;w73
z31;10;w74
z42;8;w74
z18;6;w74
z11;4;w74
z19;1;w74
z20;5;w74
z13;3;w74
z32;2;w74
z31;10;w75
z42;8;w75
z18;6;w75
z26;4;w75
z8;3;w75
z13;5;w75
z33;1;w75
z52;2;w75
z31;10;w76
z42;8;w76
z20;5;w76
z26;3;w76
z54;6;w76
z8;2;w76
z37;4;w76
z57;1;w76
z31;10;w77
z42;6;w77
z18;4;w77
z11;8;w77
z19;1;w77
z20;5;w77
z26;2;w77
z8;3;w77
z31;10;w78
z42;6;w78
z18;5;w78
z19;4;w78
z26;8;w78
z8;2;w78
z13;3;w78
z32;1;w78
z31;10;w79
z18;8;w79
z11;6;w79
z19;4;w79
z54;1;w79
z8;5;w79
z32;3;w79
z1;2;w79
z31;10;w80
z42;8;w80
z18;4;w80
z11;6;w80
z19;5;w80
z54;3;w80
z13;1;w80
z1;2;w80
z31;8;w81
z42;6;w81
z26;10;w81
z8;2;w81
z13;4;w81
z12;5;w81
z37;1;w81
z7;3;w81
z31;8;w82
z42;10;w82
z18;6;w82
z19;4;w82
z54;5;w82
z8;3;w82
z13;1;w82
z1;2;w82
z42;10;w83
z18;8;w83
z11;5;w83
z19;4;w83
z26;6;w83
z54;3;w83
z13;2;w83
z12;1;w83
z31;10;w84
z18;6;w84
z11;4;w84
z19;2;w84
z26;3;w84
z54;5;w84
z46;8;w84
z13;1;w84
z31;2;w85
z42;6;w85
z11;5;w85
z19;10;w85
z26;8;w85
z54;3;w85
z46;4;w85
z12;1;w85
z11;6;w86
z26;1;w86
z19;3;w86
z13;10;w86
z42;8;w86
z32;4;w86
z8;5;w86
z7;2;w86
z11;10;w87
z31;2;w87
z19;5;w87
z46;4;w87
z20;8;w87
z33;6;w87
z8;3;w87
z7;1;w87
z11;10;w88
z26;6;w88
z46;5;w88
z20;8;w88
z32;3;w88
z8;1;w88
z12;2;w88
z38;4;w88
z11;10;w89
z31;8;w89
z20;4;w89
z32;2;w89
z33;3;w89
z23;5;w89
z3;6;w89
z55;1;w89
z11;8;w90
z26;10;w90
z19;2;w90
z13;4;w90
z46;5;w90
z20;6;w90
z32;3;w90
z8;1;w90
z11;5;w91
z26;10;w91
z31;2;w91
z19;4;w91
z46;3;w91
z42;1;w91
z32;6;w91
z33;8;w91
z11;10;w92
z31;4;w92
z19;2;w92
z13;3;w92
z20;1;w92
z42;6;w92
z33;8;w92
z8;5;w92
z26;10;w93
z31;8;w93
z46;3;w93
z42;6;w93
z32;4;w93
z8;2;w93
z12;5;w93
z7;1;w93
z31;10;w94
z42;8;w94
z53;6;w94
z35;5;w94
z5;4;w94
z40;3;w94
z11;10;w95
z26;8;w95
z31;6;w95
z13;3;w95
z46;2;w95
z20;4;w95
z18;5;w95
z23;1;w95
z11;8;w96
z26;6;w96
z31;3;w96
z19;10;w96
z13;5;w96
z46;1;w96
z42;2;w96
z18;4;w96
z11;10;w97
z31;4;w97
z19;8;w97
z13;5;w97
z46;3;w97
z18;6;w97
z8;2;w97
z12;1;w97
z26;10;w98
z31;8;w98
z46;6;w98
z20;5;w98
z18;4;w98
z32;2;w98
z33;3;w98
z54;1;w98
z11;8;w99
z26;10;w99
z19;6;w99
z13;5;w99
z20;3;w99
z18;4;w99
z8;2;w99
z7;1;w99
z11;8;w100
z26;5;w100
z19;10;w100
z13;6;w100
z46;3;w100
z20;4;w100
z18;1;w100
z1;2;w100
z11;8;w101
z26;10;w101
z46;2;w101
z42;4;w101
z18;6;w101
z32;5;w101
z23;3;w101
z53;1;w101
z11;6;w102
z26;8;w102
z31;5;w102
z19;10;w102
z13;4;w102
z46;1;w102
z42;3;w102
z18;2;w102
z11;6;w103
z26;10;w103
z31;2;w103
z13;8;w103
z46;1;w103
z18;4;w103
z32;5;w103
z8;3;w103
z11;10;w104
z26;8;w104
z13;5;w104
z46;6;w104
z18;1;w104
z32;2;w104
z12;3;w104
z7;4;w104
z11;10;w105
z31;8;w105
z26;6;w105
z18;5;w105
z19;4;w105
z32;3;w105
z36;2;w105
z7;1;w105
z11;8;w106
z31;3;w106
z12;4;w106
z13;10;w106
z18;6;w106
z19;5;w106
z46;1;w106
z23;2;w106
z11;10;w107
z13;4;w107
z26;8;w107
z42;2;w107
z33;5;w107
z46;6;w107
z8;1;w107
z23;3;w107
z11;8;w108
z31;10;w108
z12;5;w108
z13;1;w108
z26;4;w108
z18;2;w108
z19;6;w108
z32;3;w108
z11;8;w109
z31;10;w109
z12;6;w109
z13;3;w109
z26;5;w109
z42;4;w109
z23;1;w109
z36;2;w109
z11;10;w110
z31;8;w110
z12;5;w110
z13;6;w110
z26;4;w110
z18;3;w110
z42;2;w110
z33;1;w110
z11;10;w111
z31;4;w111
z13;3;w111
z42;5;w111
z19;8;w111
z33;2;w111
z46;1;w111
z8;6;w111
z11;10;w112
z31;8;w112
z12;4;w112
z13;5;w112
z26;6;w112
z19;3;w112
z33;2;w112
z23;1;w112
z11;10;w113
z31;8;w113
z12;4;w113
z13;5;w113
z26;6;w113
z33;2;w113
z20;3;w113
z8;1;w113
z11;4;w114
z31;10;w114
z12;8;w114
z13;6;w114
z42;3;w114
z20;5;w114
z8;2;w114
z55;1;w114
z11;8;w115
z31;10;w115
z12;6;w115
z13;3;w115
z26;4;w115
z33;1;w115
z46;5;w115
z38;2;w115
z11;4;w116
z31;10;w116
z12;8;w116
z13;3;w116
z26;6;w116
z18;5;w116
z20;2;w116
z7;1;w116
z31;1;w117
z12;2;w117
z18;10;w117
z42;5;w117
z33;6;w117
z46;3;w117
z38;8;w117
z8;4;w117
z11;8;w118
z31;6;w118
z12;10;w118
z13;3;w118
z18;5;w118
z42;1;w118
z46;2;w118
z38;4;w118
z31;10;w119
z13;5;w119
z26;8;w119
z18;4;w119
z42;3;w119
z33;1;w119
z20;2;w119
z45;6;w119
z11;8;w120
z31;10;w120
z13;6;w120
