Id_druzyny	Nazwa	Miasto
1	Srebrne Pumy	Olsztyn
2	Srebrne Gazele	Sandomierz
3	Nocne Konie	Kucykowo
4	Szybkie Gazele	Konin
5	Waleczne Sowy	Piaseczno
6	Radosne Konie	Rypin
7	Nieustraszone Owce	Kucykowo
8	Zielone Mewy	Krosno
9	Zwinne Gazele	Turek
10	Silne Foki	Opole
11	Czarne Pumy	Rypin
12	Szybkie Foki	Warka
13	Szybkie Mewy	Bydgoszcz
14	Czarne Delfiny	Konin
15	Zielone Gazele	Sochaczew
16	Srebrne Kotki	Bytom
17	Waleczne Kotki	Gdynia
18	Nieustraszone Foki	Sochaczew
19	Radosne Mewy	Gniezno
20	Silne Sikory	Otwock
21	Nieustraszone Pumy	Piaseczno
22	Szybkie Owce	Chojnice
23	Szybkie Kotki	Sopot
24	Waleczne Sikory	Szczecin
25	Zielone Sowy	Kucykowo
26	Silne Kotki	Leszno
27	Radosne Gazele	Radom
28	Waleczne Gazele	Kucykowo
29	Szybkie Sowy	Ustka
30	Nocne Gazele	Bydgoszcz
31	Silne Owce	Bydgoszcz
32	Waleczne Konie	Gdynia
33	Zwinne Sowy	Warszawa
34	Radosne Sowy	Konin
35	Srebrne Konie	Radom
36	Zielone Kotki	Warszawa
37	Nieustraszone Kotki	Turek
38	Nieustraszone Gazele	Radom
39	Zielone Sikory	Wieliczka
40	Nocne Mewy	Szczecin
41	Zwinne Sikory	Leszno
42	Zielone Konie	Pleszew
43	Zwinne Konie	Gniezno
44	Radosne Pumy	Sopot
45	Waleczne Pumy	Krosno
46	Szybkie Konie	Konin
47	Zielone Pumy	Pleszew
48	Zwinne Mewy	Chojnice
49	Nieustraszone Konie	Sochaczew
50	Silne Delfiny	Turek
51	Radosne Foki	Leszno
52	Czarne Mewy	Bytom
53	Szybkie Sikory	Koszalin
54	Czarne Foki	Chojnice
55	Czarne Sowy	Sopot
56	Srebrne Foki	Radom
57	Srebrne Delfiny	Chojnice
58	Czarne Owce	Wieliczka
59	Zwinne Foki	Kucykowo
60	Czarne Gazele	Bytom
61	Zielone Owce	Radom
62	Nieustraszone Sikory	Malbork
63	Nocne Sikory	Gniezno
64	Radosne Kotki	Leszno
65	Nocne Kotki	Malbork
66	Srebrne Sikory	Bytom
67	Srebrne Owce	Bytom
68	Waleczne Mewy	Sochaczew
69	Czarne Kotki	Kucykowo
70	Zielone Foki	Bytom
71	Radosne Delfiny	Sandomierz
72	Srebrne Mewy	Opole
73	Nieustraszone Delfiny	Piaseczno
74	Silne Gazele	Pleszew
75	Silne Konie	Sopot
76	Zwinne Owce	Leszno
77	Szybkie Delfiny	Radom
78	Nocne Delfiny	Warka
79	Nocne Sowy	Szczecin
80	Srebrne Sowy	Warka
81	Nocne Foki	Katowice
82	Silne Pumy	Malbork
83	Nieustraszone Mewy	Pleszew
84	Nocne Pumy	Opole
85	Zielone Delfiny	Sochaczew
86	Waleczne Owce	Sopot
87	Szybkie Pumy	Piaseczno
88	Nocne Owce	Wieliczka
89	Silne Sowy	Bydgoszcz
90	Radosne Owce	Wieliczka
91	Radosne Sikory	Bydgoszcz
92	Silne Mewy	Turek
93	Waleczne Delfiny	Bydgoszcz
94	Nieustraszone Sowy	Opole
95	Czarne Konie	Siedlce
96	Zwinne Delfiny	Sopot
97	Waleczne Foki	Konin
98	Zwinne Pumy	Wieliczka
99	Czarne Sikory	Malbork
100	Zwinne Kotki	Konin
