Data_meczu	Rodzaj_meczu	Gdzie	Id_druzyny	Nr_licencji	Bramki_zdobyte	Bramki_stracone
2002-10-20	L	D	2	AC6776	0	2
2003-09-20	L	D	2	AC6776	4	4
2005-02-12	L	D	34	AC6776	4	4
2006-02-20	L	W	15	AC6776	1	5
2006-06-09	L	W	62	AC6776	3	5
2006-10-28	P	D	28	AC6776	2	5
2007-06-08	L	D	75	AC6776	5	4
2007-07-02	L	W	76	AC6776	3	1
2007-09-09	L	D	32	AC6776	1	0
2007-12-05	L	D	96	AC6776	4	1
2007-12-09	L	W	69	AC6776	4	2
2008-11-01	L	D	13	AC6776	5	1
2009-01-24	L	W	61	AC6776	4	2
2009-05-10	L	D	31	AC6776	4	3
2010-02-02	L	W	67	AC6776	0	1
2010-10-08	L	W	20	AC6776	4	5
2011-10-29	L	W	12	AC6776	3	5
2002-04-11	L	W	63	AE8520	2	2
2002-08-18	P	W	35	AE8520	1	4
2003-07-20	L	D	71	AE8520	5	4
2004-01-05	L	D	49	AE8520	3	4
2004-02-25	L	D	54	AE8520	0	1
2004-04-18	L	W	80	AE8520	6	1
2004-11-01	L	W	89	AE8520	1	0
2005-07-02	L	D	74	AE8520	6	1
2005-10-07	P	D	5	AE8520	2	3
2005-10-13	P	W	42	AE8520	2	1
2006-11-23	L	W	15	AE8520	1	0
2007-07-31	L	D	10	AE8520	6	0
2008-05-31	L	W	22	AE8520	2	1
2008-07-10	L	D	29	AE8520	2	2
2008-12-06	L	D	86	AE8520	1	1
2009-03-31	L	D	54	AE8520	1	3
2010-02-08	P	D	21	AE8520	2	4
2011-04-06	L	W	43	AE8520	3	3
2011-04-27	L	W	32	AE8520	2	4
2002-10-29	P	W	96	AF0406	5	4
2002-12-14	T	D	38	AF0406	3	1
2005-01-29	L	D	56	AF0406	1	0
2006-03-28	L	W	22	AF0406	4	0
2006-07-28	L	W	1	AF0406	4	1
2006-09-18	L	W	38	AF0406	0	4
2007-02-23	P	D	17	AF0406	5	0
2007-03-17	L	D	54	AF0406	4	0
2007-10-28	L	W	61	AF0406	5	5
2007-12-20	L	W	58	AF0406	5	4
2009-01-13	L	W	31	AF0406	4	3
2009-04-08	L	W	21	AF0406	6	0
2009-12-05	L	D	69	AF0406	0	0
2011-03-12	L	D	70	AF0406	2	5
2002-03-19	L	W	82	AH1813	0	5
2003-03-06	L	D	37	AH1813	0	1
2003-04-13	L	D	77	AH1813	4	0
2003-06-02	L	W	89	AH1813	0	0
2003-07-16	P	W	90	AH1813	0	1
2003-08-21	P	W	47	AH1813	6	5
2003-12-16	L	W	58	AH1813	3	4
2005-03-20	L	D	43	AH1813	3	2
2006-04-04	L	W	69	AH1813	1	1
