Marka_i_model	Rok_produkcji	Cena_zakupu	Nr_rejestracyjny	Przebieg	Data_ostatniego_remontu
Iveco Strails	2006	85900	ERA 210 TR	1200655	2015-01-31
Iveco Strails	2006	85900	ERA 211 TR	1068570	2015-01-25
Iveco Strails	2006	85900	ERA 212 TR	998704	2015-01-24
Iveco Strails	2006	85900	ERA 213 TR	936780	2015-01-24
Iveco Strails	2006	85900	ERA 209 TR	870233	2015-01-30
Mercedes Axor	2007	205000	ERA 223 TR	1260000	2016-04-23
MAN TGA	2007	198000	ERA 217 TR	890200	2016-05-30
Volvo FE	2008	49411	ERA 095 TR	186000	2015-07-25
Volvo FM	2008	58000	ERA 093 TR	306000	2015-09-24
Volvo FMX	2008	84000	ERA 094 TR	266000	2016-01-13
Volvo FH	2008	89000	ERA 092 TR	305000	2015-03-12
Volvo FE	2009	48411	ERA 097 TR	190000	2015-07-25
Iveco 100E	2009	68000	ERA 114 TR	992600	2015-06-02
Volvo FE	2009	49411	ERA 108 TR	186000	2015-07-25
Scania L94	2009	67900	ERA 100 TR	850000	2015-07-09
Volvo FE	2009	65000	ERA 101 TR	740000	2016-01-16
Scania L94	2009	68900	ERA 111 TR	846000	2015-07-09
Volvo FM	2009	59000	ERA 120 TR	302000	2015-09-24
Renault Premium	2009	77000	ERA 110 TR	846000	2016-01-07
Mercedes Atego	2009	85000	ERA 112 TR	946000	2015-01-10
Scania M93	2009	79000	ERA 102 TR	390000	2016-01-10
Scania M93	2009	79000	ERA 302 TR	390000	2016-01-10
Volvo FMX	2009	83000	ERA 096 TR	270000	2016-01-13
Iveco EuroCargo	2009	86133	ERA 104 TR	380000	2015-07-23
Volvo FH	2009	90000	ERA 119 TR	301000	2015-03-12
Mercedes Atego	2009	91000	ERA 106 TR	360000	2015-06-19
MAN TGL	2009	114400	ERA 117 TR	226000	2015-03-10
Volvo FL	2009	134000	ERA 098 TR	482000	2016-01-16
Volvo FL	2009	135000	ERA 109 TR	478000	2016-01-16
DAF LF45	2009	131780	ERA 115 TR	306000	2015-12-27
MAN TGL	2009	159000	ERA 113 TR	403000	2016-11-07
Renault Premium	2009	162800	ERA 107 TR	370000	2015-11-21
MAN TGA41	2009	168800	ERA 116 TR	186300	2015-09-25
MAN TGA33	2009	195370	ERA 105 TR	290000	2016-04-07
DAF CF85	2009	195340	ERA 103 TR	190000	2015-10-01
Mercedes Sided	2009	230000	ERA 099 TR	305000	2015-10-30
Mercedes Actros	2009	291000	ERA 118 TR	166000	2015-10-20
DAF LF45	2010	37000	ERA 132 TR	978000	2015-11-01
DAF LF45	2010	40830	ERA 142 TR	326000	2015-02-27
Volvo FE	2010	66000	ERA 145 TR	736000	2016-01-16
Renault Midlum	2010	60000	ERA 146 TR	99250	2015-08-10
Mercedes Atego	2010	84000	ERA 135 TR	950000	2015-01-25
Iveco 100E	2010	67000	ERA 136 TR	103260	2015-06-02
Renault D10	2010	75300	ERA 141 TR	302000	2015-06-19
Volvo FMX	2010	84000	ERA 340 TR	266000	2016-01-13
Mercedes Atego	2010	92000	ERA 147 TR	356000	2015-06-19
MAN TGL	2010	89000	ERA 394 TR	266000	2016-01-13
DAF CF75	2010	94000	ERA 143 TR	91000	2015-09-21
MAN TGL	2010	113400	ERA 140 TR	230000	2015-03-10
DAF CF65	2010	135000	ERA 133 TR	251000	2015-03-04
Iveco TrakkerEuro5	2010	160000	ERA 214 TR	263000	2015-01-24
Renault Magnum	2010	265000	ERA 227 TR	930000	2015-08-20
Renault Magnum	2010	265000	ERA 228 TR	912000	2015-08-20
Renault Magnum	2010	265000	ERA 226 TR	856000	2015-08-20
Renault Premium	2010	230000	ERA 131 TR	455000	2016-03-10
Mercedes Sided	2010	231000	ERA 144 TR	301000	2015-10-30
Mercedes Actros	2010	257000	ERA 134 TR	164700	2015-10-09
DAF LF45	2011	38000	ERA 161 TR	574000	2015-11-01
Renault R385	2011	56700	ERA 158 TR	290000	2015-08-20
Renault R385	2011	57700	ERA 160 TR	286000	2015-08-20
Renault Midlum	2011	59000	ERA 159 TR	103250	2015-08-10
Renault D10	2011	74300	ERA 157 TR	306000	2015-06-19
Mercedes Actros	2011	210000	ERA 221 TR	780000	2016-04-21
Mercedes Actros	2011	210000	ERA 225 TR	760300	2016-04-21
Mercedes Actros	2011	210000	ERA 220 TR	680000	2016-04-21
Mercedes Actros	2011	210000	ERA 222 TR	655000	2016-04-21
Renault Pelen	2011	220000	ERA 230 TR	731000	2015-08-20
Renault Pelen	2011	220000	ERA 229 TR	685413	2015-08-20
DAF CF85	2011	196340	ERA 162 TR	186000	2015-10-01
Scania R500	2011	245000	ERA 237 TR	720000	2016-04-02
Scania R500	2011	245000	ERA 236 TR	680000	2016-04-02
Scania R500	2011	245000	ERA 238 TR	660000	2016-04-02
Scania R500	2011	245000	ERA 240 TR	630000	2016-04-02
Scania R500	2011	245000	ERA 241 TR	655000	2016-04-02
Scania R500	2011	245000	ERA 239 TR	590000	2016-04-02
DAF LF45	2012	39830	ERA 168 TR	330000	2015-02-27
DAF LF45	2012	48800	ERA 175 TR	268650	2015-04-23
Volvo FM	2012	59000	ERA 173 TR	302000	2015-09-24
Renault Premium	2012	76000	ERA 166 TR	850000	2016-01-07
Iveco EuroCargo	2012	87133	ERA 176 TR	376000	2015-07-23
Volvo FH	2012	110000	ERA 172 TR	201000	2015-03-12
DAF LF45	2012	130780	ERA 169 TR	310000	2015-12-27
MAN TGL	2012	135502	ERA 170 TR	247000	2016-04-16
Iveco STRALIS	2012	145000	ERA 215 TR	386732	2015-02-24
Iveco STRALIS	2012	145000	ERA 216 TR	312680	2015-02-24
Renault Premium	2012	163800	ERA 178 TR	366000	2015-11-21
Scania R420	2012	183000	ERA 232 TR	520000	2016-03-15
Scania R420	2012	183000	ERA 233 TR	530000	2016-03-15
Scania R420	2012	183000	ERA 231 TR	490000	2016-03-15
Scania R420	2012	183000	ERA 234 TR	481000	2016-03-15
Scania R420	2012	183000	ERA 235 TR	454000	2016-03-15
Volvo FH13-500	2012	210000	ERA 248 TR	517000	2016-02-15
MAN TGA33	2012	196370	ERA 177 TR	286000	2016-04-07
Volvo FH13-500	2012	210000	ERA 247 TR	435000	2016-02-15
MAN TGX	2012	210300	ERA 218 TR	417671	2016-05-30
Renault Premium	2012	231000	ERA 174 TR	451000	2016-03-10
DAF XF460	2012	240000	ERA 207 TR	301344	2015-06-30
DAF XF460	2012	240000	ERA 405 TR	315988	2015-06-30
DAF XF460	2012	240000	ERA 204 TR	234760	2015-06-30
DAF XF460	2012	240000	ERA 208 TR	210780	2015-06-30
DAF XF460	2012	240000	ERA 406 TR	198240	2015-06-30
Mercedes Actros	2012	290000	ERA 171 TR	170000	2015-10-20
DAF LF45	2013	47800	ERA 183 TR	272650	2015-04-23
Scania M93	2013	80000	ERA 388 TR	350000	2016-01-10
Scania M93	2013	80000	ERA 188 TR	235000	2016-01-10
DAF CF75	2013	93000	ERA 184 TR	195000	2015-09-21
DAF CF65	2013	136000	ERA 186 TR	247000	2015-03-04
MAN TGL	2013	158000	ERA 185 TR	407000	2016-11-07
DAF XF460	2013	240000	ERA 199 TR	301232	2016-12-15
DAF XF460	2013	240000	ERA 198 TR	289567	2016-12-15
DAF XF460	2013	240000	ERA 200 TR	245211	2016-12-15
DAF XF460	2013	240000	ERA 201 TR	200123	2016-12-15
DAF XF460	2013	240000	ERA 496 TR	235811	2016-12-15
DAF XF460	2013	240000	ERA 497 TR	250021	2016-12-15
DAF XF460	2013	240000	ERA 202 TR	198340	2016-12-15
DAF XF460	2013	240000	ERA 203 TR	189761	2016-12-15
MAN TGS	2013	271000	ERA 187 TR	153000	2015-11-26
MAN TGS	2013	271000	ERA 219 TR	123000	2016-05-30
MAN TGA18	2014	98000	ERA 193 TR	251000	2015-12-06
MAN TGA18	2014	99000	ERA 195 TR	247000	2015-12-06
MAN TGL	2014	136502	ERA 197 TR	243000	2016-04-16
MAN TGA41	2014	167800	ERA 194 TR	190300	2015-09-25
Mercedes Atego	2014	219000	ERA 196 TR	126290	2015-03-20
DAF XF460	2014	240000	ERA 393 TR	183788	2016-11-07
DAF XF460	2014	240000	ERA 494 TR	160198	2016-11-07
DAF XF460	2014	240000	ERA 495 TR	156724	2016-11-07
MAN TGS	2014	270000	ERA 192 TR	157000	2015-11-26
Mercedes Atego	2015	218000	ERA 205 TR	130290	2015-03-20
Mercedes Actros	2015	258000	ERA 206 TR	160700	2015-10-09
Volvo 2015Euro6M	2015	360000	ERA 242 TR	100000	2016-12-30
Volvo 2015Euro6M	2015	360000	ERA 243 TR	115000	2016-12-30
Volvo 2015Euro6M	2015	360000	ERA 244 TR	132000	2016-12-30
Volvo 2015Euro6M	2015	360000	ERA 245 TR	108000	2016-12-30
Volvo 2015Euro6M	2015	360000	ERA 246 TR	140000	2016-12-30
