Id_pakietu	Id_programu	
11	6	
72	284	
20	45	
30	85	
64	235	
22	56	
20	50	
21	52	
70	272	
27	74	
61	220	
19	31	
61	218	
36	105	
37	108	
61	221	
7	14	
19	36	
71	282	
60	209	
67	256	
42	127	
48	152	
33	92	
58	199	
36	103	
51	161	
19	39	
45	141	
55	185	
20	41	
13	22	
40	120	
22	58	
5	12	
70	273	
54	174	
57	194	
69	270	
39	111	
34	97	
59	204	
11	7	
70	276	
71	278	
68	262	
19	34	
69	267	
2	4	
58	196	
40	117	
68	261	
9	17	
62	229	
55	184	
12	24	
58	201	
43	132	
45	146	
39	112	
23	59	
63	232	
3	3	
29	80	
61	225	
44	135	
35	100	
40	115	
8	13	
41	124	
67	254	
53	166	
31	87	
37	106	
65	246	
13	20	
32	89	
2	1	
10	18	
46	147	
40	121	
63	230	
26	69	
11	1	
61	224	
6	11	
11	9	
32	88	
39	113	
4	3	
70	271	
36	104	
15	24	
38	109	
11	3	
65	243	
60	214	
49	155	
33	95	
27	75	
3	1	
66	252	
5	13	
61	219	
15	21	
32	90	
54	177	
54	175	
30	83	
35	101	
47	150	
7	11	
8	15	
30	82	
33	93	
6	13	
69	268	
21	53	
64	234	
7	16	
45	140	
7	13	
53	168	
62	228	
71	280	
12	23	
20	48	
66	250	
60	215	
40	116	
29	81	
56	189	
19	40	
47	151	
30	84	
59	206	
59	203	
57	191	
52	162	
50	159	
1	6	
50	157	
67	258	
2	3	
54	180	
55	183	
55	182	
14	28	
54	176	
60	216	
28	77	
43	130	
12	22	
46	148	
48	153	
51	160	
45	138	
11	8	
23	61	
50	158	
20	46	
28	76	
45	142	
41	122	
6	14	
64	238	
72	285	
55	186	
45	145	
42	128	
17	30	
63	233	
66	248	
56	188	
37	107	
7	12	
25	66	
2	9	
65	244	
5	16	
66	249	
52	164	
12	21	
26	72	
64	237	
54	179	
9	19	
15	20	
42	125	
66	253	
34	98	
11	4	
69	269	
23	60	
45	143	
9	18	
44	136	
16	19	
19	37	
60	211	
54	173	
54	178	
26	73	
44	137	
24	64	
47	149	
10	17	
43	133	
20	44	
22	57	
60	208	
34	99	
1	1	
63	231	
52	163	
8	11	
26	70	
59	207	
53	170	
42	126	
71	283	
12	20	
71	279	
64	242	
34	96	
6	16	
61	226	
19	38	
53	169	
20	43	
23	62	
68	260	
13	21	
53	167	
1	5	
21	55	
55	181	
33	94	
4	9	
66	247	
58	200	
56	190	
64	239	
61	223	
5	11	
14	26	
33	91	
39	114	
53	171	
40	119	
66	251	
60	217	
68	264	
1	8	
8	16	
19	32	
41	123	
13	25	
3	9	
13	24	
61	222	
71	281	
35	102	
56	187	
6	12	
58	197	
64	241	
57	192	
1	4	
53	165	
60	210	
38	110	
20	49	
64	236	
58	198	
64	240	
19	33	
48	154	
43	131	
71	286	
25	68	
67	255	
19	35	
20	42	
69	266	
42	129	
14	27	
21	54	
72	277	
65	245	
1	3	
24	65	
6	15	
60	213	
25	67	
3	4	
1	9	
59	205	
4	1	
45	144	
20	47	
21	51	
28	78	
58	202	
40	118	
14	29	
58	195	
57	193	
31	86	
4	4	
26	71	
43	134	
49	156	
62	227	
68	263	
29	79	
7	15	
8	12	
60	212	
68	259	
67	257	
70	275	
45	139	
70	274
73	61
73	287
73	288
