Numer_zgloszenia	Czas_naprawy	Rodzaj
2	2015-01-01 20:08:15	restart
7	2015-01-02 16:30:15	restart
4	2015-01-02 19:37:03	wymiana
10	2015-01-03 18:25:47	wymiana
11	2015-01-03 22:19:33	restart
12	2015-01-04 05:26:25	wymiana
6	2015-01-04 12:03:47	restart
16	2015-01-04 19:45:58	wymiana
14	2015-01-04 20:50:57	restart
5	2015-01-04 21:25:10	restart
3	2015-01-04 21:30:07	wymiana
19	2015-01-05 00:03:28	restart
11	2015-01-05 04:07:33	wymiana
23	2015-01-05 07:55:07	restart
22	2015-01-05 09:26:44	wymiana
7	2015-01-05 10:59:15	restart
22	2015-01-05 11:28:42	wymiana
10	2015-01-05 13:04:29	wymiana
1	2015-01-05 14:27:57	restart
13	2015-01-05 15:18:17	restart
20	2015-01-05 16:24:34	restart
10	2015-01-05 16:25:47	restart
13	2015-01-05 19:00:13	wymiana
6	2015-01-05 19:00:15	restart
25	2015-01-06 02:13:15	restart
23	2015-01-06 08:12:49	restart
28	2015-01-06 09:02:03	wymiana
10	2015-01-06 09:13:57	wymiana
5	2015-01-06 13:48:26	restart
23	2015-01-06 15:44:51	wymiana
31	2015-01-06 19:13:48	restart
29	2015-01-06 23:15:57	restart
16	2015-01-07 01:42:13	wymiana
14	2015-01-07 04:02:39	wymiana
6	2015-01-07 04:13:12	restart
23	2015-01-07 07:58:32	restart
19	2015-01-07 08:03:33	wymiana
32	2015-01-07 08:29:56	wymiana
32	2015-01-07 09:29:11	wymiana
27	2015-01-07 17:15:40	wymiana
21	2015-01-07 18:17:31	restart
13	2015-01-07 21:47:03	wymiana
26	2015-01-08 06:22:13	restart
22	2015-01-08 11:58:20	restart
16	2015-01-08 12:46:40	restart
14	2015-01-08 15:54:00	wymiana
8	2015-01-08 18:16:15	wymiana
30	2015-01-08 19:55:34	restart
36	2015-01-08 19:55:37	wymiana
19	2015-01-08 20:24:00	wymiana
35	2015-01-08 21:29:49	wymiana
21	2015-01-08 22:17:21	restart
29	2015-01-08 22:22:49	restart
32	2015-01-09 01:56:09	wymiana
42	2015-01-09 03:30:30	restart
14	2015-01-09 03:35:16	wymiana
17	2015-01-09 04:01:57	restart
5	2015-01-09 04:10:28	wymiana
43	2015-01-09 04:36:09	restart
18	2015-01-09 06:21:39	wymiana
14	2015-01-09 09:13:53	wymiana
16	2015-01-09 10:55:47	restart
17	2015-01-09 11:58:19	wymiana
9	2015-01-09 13:56:46	restart
11	2015-01-09 18:28:03	restart
29	2015-01-09 18:58:39	wymiana
22	2015-01-09 21:47:47	restart
35	2015-01-09 22:38:24	restart
15	2015-01-09 23:22:52	restart
35	2015-01-10 01:35:19	wymiana
11	2015-01-10 03:04:29	wymiana
28	2015-01-10 08:47:19	restart
47	2015-01-10 11:22:51	wymiana
43	2015-01-10 11:23:57	restart
44	2015-01-10 11:38:53	wymiana
19	2015-01-10 14:26:47	restart
24	2015-01-10 19:10:36	restart
48	2015-01-10 21:03:25	wymiana
23	2015-01-10 23:43:32	wymiana
29	2015-01-11 00:00:35	wymiana
22	2015-01-11 04:15:21	restart
37	2015-01-11 04:49:13	restart
40	2015-01-11 05:47:27	restart
33	2015-01-11 08:08:29	wymiana
28	2015-01-11 08:30:10	wymiana
38	2015-01-11 09:52:53	wymiana
43	2015-01-11 10:12:00	wymiana
21	2015-01-11 13:44:30	restart
43	2015-01-11 16:16:20	wymiana
32	2015-01-11 19:35:39	wymiana
53	2015-01-11 20:18:36	wymiana
29	2015-01-11 21:43:21	restart
47	2015-01-11 22:20:01	wymiana
41	2015-01-12 05:20:01	wymiana
52	2015-01-12 08:20:57	restart
34	2015-01-12 09:00:13	restart
57	2015-01-12 15:36:48	wymiana
38	2015-01-12 17:18:25	wymiana
43	2015-01-12 20:00:21	restart
35	2015-01-12 22:57:37	restart
61	2015-01-13 02:17:59	wymiana
31	2015-01-13 03:53:24	wymiana
35	2015-01-13 05:42:55	wymiana
56	2015-01-13 06:53:01	wymiana
55	2015-01-13 21:34:00	restart
49	2015-01-13 22:39:13	wymiana
50	2015-01-13 23:09:51	wymiana
45	2015-01-14 05:07:15	restart
54	2015-01-14 09:01:34	restart
61	2015-01-14 16:48:59	wymiana
62	2015-01-14 17:17:33	restart
45	2015-01-14 21:48:58	restart
62	2015-01-15 00:15:46	restart
39	2015-01-15 00:57:41	wymiana
63	2015-01-15 03:17:28	restart
65	2015-01-15 03:20:32	wymiana
49	2015-01-15 06:35:00	restart
50	2015-01-15 08:03:11	restart
60	2015-01-15 12:48:00	restart
61	2015-01-15 18:06:19	wymiana
47	2015-01-15 18:15:32	wymiana
71	2015-01-15 20:31:21	restart
66	2015-01-15 23:16:43	wymiana
47	2015-01-16 01:23:04	restart
46	2015-01-16 01:43:22	restart
67	2015-01-16 03:13:04	wymiana
62	2015-01-16 05:14:30	wymiana
45	2015-01-16 06:42:32	wymiana
77	2015-01-16 11:03:07	restart
65	2015-01-16 12:58:43	wymiana
72	2015-01-16 13:57:06	restart
57	2015-01-16 15:35:44	restart
59	2015-01-16 16:06:16	wymiana
51	2015-01-16 16:24:33	wymiana
58	2015-01-16 16:57:15	restart
60	2015-01-16 17:46:48	wymiana
75	2015-01-16 20:28:26	wymiana
50	2015-01-16 20:32:02	restart
67	2015-01-17 10:33:52	restart
50	2015-01-17 11:52:30	restart
80	2015-01-18 00:50:08	wymiana
67	2015-01-18 00:55:54	wymiana
57	2015-01-18 01:27:14	wymiana
76	2015-01-18 04:10:29	wymiana
85	2015-01-18 04:28:24	wymiana
79	2015-01-18 05:34:11	restart
57	2015-01-18 07:00:10	wymiana
77	2015-01-18 14:04:22	wymiana
69	2015-01-18 18:54:11	wymiana
70	2015-01-18 20:56:39	restart
88	2015-01-19 05:16:50	wymiana
68	2015-01-19 10:23:22	wymiana
73	2015-01-19 10:33:36	wymiana
