data;godzina;czujnik1;czujnik2;czujnik3;czujnik4;czujnik5;czujnik6;czujnik7;czujnik8;czujnik9;czujnik10
2016-01-05;11:11;0,61;-4,98;-1,56;-5,59;-2,80;3,39;2,81;-1,60;1,71;4,53
2016-01-08;07:00;-4,50;2,56;-5,28;-6,02;-5,78;-7,56;-2,48;3,31;-5,40;0,03
2016-01-18;10:12;2,59;-7,29;1,55;6,79;3,87;-7,74;4,52;-4,77;-3,88;-4,25
2016-01-20;00:08;7,76;-7,18;-0,49;-2,23;6,46;3,09;-0,48;-2,84;-1,31;-2,96
2016-01-21;10:02;7,12;5,13;-3,67;-3,50;8,14;-5,31;-0,44;0,87;-5,21;-3,49
2016-01-22;03:11;4,11;0,85;-3,78;-7,40;3,55;-3,54;-3,92;1,50;-3,41;4,67
2016-01-30;01:06;-5,38;5,93;-7,57;4,72;2,64;7,75;-4,35;-6,59;-7,28;7,83
2016-02-05;03:02;3,21;-7,03;-6,63;-2,59;6,44;1,67;7,34;7,78;2,48;-2,82
2016-02-06;02:06;1,94;1,72;-1,91;-5,44;2,11;-2,93;-3,28;-7,12;2,12;7,35
2016-02-06;05:04;8,81;-1,66;2,01;1,63;8,82;4,05;-5,04;8,32;-6,62;-7,35
2016-02-09;08:03;4,00;-6,72;2,43;-2,03;-3,87;-3,70;-7,09;2,88;2,58;-6,66
2016-02-10;06:07;-4,59;5,74;-6,21;-3,63;7,35;-7,64;-5,73;-6,54;-2,43;-1,43
2016-02-10;08:07;-5,82;5,44;-2,47;-5,69;8,43;-6,41;-7,59;4,29;-7,29;8,53
2016-02-13;00:02;8,26;8,50;-7,75;-2,67;6,60;1,58;-3,20;5,46;-4,66;0,50
2016-02-15;04:06;7,43;7,88;-0,11;-2,47;-7,25;7,27;-5,15;-4,85;-4,21;-5,55
2016-02-15;07:02;-7,37;2,31;-0,37;-4,19;-6,75;0,15;0,08;-4,58;-6,18;3,43
2016-02-18;04:06;7,78;1,59;-5,23;-2,54;3,66;-0,80;-2,56;-6,56;-6,35;3,21
2016-02-18;07:00;-5,59;1,44;-6,20;-5,44;1,63;1,55;8,80;0,74;1,70;-3,25
