Nr_ew;Nr_firmowy;Miejscowosc;Nr_rej
1266;B10;Wielka Wola;WI1344
1267;B100;Wielka Wola;WI1254
1268;B105;Wielka Wola;WI1249
1135;B106;Nieszczerzyn;NI1248
1041;B109;Manipulatowo;MA1245
1269;B11;Wielka Wola;WI1343
1136;B114;Nieszczerzyn;NI1240
1192;B121;Piarowa;PI1233
1270;B123;Wielka Wola;WI1231
1193;B126;Piarowa;PI1228
1137;B128;Nieszczerzyn;NI1226
1271;B13;Wielka Wola;WI1341
1138;B132;Nieszczerzyn;NI1222
1042;B135;Manipulatowo;MA1219
1001;B136;Aniolkowo;AN1218
1043;B138;Manipulatowo;MA1216
1139;B14;Nieszczerzyn;NI1340
1044;B140;Manipulatowo;MA1214
1194;B141;Piarowa;PI1213
1045;B142;Manipulatowo;MA1212
1002;B144;Aniolkowo;AN1210
1195;B145;Piarowa;PI1209
1046;B146;Manipulatowo;MA1208
1140;B149;Nieszczerzyn;NI1205
1196;B154;Piarowa;PI1200
1272;B155;Wielka Wola;WI1199
1197;B156;Piarowa;PI1198
1047;B158;Manipulatowo;MA1196
1048;B16;Manipulatowo;MA1338
1049;B160;Manipulatowo;MA1194
1273;B162;Wielka Wola;WI1192
1274;B163;Wielka Wola;WI1191
1003;B164;Aniolkowo;AN1190
1004;B165;Aniolkowo;AN1189
1198;B166;Piarowa;PI1188
1199;B167;Piarowa;PI1187
1275;B169;Wielka Wola;WI1185
1050;B170;Manipulatowo;MA1184
1051;B171;Manipulatowo;MA1183
1276;B175;Wielka Wola;WI1179
1141;B178;Nieszczerzyn;NI1176
1277;B179;Wielka Wola;WI1175
1200;B182;Piarowa;PI1172
1278;B186;Wielka Wola;WI1168
1279;B187;Wielka Wola;WI1167
1201;B19;Piarowa;PI1335
1142;B193;Nieszczerzyn;NI1161
1202;B196;Piarowa;PI1158
1280;B198;Wielka Wola;WI1156
1143;B20;Nieszczerzyn;NI1334
1144;B200;Nieszczerzyn;NI1154
1203;B201;Piarowa;PI1153
1281;B202;Wielka Wola;WI1152
1052;B203;Manipulatowo;MA1151
1282;B204;Wielka Wola;WI1150
1053;B205;Manipulatowo;MA1149
1005;B208;Aniolkowo;AN1146
1054;B210;Manipulatowo;MA1144
1204;B212;Piarowa;PI1142
1145;B213;Nieszczerzyn;NI1141
1055;B215;Manipulatowo;MA1139
1056;B217;Manipulatowo;MA1137
1006;B22;Aniolkowo;AN1332
1205;B222;Piarowa;PI1132
1206;B223;Piarowa;PI1131
1207;B224;Piarowa;PI1130
1057;B226;Manipulatowo;MA1128
1146;B227;Nieszczerzyn;NI1127
1283;B228;Wielka Wola;WI1126
1007;B229;Aniolkowo;AN1125
1058;B23;Manipulatowo;MA1331
1284;B231;Wielka Wola;WI1123
1008;B233;Aniolkowo;AN1121
1059;B234;Manipulatowo;MA1120
1060;B235;Manipulatowo;MA1119
1285;B237;Wielka Wola;WI1117
1208;B239;Piarowa;PI1115
1286;B24;Wielka Wola;WI1330
1287;B241;Wielka Wola;WI1113
1061;B242;Manipulatowo;MA1112
1147;B243;Nieszczerzyn;NI1111
1148;B246;Nieszczerzyn;NI1108
1062;B247;Manipulatowo;MA1107
1063;B25;Manipulatowo;MA1329
1064;B253;Manipulatowo;MA1101
1209;B254;Piarowa;PI1100
1065;B255;Manipulatowo;MA1099
1210;B256;Piarowa;PI1098
1288;B257;Wielka Wola;WI1097
1066;B26;Manipulatowo;MA1328
1067;B263;Manipulatowo;MA1091
1009;B266;Aniolkowo;AN1088
1289;B267;Wielka Wola;WI1087
1068;B269;Manipulatowo;MA1085
1149;B270;Nieszczerzyn;NI1084
1069;B275;Manipulatowo;MA1079
1290;B276;Wielka Wola;WI1078
1211;B277;Piarowa;PI1077
1070;B28;Manipulatowo;MA1326
1291;B280;Wielka Wola;WI1074
1150;B281;Nieszczerzyn;NI1073
1151;B283;Nieszczerzyn;NI1071
1010;B285;Aniolkowo;AN1069
1071;B286;Manipulatowo;MA1068
1011;B288;Aniolkowo;AN1066
1292;B290;Wielka Wola;WI1064
1072;B295;Manipulatowo;MA1059
1073;B296;Manipulatowo;MA1058
1152;B297;Nieszczerzyn;NI1057
1074;B299;Manipulatowo;MA1055
1012;B30;Aniolkowo;AN1324
1293;B300;Wielka Wola;WI1054
1075;B301;Manipulatowo;MA1053
1013;B303;Aniolkowo;AN1051
1014;B305;Aniolkowo;AN1049
1212;B306;Piarowa;PI1048
1294;B307;Wielka Wola;WI1047
1153;B31;Nieszczerzyn;NI1323
1295;B312;Wielka Wola;WI1042
1296;B313;Wielka Wola;WI1041
1297;B315;Wielka Wola;WI1039
1298;B316;Wielka Wola;WI1038
1076;B318;Manipulatowo;MA1036
1015;B319;Aniolkowo;AN1035
1213;B323;Piarowa;PI1031
1299;B324;Wielka Wola;WI1030
1077;B329;Manipulatowo;MA1025
1214;B334;Piarowa;PI1020
1215;B335;Piarowa;PI1019
1216;B336;Piarowa;PI1018
1154;B338;Nieszczerzyn;NI1016
1300;B339;Wielka Wola;WI1015
1301;B34;Wielka Wola;WI1320
1016;B340;Aniolkowo;AN1014
1078;B343;Manipulatowo;MA1011
1217;B347;Piarowa;PI1007
1079;B349;Manipulatowo;MA1005
1080;B350;Manipulatowo;MA1004
1081;B352;Manipulatowo;MA1002
1082;B37;Manipulatowo;MA1317
1155;B39;Nieszczerzyn;NI1315
1017;B40;Aniolkowo;AN1314
1156;B41;Nieszczerzyn;NI1313
1218;B43;Piarowa;PI1311
1302;B45;Wielka Wola;WI1309
1219;B46;Piarowa;PI1308
1303;B48;Wielka Wola;WI1306
1018;B49;Aniolkowo;AN1305
1083;B5;Manipulatowo;MA1349
1084;B50;Manipulatowo;MA1304
1157;B51;Nieszczerzyn;NI1303
1085;B54;Manipulatowo;MA1300
1304;B55;Wielka Wola;WI1299
1019;B60;Aniolkowo;AN1294
1158;B63;Nieszczerzyn;NI1291
1305;B66;Wielka Wola;WI1288
1306;B69;Wielka Wola;WI1285
1086;B7;Manipulatowo;MA1347
1307;B72;Wielka Wola;WI1282
1159;B78;Nieszczerzyn;NI1276
1308;B79;Wielka Wola;WI1275
1309;B82;Wielka Wola;WI1272
1087;B84;Manipulatowo;MA1270
1220;B85;Piarowa;PI1269
1020;B87;Aniolkowo;AN1267
1310;B89;Wielka Wola;WI1265
1088;B93;Manipulatowo;MA1261
1160;B94;Nieszczerzyn;NI1260
1089;B96;Manipulatowo;MA1258
1311;B97;Wielka Wola;WI1257
1161;B98;Nieszczerzyn;NI1256
1090;C1;Manipulatowo;MA1353
1221;C101;Piarowa;PI1253
1222;C102;Piarowa;PI1252
1223;C103;Piarowa;PI1251
1312;C107;Wielka Wola;WI1247
1021;C110;Aniolkowo;AN1244
1022;C111;Aniolkowo;AN1243
1091;C112;Manipulatowo;MA1242
1162;C115;Nieszczerzyn;NI1239
1313;C116;Wielka Wola;WI1238
1163;C119;Nieszczerzyn;NI1235
1023;C12;Aniolkowo;AN1342
1314;C120;Wielka Wola;WI1234
1315;C124;Wielka Wola;WI1230
1164;C131;Nieszczerzyn;NI1223
1092;C133;Manipulatowo;MA1221
1093;C134;Manipulatowo;MA1220
1224;C137;Piarowa;PI1217
1316;C139;Wielka Wola;WI1215
1225;C150;Piarowa;PI1204
1165;C151;Nieszczerzyn;NI1203
1166;C157;Nieszczerzyn;NI1197
1226;C159;Piarowa;PI1195
1094;C172;Manipulatowo;MA1182
1317;C174;Wielka Wola;WI1180
1227;C176;Piarowa;PI1178
1024;C18;Aniolkowo;AN1336
1228;C180;Piarowa;PI1174
1095;C181;Manipulatowo;MA1173
1318;C184;Wielka Wola;WI1170
1167;C185;Nieszczerzyn;NI1169
1096;C191;Manipulatowo;MA1163
1229;C194;Piarowa;PI1160
1168;C195;Nieszczerzyn;NI1159
1097;C199;Manipulatowo;MA1155
1230;C206;Piarowa;PI1148
1098;C207;Manipulatowo;MA1147
1319;C209;Wielka Wola;WI1145
1099;C218;Manipulatowo;MA1136
1231;C221;Piarowa;PI1133
1100;C225;Manipulatowo;MA1129
1232;C236;Piarowa;PI1118
1101;C240;Manipulatowo;MA1114
1320;C244;Wielka Wola;WI1110
1233;C248;Piarowa;PI1106
1234;C249;Piarowa;PI1105
1102;C250;Manipulatowo;MA1104
1235;C252;Piarowa;PI1102
1169;C258;Nieszczerzyn;NI1096
1103;C259;Manipulatowo;MA1095
1321;C262;Wielka Wola;WI1092
1170;C265;Nieszczerzyn;NI1089
1322;C271;Wielka Wola;WI1083
1236;C272;Piarowa;PI1082
1237;C279;Piarowa;PI1075
1025;C282;Aniolkowo;AN1072
1104;C287;Manipulatowo;MA1067
1238;C289;Piarowa;PI1065
1105;C291;Manipulatowo;MA1063
1026;C293;Aniolkowo;AN1061
1171;C294;Nieszczerzyn;NI1060
1172;C298;Nieszczerzyn;NI1056
1239;C302;Piarowa;PI1052
1106;C308;Manipulatowo;MA1046
1173;C310;Nieszczerzyn;NI1044
1240;C314;Piarowa;PI1040
1241;C317;Piarowa;PI1037
1242;C32;Piarowa;PI1322
1323;C320;Wielka Wola;WI1034
1174;C322;Nieszczerzyn;NI1032
1324;C328;Wielka Wola;WI1026
1325;C33;Wielka Wola;WI1321
1175;C330;Nieszczerzyn;NI1024
1176;C331;Nieszczerzyn;NI1023
1243;C333;Piarowa;PI1021
1107;C341;Manipulatowo;MA1013
1108;C342;Manipulatowo;MA1012
1109;C344;Manipulatowo;MA1010
1027;C36;Aniolkowo;AN1318
1244;C4;Piarowa;PI1350
1245;C42;Piarowa;PI1312
1326;C47;Wielka Wola;WI1307
1028;C53;Aniolkowo;AN1301
1327;C56;Wielka Wola;WI1298
1246;C57;Piarowa;PI1297
1110;C59;Manipulatowo;MA1295
1247;C6;Piarowa;PI1348
1177;C61;Nieszczerzyn;NI1293
1328;C68;Wielka Wola;WI1286
1111;C70;Manipulatowo;MA1284
1178;C77;Nieszczerzyn;NI1277
1329;C8;Wielka Wola;WI1346
1248;C80;Piarowa;PI1274
1330;C83;Wielka Wola;WI1271
1029;C86;Aniolkowo;AN1268
1331;C88;Wielka Wola;WI1266
1332;C91;Wielka Wola;WI1263
1333;C92;Wielka Wola;WI1262
1179;C95;Nieszczerzyn;NI1259
1249;C99;Piarowa;PI1255
1334;D104;Wielka Wola;WI1250
1335;D108;Wielka Wola;WI1246
1250;D113;Piarowa;PI1241
1180;D117;Nieszczerzyn;NI1237
1112;D118;Manipulatowo;MA1236
1336;D122;Wielka Wola;WI1232
1113;D125;Manipulatowo;MA1229
1114;D127;Manipulatowo;MA1227
1181;D129;Nieszczerzyn;NI1225
1030;D130;Aniolkowo;AN1224
1182;D143;Nieszczerzyn;NI1211
1251;D147;Piarowa;PI1207
1031;D148;Aniolkowo;AN1206
1183;D15;Nieszczerzyn;NI1339
1337;D152;Wielka Wola;WI1202
1252;D153;Piarowa;PI1201
1115;D161;Manipulatowo;MA1193
1116;D168;Manipulatowo;MA1186
1184;D17;Nieszczerzyn;NI1337
1117;D173;Manipulatowo;MA1181
1118;D177;Manipulatowo;MA1177
1032;D183;Aniolkowo;AN1171
1185;D188;Nieszczerzyn;NI1166
1338;D189;Wielka Wola;WI1165
1253;D190;Piarowa;PI1164
1186;D192;Nieszczerzyn;NI1162
1254;D197;Piarowa;PI1157
1255;D2;Piarowa;PI1352
1119;D21;Manipulatowo;MA1333
1033;D211;Aniolkowo;AN1143
1120;D214;Manipulatowo;MA1140
1256;D216;Piarowa;PI1138
1339;D219;Wielka Wola;WI1135
1034;D220;Aniolkowo;AN1134
1257;D230;Piarowa;PI1124
1258;D232;Piarowa;PI1122
1259;D238;Piarowa;PI1116
1035;D245;Aniolkowo;AN1109
1187;D251;Nieszczerzyn;NI1103
1036;D260;Aniolkowo;AN1094
1340;D261;Wielka Wola;WI1093
1121;D264;Manipulatowo;MA1090
1260;D268;Piarowa;PI1086
1188;D27;Nieszczerzyn;NI1327
1122;D273;Manipulatowo;MA1081
1189;D274;Nieszczerzyn;NI1080
1037;D278;Aniolkowo;AN1076
1341;D284;Wielka Wola;WI1070
1342;D29;Wielka Wola;WI1325
1343;D292;Wielka Wola;WI1062
1344;D3;Wielka Wola;WI1351
1038;D304;Aniolkowo;AN1050
1123;D309;Manipulatowo;MA1045
1124;D311;Manipulatowo;MA1043
1345;D321;Wielka Wola;WI1033
1039;D325;Aniolkowo;AN1029
1346;D326;Wielka Wola;WI1028
1125;D327;Manipulatowo;MA1027
1347;D332;Wielka Wola;WI1022
1348;D337;Wielka Wola;WI1017
1126;D345;Manipulatowo;MA1009
1127;D346;Manipulatowo;MA1008
1349;D348;Wielka Wola;WI1006
1261;D35;Piarowa;PI1319
1262;D351;Piarowa;PI1003
1128;D353;Manipulatowo;MA1001
1129;D38;Manipulatowo;MA1316
1190;D44;Nieszczerzyn;NI1310
1350;D52;Wielka Wola;WI1302
1130;D58;Manipulatowo;MA1296
1263;D62;Piarowa;PI1292
1351;D64;Wielka Wola;WI1290
1264;D65;Piarowa;PI1289
1131;D67;Manipulatowo;MA1287
1132;D71;Manipulatowo;MA1283
1133;D73;Manipulatowo;MA1281
1352;D74;Wielka Wola;WI1280
1191;D75;Nieszczerzyn;NI1279
1353;D76;Wielka Wola;WI1278
1040;D81;Aniolkowo;AN1273
1134;D9;Manipulatowo;MA1345
1265;D90;Piarowa;PI1264
