Nr_ew;Nr_klienta;Wypozyczenie;Zwrot
1003;123184;2015-05-24;2015-06-08
1005;123107;2015-05-29;2015-06-23
1007;123123;2015-01-28;2015-02-13
1010;123134;2015-01-25;2015-01-30
1010;123245;2015-02-27;2015-03-07
1013;123156;2015-05-20;2015-05-23
1018;123282;2015-05-13;2015-05-30
1018;123216;2015-02-14;2015-02-18
1019;123237;2015-05-24;2015-06-21
1020;123116;2015-01-31;2015-02-11
1025;123171;2015-02-20;2015-02-22
1036;123181;2015-03-16;2015-04-09
1037;123230;2015-05-09;2015-06-06
1037;123256;2015-03-27;2015-04-15
1039;123191;2015-02-24;2015-03-17
1040;123235;2015-01-25;2015-02-13
1047;123215;2015-05-28;2015-06-02
1047;123285;2015-01-25;2015-02-14
1051;123205;2015-05-02;2015-05-22
1053;123181;2015-05-09;2015-05-14
1054;123170;2015-01-27;2015-02-10
1055;123102;2015-03-12;2015-03-22
1056;123267;2015-02-01;2015-02-28
1060;123224;2015-01-21;2015-02-08
1060;123244;2015-03-30;2015-04-20
1062;123240;2015-03-04;2015-03-15
1062;123166;2015-02-13;2015-02-14
1066;123252;2015-02-05;2015-03-04
1067;123231;2015-02-06;2015-02-16
1067;123254;2015-01-11;2015-01-21
1072;123106;2015-05-05;2015-06-03
1074;123282;2015-03-24;2015-03-29
1076;123272;2015-03-27;2015-04-25
1081;123173;2015-02-21;2015-02-27
1081;123195;2015-02-09;2015-02-13
1082;123233;2015-05-15;2015-05-20
1083;123196;2015-04-18;2015-04-26
1085;123290;2015-01-22;2015-01-29
1086;123138;2015-02-28;2015-03-24
1093;123130;2015-02-11;2015-03-06
1093;123303;2015-01-06;2015-01-14
1098;123163;2015-01-02;2015-01-15
1100;123186;2015-01-27;2015-02-18
1103;123212;2015-04-15;2015-04-17
1104;123124;2015-04-24;2015-05-12
1107;123212;2015-04-03;2015-04-20
1109;123198;2015-03-03;2015-03-11
1110;123280;2015-04-28;2015-05-24
1112;123202;2015-04-25;2015-05-20
1113;123199;2015-03-17;2015-03-31
1118;123114;2015-01-23;2015-01-28
1119;123152;2015-05-02;2015-05-05
1119;123218;2015-01-14;2015-01-24
1120;123182;2015-01-01;2015-01-05
1122;123292;2015-01-14;2015-02-10
1124;123291;2015-04-03;2015-04-14
1125;123288;2015-03-09;2015-03-13
1127;123201;2015-05-11;2015-05-30
1129;123108;2015-01-24;2015-01-26
1130;123164;2015-04-11;2015-04-13
1130;123271;2015-04-13;2015-05-03
1134;123223;2015-01-14;2015-02-05
1140;123185;2015-01-11;2015-02-02
1141;123141;2015-05-08;2015-05-10
1141;123239;2015-03-20;2015-04-17
1141;123182;2015-01-30;2015-01-31
1144;123102;2015-01-01;2015-01-29
1146;123256;2015-02-17;2015-02-24
1146;123240;2015-05-30;2015-06-13
1151;123280;2015-01-19;2015-02-12
1151;123119;2015-03-31;2015-04-10
1151;123175;2015-04-18;2015-05-09
1152;123223;2015-02-17;2015-02-25
1152;123184;2015-02-01;2015-02-17
1154;123277;2015-02-27;2015-03-07
1157;123104;2015-05-02;2015-05-17
1157;123110;2015-05-18;2015-06-11
1159;123297;2015-02-26;2015-03-03
1159;123271;2015-04-28;2015-04-29
1160;123205;2015-03-09;2015-03-17
1162;123113;2015-03-12;2015-03-28
1165;123246;2015-01-29;2015-02-15
1172;123260;2015-01-04;2015-01-17
1172;123271;2015-01-29;2015-02-11
1173;123221;2015-01-14;2015-01-25
1174;123197;2015-05-30;2015-06-21
1175;123181;2015-01-18;2015-02-01
1176;123229;2015-05-08;2015-05-26
1177;123285;2015-05-09;2015-06-06
1179;123227;2015-02-16;2015-02-28
1179;123297;2015-05-12;2015-05-17
1180;123206;2015-04-21;2015-04-24
1181;123141;2015-04-28;2015-05-11
1183;123288;2015-05-21;2015-05-25
1185;123209;2015-05-04;2015-05-19
1186;123111;2015-03-26;2015-04-21
1187;123224;2015-01-02;2015-01-16
1187;123113;2015-02-14;2015-03-08
1189;123193;2015-05-06;2015-05-07
1189;123233;2015-01-24;2015-02-22
1191;123269;2015-05-11;2015-05-17
1194;123235;2015-02-05;2015-02-13
1196;123291;2015-04-26;2015-05-16
1200;123274;2015-05-26;2015-06-10
1200;123232;2015-03-06;2015-04-03
1204;123135;2015-05-21;2015-06-19
1206;123217;2015-01-01;2015-01-08
1206;123238;2015-01-25;2015-02-10
1207;123287;2015-04-02;2015-04-03
1207;123277;2015-04-24;2015-04-26
1207;123103;2015-02-05;2015-02-08
1207;123299;2015-03-10;2015-03-23
1209;123120;2015-04-02;2015-04-18
1212;123140;2015-02-13;2015-03-13
1213;123207;2015-02-11;2015-02-18
1213;123144;2015-02-03;2015-02-11
1214;123262;2015-03-05;2015-03-29
1215;123295;2015-04-29;2015-05-06
1215;123184;2015-03-28;2015-04-13
1217;123104;2015-02-05;2015-02-26
1220;123119;2015-03-30;2015-04-21
1220;123212;2015-02-19;2015-03-05
1221;123291;2015-04-22;2015-05-17
1221;123237;2015-01-13;2015-01-23
1221;123277;2015-02-04;2015-02-28
1223;123130;2015-02-24;2015-03-19
1224;123185;2015-01-07;2015-02-04
1224;123287;2015-03-06;2015-04-04
1225;123229;2015-01-07;2015-01-13
1231;123243;2015-05-16;2015-05-31
1232;123217;2015-04-08;2015-04-09
1232;123177;2015-01-30;2015-02-02
1235;123118;2015-05-12;2015-05-27
1236;123172;2015-04-05;2015-04-14
1244;123125;2015-03-29;2015-04-10
1246;123296;2015-01-19;2015-01-28
1248;123124;2015-01-14;2015-02-12
1251;123293;2015-01-23;2015-02-14
1253;123252;2015-01-03;2015-01-06
1254;123122;2015-01-24;2015-02-18
1259;123246;2015-01-24;2015-01-29
1261;123126;2015-03-04;2015-03-13
1263;123230;2015-04-24;2015-05-09
1264;123120;2015-01-29;2015-02-12
1265;123177;2015-03-29;2015-04-18
1265;123158;2015-03-05;2015-03-12
1266;123201;2015-04-13;2015-04-20
1267;123131;2015-02-12;2015-02-14
1270;123220;2015-04-20;2015-05-06
1272;123221;2015-04-11;2015-04-16
1273;123277;2015-04-22;2015-05-20
1275;123274;2015-02-09;2015-03-02
1275;123152;2015-01-27;2015-02-08
1279;123185;2015-05-26;2015-05-31
1280;123183;2015-04-15;2015-05-03
1282;123261;2015-01-25;2015-01-27
1282;123267;2015-01-17;2015-01-23
1283;123102;2015-03-12;2015-03-23
1283;123260;2015-03-04;2015-03-11
1287;123233;2015-04-16;2015-05-11
1288;123194;2015-03-29;2015-04-12
1293;123148;2015-05-20;2015-05-26
1295;123274;2015-01-20;2015-01-30
1296;123118;2015-02-23;2015-02-24
1298;123122;2015-01-01;2015-01-06
1298;123204;2015-05-02;2015-05-27
1303;123158;2015-02-11;2015-02-16
1307;123255;2015-03-11;2015-04-02
1307;123132;2015-02-17;2015-03-11
1308;123196;2015-05-12;2015-05-16
1308;123169;2015-05-26;2015-06-07
1308;123187;2015-01-31;2015-02-27
1309;123292;2015-02-01;2015-02-02
