id_perfum	nazwa_p	id_marki	rodzina_zapachow	cena
p_1	Ythde	m_1	orientalna	241
p_2	Ythsas	m_1	kwiatowa	738
p_3	Elov & Musc	m_1	orientalno-drzewna	777
p_4	Iel 7 7	m_1	aromatyczna	327
p_5	Iel  A Doha	m_1	kwiatowa	963
p_6	Ia An	m_1	szyprowo-skorzana	434
p_7	Ia  An	m_1	pudrowa	809
p_8	Pic An	m_1	orientalno-drzewna	271
p_9	Pic  An	m_1	kwiatowo-orientalna	197
p_10	Ate An	m_1	orientalno-drzewna	641
p_11	Ate  Aoud	m_1	szyprowa	606
p_12	Old Aoud	m_1	kwiatowo-orientalna	938
p_13	Old  Aura Maris	m_1	pudrowa	153
p_14	Onou Back	m_1	orientalno-drzewna	262
p_15	Onour Bahre?N	m_1	kwiatowa	664
p_16	Nterl Bambola	m_1	orientalno-drzewna	344
p_17	Nterlu Black 	m_1	szyprowa	319
p_18	Ourn Boise	m_1	orientalno-drzewna	167
p_19	Ourne Capriccio	m_1	kwiatowo-orientalna	766
p_20	Ubilatio Carthage	m_1	kwiatowo-orientalna	298
p_21	Ubilatio Champs	m_1	orientalno-drzewna	449
p_22	Ibrary Ollec Coeur	m_1	szyprowa	938
p_23	Ibrary Ollec D'amore 	m_1	aromatyczna	124
p_24	Ibrary Ollect De Rosine	m_1	kwiatowo-orientalna	494
p_25	Ibrary Ollec Des Heures	m_1	orientalna	824
p_26	Ibrary Ollec Desert	m_1	kwiatowo-drzewna	435
p_27	Ibrary Ollec Dolce	m_1	pudrowa	758
p_28	Ibrary Ollec D'or	m_1	orientalno-drzewna	576
p_29	Ibrary Ollect Durand Couture	m_1	drzewna	396
p_30	Ark  Erba Pura	m_2	kwiatowo-orientalna	555
p_31	Ud U Evil: Good Girl Gone Bad	m_2	kwiatowo-drzewna	498
p_32	Afra Evil: In The City Of Sin	m_2	orientalna	486
p_33	Antal E For Her 	m_2	drzewna	241
p_34	Usc  France	m_3	orientalna	881
p_35	Yrrhe  Gardenia	m_3	orientalna	337
p_36	Mbr Gris	m_4	orientalna	768
p_37	Ois  Heaven, Absinthe Verte 	m_4	orientalno-drzewna	320
p_38	Old E Helene	m_4	skorzana	795
p_39	Rand  Indiana 	m_4	szyprowa	925
p_40	Olang  Jade	m_4	aromatyczna	176
p_41	Ilve Jour	m_4	kwiatowo-orientalna	282
p_42	Refl La Reine	m_4	szyprowa	267
p_43	Anille La Tosca	m_4	orientalna	113
p_44	Etive Label	m_4	aromatyczna	662
p_45	Ube  Le Notre	m_5	drzewna	463
p_46	Uir  Line	m_5	skorzana	621
p_47	Armes U Loup 	m_5	orientalno-drzewna	158
p_48	Une  Malabar	m_5	orientalna lagodna	611
p_49	Ose M Man 	m_5	kwiatowa	466
p_50	L Mariee	m_6	kwiatowa	982
p_51	L Men	m_6	orientalna	826
p_52	L Men	m_6	aromatyczna	671
p_53	O Men	m_6	orientalna	690
p_54	O Mind: Intoxicated	m_6	kwiatowa	543
p_55	S Musc 	m_6	szyprowa	286
p_56	S Nessim	m_6	skorzana	202
p_57	S Nsense	m_6	cytrusowa	676
p_58	B Of Peace	m_6	kwiatowa	260
p_59	B Oman	m_6	kwiatowa	275
p_60	B Oman	m_6	szyprowa	505
p_61	B Oud	m_6	orientalna	232
p_62	C Ouverture	m_6	kwiatowa	774
p_63	C Patchouli	m_6	szyprowa	591
p_64	Ndy Warhol Le Petra	m_7	szyprowa	653
p_65	Ndy Warho Rain	m_7	cytrusowa	913
p_66	Ndy Warhol S Rose	m_7	orientalna lagodna	122
p_67	Ndy Warhol Success  Rouge	m_7	szyprowa	501
p_68	Ndy Warhol  Salata	m_7	kwiatowa	993
p_69	Stor  Sand	m_7	kwiatowa	937
p_70	Entra Santal 	m_7	cytrusowa	990
p_71	Hez  Skin	m_7	aromatyczna	248
p_72	Hina Sling	m_7	kwiatowo-orientalna	822
p_73	Ooper  Soiree	m_7	orientalna	309
p_74	Au De N Ten	m_7	cytrusowa	996
p_75	Ire I Three	m_7	kwiatowa	266
p_76	Adison To Love, Invitation 	m_7	pudrowa	167
p_77	Ew Yor Veil	m_7	pudrowa	262
p_78	Ew Yo Wardasina	m_7	orientalna	600
p_79	Uits D White 	m_7	kwiatowo-orientalna	240
p_80	Ark A Wood	m_7	pudrowa	652
p_81	Erfum Xi	m_7	orientalno-drzewna	592
p_82	Erfumist: Accento	m_7	kwiatowo-orientalna	587
p_83	Iversid: Andante	m_7	aromatyczna	853
p_84	He Scent: Laylati	m_7	kwiatowa	239
p_85	Ur: Melodia	m_8	kwiatowa	525
p_86	Arla : Vivace	m_8	kwiatowo-orientalna	103
p_87	Ise?Que	m_8	kwiatowo-orientalna	222
p_88	Iuli00	m_8	kwiatowa	402
p_89	Am01	m_8	aromatyczna	158
p_90	Ed01	m_8	kwiatowo-orientalna	858
p_91	De01	m_8	kwiatowa	312
p_92	Al01	m_8	kwiatowo-orientalna	799
p_93	Osta01	m_9	cytrusowo-aromatyczna	256
p_94	Ui01	m_9	skorzana	253
p_95	602	m_9	orientalno-drzewna	605
p_96	L B02	m_9	orientalna	592
p_97	Alo 02	m_9	drzewna	367
p_98	Ima02	m_9	kwiatowo-orientalna	802
p_99	Ar03	m_9	kwiatowo-drzewna	537
p_100	803	m_10	orientalna	216
p_101	Apri03	m_10	kwiatowa	445
p_102	 For03	m_11	orientalna	458
p_103	 For 1	m_11	kwiatowo-orientalna	595
p_104	 For1870 	m_11	orientalno-drzewna	419
p_105	 For 2	m_11	kwiatowa	435
p_106	 Fora 	m_11	orientalno-drzewna	806
p_107	 For a Avenue	m_11	kwiatowa	315
p_108	Ventus a Guerre	m_12	owocowa	880
p_109	Oyal Maad	m_12	aromatyczna	311
p_110	Berdeen ac 	m_12	aromatyczna	857
p_111	Cqua FioAcre	m_12	owocowa	617
p_112	Sian Grad	m_12	cytrusowa	259
p_113	Venade 	m_12	owocowa	718
p_114	Ois Du Pado 	m_12	orientalno-drzewna	551
p_115	Edre alouse 	m_12	drzewna	368
p_116	Reed Fam	m_12	wodna	711
p_117	Leurs De amboo Harmony	m_12	kwiatowa	437
p_118	Leurs Deambre 	m_12	kwiatowa	817
p_119	Reen Iriamour 	m_12	aromatyczna	647
p_120	Imalana	m_12	orientalno-drzewna	533
p_121	Mperangereuses, Typical Me 	m_12	wodna	902
p_122	Ris Tuano 	m_12	kwiatowa	352
p_123	Asmin ImperatAoud	m_12	kwiatowa	150
p_124	Ove InAoud	m_12	kwiatowa	263
p_125	Ove Inar	m_12	kwiatowa	876
p_126	Riginalardinal	m_12	orientalno-drzewna	813
p_127	Riginal arfum Fin	m_12	cytrusowa	705
p_128	Oyal Darine 	m_12	orientalna lagodna	557
p_129	Oyalars Esquel	m_12	orientalno-drzewna	250
p_130	Oyal Priather	m_12	kwiatowo-drzewna	688
p_131	Oyal ation Man	m_12	aromatyczna	784
p_132	Ilver Mounaya 	m_12	wodna	146
p_133	Pring ayfair	m_12	kwiatowa	141
p_134	Abarb 	m_12	szyprowo-skorzana	963
p_135	Ubereusebac Royal	m_12	kwiatowa	356
p_136	Ap D'abah 	m_13	aromatyczna	240
p_137	GyBarbare 	m_13	aromatyczna	282
p_138	Iantbda Parfum Fin	m_14	kwiatowa	404
p_139	AcqBengale 	m_14	kwiatowo-drzewna	321
p_140	Arqubereuse	m_14	orientalna	584
p_141	AisBlanc	m_14	orientalna	643
p_142	AjasBlanche	m_14	kwiatowo-orientalna	277
p_143	HirtyBleu	m_15	orientalno-drzewna	244
p_144	CquaBleue 	m_16	aromatyczna	222
p_145	AmaBond	m_16	cytrusowo-aromatyczna	239
p_146	AiBourbon	m_16	kwiatowo-drzewna	231
p_147	AriazionBulgarie 	m_16	orientalno-drzewna	473
p_148	Ystc Extreme 	m_16	orientalna	592
p_149	Yc Oud	m_16	aromatyczna	905
p_150	ACafe	m_16	drzewna	562
p_151	MeCedar 	m_17	szyprowa	761
p_152	EtroCharles 	m_17	aromatyczna	281
p_153	Iamond JubiChypre	m_17	pudrowa	388
p_154	Loralci	m_17	kwiatowa	326
p_155	Olden cje Limitowane	m_17	szyprowa	658
p_156	Asu Nck	m_17	kwiatowo-orientalna	217
p_157	Hul Class	m_17	orientalna	600
p_158	AffroCologne	m_17	orientalna	833
p_159	Hem ElCologne 	m_17	pudrowa	571
p_160	899 HeCouronne 	m_18	aromatyczna	371
p_161	Olycteur 	m_18	orientalno-drzewna	745
p_162	Ake Perfucturne 	m_18	owocowa	154
p_163	Osd Evil: Forbidden Games	m_18	kwiatowo-orientalna	157
p_164	Ed Love, Prohibited 	m_18	orientalno-drzewna	146
p_165	Id: Smoke For The Soul	m_18	aromatyczna	789
p_166	Ida 	m_18	aromatyczna	876
p_167	Olette IDama Bianca	m_19	pudrowa	562
p_168	Ouquet Dde Oman	m_19	kwiatowa	803
p_169	Ameau DeDe Rose 	m_19	zielona	550
p_170	Ardin DeDe Rosine	m_19	kwiatowa	800
p_171	YstiD'enfer 	m_19	skorzana	243
p_172	Rangerides	m_19	cytrusowa	772
p_173	Ose Dedi	m_19	kwiatowa	876
p_174	Ologne D'oud	m_20	cytrusowo-aromatyczna	237
p_175	Uc De Vdu	m_20	aromatyczna	737
p_176	Ougere dula 	m_20	aromatyczna	296
p_177	Ris Desdycja Limitowana	m_20	kwiatowa	165
p_178	Rangers e	m_20	kwiatowo-orientalna	456
p_179	Uelques FleuE	m_20	kwiatowa	510
p_180	Mbree 	m_21	orientalno-drzewna	792
p_181	Ria De 	m_21	kwiatowa	903
p_182	Vene 	m_21	aromatyczna	562
