Dzien;Temperatura;Opad;Kategoria_chmur;Wielkosc_chmur
1;19;0;0;0
2;22;1;C;1
3;23,6;4;C;1
4;23,6;4;C;1
5;22,3;10;C;2
6;20,4;8;C;2
7;18,9;10;C;2
8;18,5;11;C;3
9;19,5;14;C;3
10;21,8;15;C;3
11;24,8;3;C;4
12;27,7;23;C;4
13;29,5;17;C;4
14;29,8;15;C;5
15;28,3;22;C;5
16;25,5;0;0;0
17;22;2;C;1
18;18,9;1;C;1
19;16,9;1;C;1
20;16,3;12;C;2
21;17,1;11;C;2
22;18,7;6;C;2
23;20,2;18;C;2
24;20,8;15;C;3
25;19,9;5;C;3
26;17,5;19;C;4
27;13,9;18;C;4
28;9,9;4;C;4
29;6,4;17;C;5
30;4,2;14;C;5
31;3,6;12;C;5
32;4,6;11;C;5
33;6,6;17;C;5
34;8,7;26;C;5
35;10;0;0;0
36;10,1;3;C;1
37;8,8;3;C;1
38;6,4;5;C;1
39;3,8;11;C;2
40;1,7;6;C;2
41;1;3;C;2
42;2;17;C;3
43;4,6;5;C;3
44;8,2;8;C;3
45;11,8;2;C;4
46;14,7;1;C;4
47;16,3;11;C;4
48;16,3;25;C;5
49;15,2;0;0;0
50;13,6;2;C;1
51;12,5;3;C;1
52;12,5;2;C;1
53;14,1;4;C;2
54;17,1;5;C;2
55;20,9;9;C;2
56;24,5;2;C;3
57;27,3;16;C;3
58;28,4;14;C;3
59;27,8;14;C;3
60;25,9;6;C;4
61;23,4;21;C;4
62;21,2;21;C;5
63;20;0;0;0
64;20,3;4;C;1
65;21,8;6;C;1
66;24;3;C;1
67;26,1;7;C;2
68;27,3;6;C;2
69;26,8;8;C;2
70;24,7;3;C;3
71;21,2;16;C;3
72;17,3;8;C;3
73;13,7;19;C;4
74;11,3;5;C;4
75;10,5;2;C;4
76;11;22;C;5
77;12,5;0;0;0
78;14;2;C;1
79;14,7;4;C;1
80;14,1;5;S;1
81;11,9;8;C;2
82;8,7;6;C;2
83;5,1;3;C;2
84;2,2;1;C;3
85;0,5;5;C;3
86;0,6;13;C;3
87;2,3;4;C;4
88;5;9;C;4
89;7,9;24;C;4
90;10;15;C;5
91;10,9;29;C;5
92;10,3;0;0;0
93;8,7;1;S;1
94;6,7;3;S;1
95;5,3;6;S;1
96;5,2;3;S;2
97;6,8;2;S;2
98;9,8;11;S;2
99;13,7;8;S;3
100;17,7;6;S;3
101;20,8;5;S;3
102;22,4;20;S;4
103;22,5;17;S;4
104;21,2;11;S;4
105;19,5;27;S;5
106;18,1;0;0;0
107;17,8;5;C;1
108;18,9;3;C;1
109;21,3;1;C;1
110;24,5;7;C;2
111;27,5;12;C;2
112;29,5;6;C;2
113;29,9;5;C;3
114;28,6;6;C;3
115;25,9;6;C;3
116;22,6;23;C;4
117;19,7;16;C;4
118;17,8;1;C;4
119;17,3;27;C;5
120;18,2;0;0;0
121;19,8;1;C;1
122;21,4;1;C;1
123;22;6;C;1
124;21,2;9;C;2
125;18,8;7;C;2
126;15,2;12;C;2
127;11,1;15;C;3
128;7,5;10;C;3
129;5,2;5;C;3
130;4,6;23;C;4
131;5,5;11;C;4
132;7,3;23;C;4
133;9,3;16;C;5
134;10,5;21;C;5
135;10,4;0;0;0
136;9;4;S;1
137;6,4;3;S;1
138;3,6;3;S;1
139;1,4;4;S;2
140;0,5;5;S;2
141;1,4;1;S;2
142;3,9;3;S;3
143;7,3;13;S;3
144;10,9;12;S;3
145;13,7;9;S;4
146;15,1;21;S;4
147;15,1;14;S;4
148;13,9;11;S;5
149;12,3;20;S;5
150;11,2;0;0;0
151;11,3;6;C;1
152;12,9;3;C;1
153;16;6;C;1
154;19,8;2;C;2
155;23,6;11;C;2
156;26,4;11;C;2
157;27,7;5;C;3
158;27,2;18;C;3
159;25,5;5;C;3
160;23,1;8;C;4
161;21;22;C;4
162;20;19;C;4
163;20,4;23;C;5
164;22,1;0;0;0
165;24,5;1;S;1
166;26,8;2;S;1
167;28;4;S;1
168;27,7;8;S;2
169;25,6;4;S;2
170;22,3;7;S;2
171;18,4;6;S;3
172;14,9;18;S;3
173;12,5;6;S;3
174;11,7;20;S;4
175;12,3;14;S;4
176;13,7;22;S;4
177;15,2;23;S;5
178;15,9;0;0;0
179;15,1;1;C;1
180;12,9;1;C;1
181;9,6;1;C;1
182;5,9;2;C;2
183;2,8;6;C;2
184;1;9;C;2
185;0,9;6;C;3
186;2,5;1;C;3
187;5;3;C;3
188;7,7;7;C;4
189;9,7;6;C;4
190;10,4;3;C;4
191;9,7;22;C;5
192;8;0;0;0
193;5,9;3;S;1
194;4,4;4;S;1
195;4,2;6;S;1
196;5,6;8;S;2
197;8,6;12;S;2
198;12,5;9;S;2
199;16,4;14;S;3
200;19,5;12;S;3
201;21,2;1;S;3
202;21,3;11;S;4
203;20,1;6;S;4
204;18,4;3;S;4
205;17,1;15;S;5
206;16,9;16;S;5
207;18,2;17;S;5
208;20,7;18;S;5
209;24;13;S;5
210;27,2;27;S;5
211;29,4;0;0;0
212;29,9;2;C;1
213;28,8;4;C;1
214;26,2;2;C;1
215;23,1;11;C;1
216;20,3;1;C;2
217;18,5;7;C;2
218;18,2;10;C;3
219;19,1;10;C;3
220;20,9;1;C;3
221;22,5;4;C;4
222;23,2;12;C;4
223;22,4;7;C;4
224;20;16;C;5
225;16,4;24;C;5
226;12,3;0;0;0
227;8,7;5;S;1
228;6,4;1;S;1
229;5,6;6;S;1
230;6,4;12;S;2
231;8,2;3;S;2
232;10;12;S;2
233;11,1;17;S;3
234;10,9;16;S;3
235;9,3;3;S;3
236;6,6;21;S;4
237;3,6;18;S;4
238;1,2;13;S;4
239;0,2;29;S;5
240;0,9;0;0;0
241;3,2;6;S;1
242;6,6;5;S;1
243;10;2;S;1
244;12,7;8;S;2
245;14,1;1;S;2
246;14;11;S;2
247;12,7;13;S;3
248;11,1;18;S;3
249;10;15;S;3
250;10,1;12;S;4
251;11,7;2;S;4
252;14,8;21;S;4
253;18,7;28;S;5
254;22,5;0;0;0
255;25,4;3;C;1
256;26,8;5;C;1
257;26,5;5;C;1
258;24,9;7;C;2
259;22,6;1;C;2
260;20,7;6;C;2
261;19,9;6;C;3
262;20,4;10;C;3
263;22,3;16;C;3
264;24,8;9;C;4
265;27,2;18;C;4
266;28,6;4;C;4
267;28,4;22;C;5
268;26,5;0;0;0
269;23,3;4;C;1
270;19,5;6;C;1
271;16;6;C;1
272;13,7;9;C;2
273;12,9;7;C;2
274;13,5;1;C;2
275;15;18;C;3
276;16,4;13;C;3
277;17,1;2;C;3
278;16,3;10;C;4
279;14;6;C;4
280;10,5;20;C;4
281;6,7;17;C;5
282;3,5;13;C;5
283;1,6;18;C;5
284;1,4;20;C;5
285;2,8;0;0;0
286;5,2;6;S;1
287;7,7;5;S;1
288;9,6;1;S;1
289;10,1;8;S;2
290;9,3;3;S;2
291;7,4;5;S;2
292;5,1;17;S;3
293;3,5;9;S;3
294;3,2;4;S;3
295;4,6;24;S;4
296;7,5;21;S;4
297;11,3;8;S;5
298;15,2;23;S;5
299;18,3;0;0;0
300;19,9;5;C;1
301;20;4;0;0
302;18,9;5;0;0
303;17,3;2;0;0
304;16;7;0;0
305;15,9;4;0;0
306;17,3;17;0;0
307;20;14;0;0
308;23,4;9;0;0
309;26,8;6;0;0
310;29,1;16;0;0
311;29,8;2;0;0
312;28,8;25;0;0
313;26,4;0;0;0
314;23,4;3;0;0
315;20,7;4;0;0
316;19,1;6;0;0
317;18,9;6;0;0
318;20;5;0;0
319;21,8;4;0;0
320;23,6;7;0;0
321;24,4;12;0;0
322;23,6;5;0;0
323;21,3;3;0;0
324;17,7;21;0;0
325;13,6;18;0;0
326;10;13;0;0
327;7,6;28;0;0
328;6,8;0;0;0
329;7,5;2;0;0
330;9,1;2;0;0
331;10,9;6;0;0
332;11,8;11;0;0
333;11,5;9;0;0
334;9,7;7;0;0
335;6,9;17;0;0
336;3,8;1;0;0
337;1,2;2;0;0
338;0,1;15;0;0
339;0,6;21;0;0
340;2,8;8;0;0
341;6;27;0;0
342;9,3;0;0;0
343;11,8;1;0;0
344;13,1;4;0;0
345;12,9;1;0;0
346;11,6;2;0;0
347;9,9;3;0;0
348;8,7;8;0;0
349;8,8;18;0;0
350;10,5;15;0;0
351;13,5;1;0;0
352;17,5;22;0;0
353;21,4;4;0;0
354;24,4;4;0;0
355;25,8;11;0;0
356;25,6;25;0;0
357;24,1;0;0;0
358;22;4;0;0
359;20,3;4;0;0
360;19,6;1;0;0
361;20,3;11;0;0
362;22,3;12;0;0
363;25;2;0;0
364;27,5;4;0;0
365;29,1;18;0;0
366;29;2;0;0
367;27,2;19;0;0
368;24,1;16;0;0
369;20,4;24;0;0
370;17,1;24;0;0
371;14,9;0;0;0
372;14,1;3;0;0
373;14,8;6;0;0
374;16,3;6;0;0
375;17,7;8;0;0
376;18,3;3;0;0
377;17,5;6;0;0
378;15,1;7;0;0
379;11,6;11;0;0
380;7,7;10;0;0
381;4,4;21;0;0
382;2,3;22;0;0
383;2;22;0;0
384;3,2;29;0;0
385;5,5;0;0;0
386;7,9;1;0;0
387;9,6;2;0;0
388;10;3;0;0
389;9;2;0;0
390;6,9;10;0;0
391;4,5;3;0;0
392;2,8;11;0;0
393;2,3;17;0;0
394;3,6;1;0;0
395;6,4;8;0;0
396;10,2;11;0;0
397;14;23;0;0
398;17,1;29;0;0
399;18,7;0;0;0
400;18,8;5;0;0
401;17,7;2;0;0
402;16,1;2;0;0
403;14,9;7;0;0
404;14,9;2;0;0
405;16,3;3;0;0
406;19,1;14;0;0
407;22,7;12;0;0
408;26,1;9;0;0
409;28,6;14;0;0
410;29,5;17;0;0
411;28,6;9;0;0
412;26,4;28;0;0
413;23,6;0;0;0
414;21;1;0;0
415;19,6;6;0;0
416;19,5;4;0;0
417;20,7;10;0;0
418;22,7;4;0;0
419;24,5;5;0;0
420;25,4;8;0;0
421;24,8;12;0;0
422;22,5;8;0;0
423;18,9;7;0;0
424;14,8;8;0;0
425;11,2;7;0;0
426;8,8;23;0;0
427;8;0;0;0
428;8,6;2;0;0
429;10,2;5;0;0
430;11,8;5;0;0
431;12,7;8;0;0
432;12,2;6;0;0
433;10,3;9;0;0
434;7,4;17;0;0
435;4,1;17;0;0
436;1,4;7;0;0
437;0,1;24;0;0
438;0,5;16;0;0
439;2,5;2;0;0
440;5,5;17;0;0
441;8,7;23;0;0
442;11,1;0;0;0
443;12,2;4;0;0
444;11,9;1;0;0
445;10,5;1;0;0
446;8,8;6;0;0
447;7,5;10;0;0
448;7,6;10;0;0
449;9,2;2;0;0
450;12,3;7;0;0
451;16,3;18;0;0
452;20,2;23;0;0
453;23,2;7;0;0
454;24,8;20;0;0
455;24,9;14;0;0
456;23,3;11;0;0
457;21,3;10;0;0
458;19,7;13;0;0
459;19,1;24;0;0
460;20;0;0;0
461;22,1;1;0;0
