id_perfum	nazwa_skladnika
p_1	chryzantema
p_1	kwiat irysa
p_2	narcyz
p_2	liscie fiolka
p_2	galbanum
p_3	pomarancza
p_3	grejpfrut
p_3	neroli
p_3	cyprys
p_3	zywica elemi
p_3	gozdzik (paczki)
p_3	czarny pieprz
p_3	kardamon
p_4	roza
p_4	bergamotka
p_4	lawenda
p_4	konwalia
p_5	gardenia
p_5	cyklamen
p_5	fiolek (liscie)
p_6	kardamon
p_6	srebrne kadzidlo
p_6	czystek (labdanum)
p_6	gorzka pomarancza (bigarade)
p_7	figa
p_7	fiolek alpejski
p_7	bergamotka
p_7	estragon
p_7	szalwia
p_7	fiolek
p_8	rozowy pieprz
p_8	kadzidlo
p_8	kmin
p_8	kardamon
p_8	szafran
p_8	galka muszkatolowa
p_8	mirra
p_9	kmin
p_9	rozowe liscie laurowe (wawrzyn szlachetny)
p_9	cynamon
p_10	mandarynka
p_10	szafran
p_10	absynt
p_10	imbir
p_10	kmin
p_11	bergamotka
p_11	cynamon
p_11	chili
p_11	pieprz
p_12	poslonek
p_12	konwalia
p_12	srebrne kadzidlo
p_13	poslonek
p_13	konwalia
p_13	srebrne kadzidlo
p_14	rozowy pieprz
p_14	czarny pieprz
p_15	pieprz
p_15	rabarbar
p_15	kolendra
p_16	bergamotka
p_16	oregano
p_16	korzennik
p_17	bergamotka
p_17	grejpfrut
p_17	imbir
p_17	aksamitka
p_18	pieprz syczuanski
p_18	bergamotka
p_18	zielony kardamon
p_18	neroli
p_19	morela
p_19	osmantus
p_19	jasmin
p_19	miod
p_19	galka muszkatolowa
p_19	kardamon
p_20	estragon
p_20	roza
p_20	limonka
p_20	Ylang-ylang
p_21	czystek (labdanum)
p_21	kolendra
p_21	pomarancza
p_21	dawana
p_21	kadzidlo (olibanum)
p_21	czarna porzeczka
p_22	gorzka pomarancza
p_22	sliwka
p_22	kardamon
p_23	pieprz
p_23	rozowy wawrzyn
p_23	absynt i lawenda
p_24	gozdzik
p_24	zarnowiec
p_24	mimoza
p_24	galka muszkatolowa i tymianek
p_25	cytryna
p_25	mandarynka
p_25	grejpfrut
p_25	kolendra
p_26	akord kamelii
p_26	czarny pieprz
p_26	jasmin
p_27	irys (absolut)
p_27	rum
p_28	pieprz syczuanski
p_28	kadzidlo (olibanum)
p_28	korzennik (Pimenta racemosa)
p_29	galbanum
p_29	rozowy pieprz
p_29	kardamon
p_29	galka muszkatolowa
p_29	kozieradka
p_30	mandarynka
p_30	cytrusy
p_30	czarna gardenia
p_30	sycylijska bergamotka
p_31	rozowy pieprz
p_31	dzika malina
p_31	szafran perski
p_32	frezja
p_32	bergamotka
p_32	kadzidlo
p_32	geranium
p_33	absynt
p_33	kadzidlo
p_34	dziegiel
p_34	muskon
p_35	esencja z mirry
p_36	zielona mandarynka z Wloch
p_36	bergamotka z Wloch
p_36	aksamitka z Egiptu
p_37	tunezyjska neroli (kwiat gorzkiej pomaranczy)
p_37	rozowy pieprz
p_38	gorzka pomarancza z Sewilli
p_38	indyjski szafran
p_38	rum z Jamajki
p_39	marokanska neroli (kwiat gorzkiej pomaranczy)
p_39	lemonka
p_39	sycylijska bergamotka
p_40	bergamotka
p_40	tunezyjska neroli (kwiat gorzkiej pomaranczy)
p_41	mandarynka z Wloch
p_41	rozowy pieprz z Chin
p_41	czarna porzeczka z Burgundii
p_42	absolut z koniczyny
p_42	gorzka pomarancza
p_42	kardamon
p_42	bazylia
p_43	limonka
p_43	cytron (cedrat)
p_43	kolendra
p_44	bergamotka z Kalabrii
p_44	cytryna z Sycylii
p_44	gorzka pomarancza z Paragwaju
p_45	bergamotka
p_45	grejpfrut
p_45	czarna porzeczka
p_46	jagody jalowca
p_46	kardamon
p_46	cyprys
p_47	elemi
p_47	kadzidlo
p_47	cyprys
p_48	cynamon
p_48	kardamon
p_48	rozowy pieprz
p_49	rozowy pieprz
p_49	paczki rozy
p_49	malina
p_50	galbanum
p_50	ananas
p_50	czarna porzeczka
p_50	brzoskwinia
p_50	maliny
p_50	bergamotka
p_50	bazylia
p_51	mandarynka
p_51	cytryna
p_51	bergamotka
p_51	brzoskwinia
p_51	sliwka
p_52	brzoskwinia
p_52	ananas
p_52	bergamotka
p_52	cytryna
p_52	limonka
p_52	lawenda
p_52	gorzka pomarancza (petigrain)
p_52	mieta
p_53	tangerynka
p_53	czerwona pomarancza
p_53	kardamon
p_53	galka muszkatolowa
p_53	brzoskwinia
p_53	kokos
p_54	zielone liscie
p_54	kwiat pomaranczy
p_54	papryka
p_54	brzoskwinia
p_54	malina
p_54	neroli
p_55	zielony kwiat pomaranczy
p_55	zielona limonka
p_55	marchewka (nasiona)
p_55	magnolia
p_55	bazylia
p_55	rozowy pieprz
p_55	lisc laurowy (wawrzyn szlachetny)
p_56	absynt
p_56	campari
p_56	pomarancza
p_56	tymianek
p_56	dziegiel (korzen)
p_57	swiezosc i delikatnosc: neroli
p_57	absolut kwiatu pomaranczy
p_57	mandarynka
p_57	jalowiec
p_57	peruwianskie drzewo pieprzowe (schinus peruwianski)
p_58	kwiat pomaranczy
p_58	czarna porzeczka
p_58	brzoskwinia
p_58	zielone liscie bergamotki
p_59	bergamotka
p_59	mimoza
p_59	czarna porzeczka
p_60	fiolek
p_60	bergamotka
p_60	aksamitka
p_60	bazylia
p_61	brak klasycznych nut glowy
p_62	tangerynka
p_62	neroli
p_62	dawana
p_62	liscie mango
p_63	bergamotka
p_63	kardamon
p_64	cyprys
p_64	kardamon
p_64	anyzek
p_65	bergamotka
p_65	lisc laurowy (wawrzyn)
p_65	czarna porzeczka
p_66	bergamotka
p_66	grejpfrut
p_66	lawenda
p_67	bergamotka
p_67	kardamon
p_67	galka muszkatolowa
p_67	mandarynka
p_67	kolendra
p_68	konwalia
p_68	zielone nuty
p_69	liscie fiolka
p_69	skorka mandarynki
p_70	werbena
p_70	bazylia
p_70	bergamotka
p_70	kwiat lipy
p_71	cytrusy
p_72	dynamiczny kwiat brzoskwini
p_73	koniak
p_73	przyprawy
p_73	jalowiec
p_74	bergamotka
p_74	mandarynka
p_74	grejpfrut
p_74	zielone nuty wodne
p_74	petit grain
p_75	kardamon
p_75	nuta ozonu
p_76	blyszczace aldehydy
p_77	bergamotka
p_77	klementynka
p_77	kardamon
p_78	sliwka
p_78	szafran
p_78	pomarancza
