temperatura_srednia	opady
4	2
2	6
4	1
4	0,8
3	0
4	0
4	1
8	1
6	2
9	2
12	3
10	2
8	1
6	0
14	0
10	0
6	0
4	0
7	0
10	1
11	3,2
8	2,2
11	1
12	1
14	1
16	0
16	1
6	2
7	0
10	0
10	4
7	5
9	4
15	0,4
18	0,4
16	0
14	0
10	0
14	0,3
12	0,1
11	0
16	3
12	0
10	0
12	0
10	1,8
11	2,8
12	1,9
16	2,2
13	2,3
11	5,4
12	5,5
12	5,2
14	3
15	0
14	0
10	0
12	0,1
14	0
13	0
12	0
18	4
18	3
22	0
15	0
18	0
22	0
14	8
14	5,9
12	5
16	0
16	0
18	5
19	1
22	0
16	0
12	0
14	0
16	0,3
12	3
13	2
12	0
12	3
13	3
12	0
16	0
16	7
18	6
16	0
16	0
19	0
18	0
20	0
22	0
25	0
26	0
22	0
22	18
20	3
16	0,2
13	12,2
16	0
18	2
18	12
18	0
18	0
16	0
21	0
26	0
23	18
19	0
20	6
22	0
20	0
20	0
23	0,1
16	0
16	0,1
18	0,3
18	0
14	0
14	0
16	0
22	0
22	0
25	0
24	0
24	0
28	0
28	0
24	0
24	0
26	0
32	0,6
31	0,1
33	0
31	12
22	0
24	0,2
22	0
19	0
18	0
18	0
18	0
19	0
21	5,5
18	18
19	12
23	0
17	0,1
16	14
22	0
26	0
27	2
18	0
17	0
16	0,1
15	0
12	4
13	0
11	4
11	0
12	0
16	0,1
18	0
18	0
19	3
16	0,1
18	0
22	0,5
16	0
15	0
14	2
12	0
13	0
15	0
15	0
14	0
12	0
11	0
10	0
10	0
10	0
