Id_oferty	Id_klienta
AB643MN	55
AB536MN	54
AB537DT	80
AB643MN	48
AB538MN	145
AB539DN	20
AB553DN	151
AB540DT	22
AB541DN	134
AB545MN	71
AB542MN	121
AB543MT	6
AB559DN	146
AB583DN	19
AB544DT	44
AB545MN	195
AB546MN	77
AB547DT	1
AB551DT	58
AB553DN	32
AB602MN	112
AB561DN	54
AB548MN	194
AB549MN	126
AB573MN	13
AB550DN	34
AB553DN	8
AB551DT	196
AB545MN	11
AB552DT	57
AB553DN	27
AB554MN	131
AB559DN	119
AB555DT	146
AB556DT	189
AB557MT	8
AB573MN	99
AB625MN	54
AB573MN	3
AB559DN	130
AB560DN	102
AB561DN	99
AB573MN	19
AB571DT	105
AB563MN	148
AB564MN	102
AB565DN	105
AB553DN	9
AB643MN	198
AB566DN	43
AB567DN	85
AB568MN	105
AB609DT	86
AB569DT	2
AB571DT	147
AB572DN	150
AB539DN	176
AB573MN	191
AB574DN	14
AB575DN	200
AB539DN	169
AB576MN	107
AB577DN	158
AB578DN	143
AB698DN	119
AB579DN	89
AB580DN	103
AB581DT	114
AB582DN	113
AB577DN	63
AB583DN	48
AB584DN	86
AB577DN	20
AB585DN	156
AB586DT	18
AB587DN	84
AB553DN	62
AB588DT	142
AB589DT	65
AB609DT	126
AB590DT	150
AB591MN	165
AB592MN	25
AB553DN	52
AB593DN	148
AB594DN	138
AB595DT	70
AB596MT	163
AB581DT	54
AB597DT	77
AB553DN	122
AB598MN	25
AB599MN	166
AB581DT	196
AB600MN	141
AB601DN	170
AB670DN	195
AB602MN	163
AB603DN	199
AB610DN	29
AB604MT	73
AB605DN	77
AB606DN	33
AB698DN	151
AB607MT	171
AB626DT	187
AB608DT	95
AB609DT	89
AB610DN	142
AB553DN	130
AB611DT	139
AB612DN	40
AB613DN	91
AB614DN	113
AB615DN	42
AB610DN	146
AB616DN	10
AB617DN	199
AB618DT	116
AB610DN	171
AB619DT	7
AB620DN	37
AB621MT	127
AB622DT	194
AB623DN	149
AB553DN	42
AB624MT	56
AB625MN	52
AB626DT	97
AB670DN	185
AB627DN	21
AB628MT	102
AB629DN	150
AB626DT	7
AB630DN	43
AB631DN	13
AB632DT	174
AB622DT	75
AB633DN	73
AB634MN	53
AB610DN	85
AB635DN	154
AB636DN	113
AB637MN	120
AB553DN	91
AB638DT	177
AB670DN	150
AB639DN	154
AB687DN	13
AB640DN	126
AB641DT	117
AB642DN	104
AB687DN	103
AB643MN	9
AB644MT	106
AB622DT	172
AB645MN	82
AB646DN	141
AB647MN	4
AB648DN	189
AB626DT	57
AB649DN	60
AB650MN	25
AB651MT	119
AB652MN	5
AB610DN	185
AB653DN	140
AB654DT	153
AB655DN	42
AB656MN	136
AB670DN	197
AB657DN	37
AB658DN	21
AB653DN	51
AB659MN	53
AB660DN	73
AB661MN	41
AB670DN	199
AB662MN	128
AB663MN	147
AB664MN	62
AB610DN	136
AB665MN	47
AB677DN	64
AB667DN	89
AB653DN	35
AB668MN	119
AB669MN	158
AB692DT	80
AB671DN	132
AB694DN	31
AB673DN	34
AB674DN	188
AB675DN	87
AB622DT	56
AB676MN	52
AB693DN	194
AB680DT	91
AB678DN	106
AB679DN	61
AB698DN	96
AB553DN	93
AB666DN	166
AB672DT	43
AB653DN	105
AB680DT	196
AB684DN	161
