id_wizyty	data	nr_wizyty	id_klienta
1	2017-11-10	1	X46
2	2017-11-10	2	Y51
3	2017-11-10	3	X57
4	2017-11-10	4	Y57
5	2017-11-10	5	X5
6	2017-11-10	6	X60
7	2017-11-10	7	X18
8	2017-11-10	8	X3
9	2017-11-10	9	X32
10	2017-11-10	10	X55
11	2017-11-10	11	X60
12	2017-11-13	1	X1
13	2017-11-13	2	X52
14	2017-11-13	3	X60
15	2017-11-13	4	X73
16	2017-11-13	5	X75
17	2017-11-13	6	X83
18	2017-11-13	7	Y11
19	2017-11-13	8	Y29
20	2017-11-13	9	Y33
21	2017-11-13	10	Y4
22	2017-11-13	11	Y46
23	2017-11-14	1	Y55
24	2017-11-14	2	Y67
25	2017-11-14	3	X46
26	2017-11-14	4	X73
27	2017-11-14	5	Y56
28	2017-11-14	6	X18
29	2017-11-14	7	X56
30	2017-11-14	8	X69
31	2017-11-14	9	X83
32	2017-11-14	10	Y59
33	2017-11-14	11	Y60
34	2017-11-15	1	X17
35	2017-11-15	2	X63
36	2017-11-15	3	X64
37	2017-11-15	4	X65
38	2017-11-15	5	X77
39	2017-11-15	6	Y1
40	2017-11-15	7	Y5
41	2017-11-15	8	Y63
42	2017-11-15	9	X55
43	2017-11-15	10	Y51
44	2017-11-15	11	X43
45	2017-11-16	1	X60
46	2017-11-16	2	X75
47	2017-11-16	3	X83
48	2017-11-16	4	Y3
49	2017-11-16	5	Y47
50	2017-11-16	6	Y6
51	2017-11-16	7	Y56
52	2017-11-16	8	X59
53	2017-11-16	9	X61
54	2017-11-16	10	X75
55	2017-11-16	11	Y2
56	2017-11-16	12	Y59
57	2017-11-17	1	Y56
58	2017-11-17	2	X1
59	2017-11-17	3	X17
60	2017-11-17	4	X5
61	2017-11-17	5	X65
62	2017-11-17	6	Y1
63	2017-11-17	7	Y34
64	2017-11-17	8	Y60
65	2017-11-17	9	X73
66	2017-11-17	10	X58
67	2017-11-17	11	X79
68	2017-11-17	12	Y21
69	2017-11-17	13	Y51
70	2017-11-17	14	Y2
71	2017-11-17	15	Y56
72	2017-11-17	16	X3
73	2017-11-20	1	X32
74	2017-11-20	2	X5
75	2017-11-20	3	Y95
76	2017-11-20	4	X87
77	2017-11-20	5	X97
78	2017-11-20	6	Y95
79	2017-11-20	7	X87
80	2017-11-20	8	X97
81	2017-11-20	9	X17
82	2017-11-20	10	X54
83	2017-11-21	1	X61
84	2017-11-21	2	X74
85	2017-11-21	3	X76
86	2017-11-21	4	X84
87	2017-11-21	5	Y2
88	2017-11-21	6	Y3
89	2017-11-21	7	Y34
90	2017-11-21	8	Y45
91	2017-11-21	9	Y47
92	2017-11-21	10	Y56
93	2017-11-21	11	Y7
94	2017-11-21	12	X52
95	2017-11-22	1	X79
96	2017-11-22	2	Y57
97	2017-11-22	3	X3
98	2017-11-22	4	X57
99	2017-11-22	5	X71
100	2017-11-22	6	X84
101	2017-11-22	7	Y63
102	2017-11-22	8	X18
103	2017-11-22	9	X69
104	2017-11-23	1	X78
105	2017-11-23	2	Y11
106	2017-11-23	3	Y51
107	2017-11-23	4	Y7
108	2017-11-23	5	X59
109	2017-11-23	6	X56
