id_wizyty	kod_zabiegu
1	DAW5
2	FRM1
3	FRD5
4	PLS4
4	PLD10
5	DAW8
5	FRD2
6	ZGP5
7	PLS11
8	POO1
8	MSZ1
9	PLS13
10	MSZ2
11	MSZ1
11	DAW7
12	DAW5
12	FCR2
13	PLS4
14	PLS11
15	FRD5
15	DAW5
16	FRD8
16	FRD6
17	FCR16
17	FRD2
18	FRM3
19	MSZ1
20	DAW13
20	PLS11
21	DAW5
22	FCR2
23	PLD10
24	POO1
24	DAW5
24	PLD10
25	MSZ1
26	DAW8
27	PLD10
28	MSZ1
28	PLS9
29	DAW7
30	PLD7
31	FRD8
31	FRD6
32	MSZ5
33	PLS4
33	DAW5
34	PLS13
35	PLD10
36	PLS11
37	ZGP5
38	PLS4
39	FRM4
40	PLD1
41	FRM6
42	FRD6
43	PLD10
44	PLS4
45	PLD10
46	DAW8
47	MKZ3
48	DAW13
49	MSZ5
50	DAW5
51	FRM3
52	FRD2
53	PLS7
54	PLD7
55	PLS4
55	FRM1
56	OPK6
57	FRM1
58	PLS11
59	FRD5
60	PLD10
61	POO1
61	MSZ1
62	MSZ1
63	FRM3
64	FRM4
65	PLS13
66	MKZ2
67	PLS8
68	FRM1
68	DAW13
69	PLD1
70	DAW13
71	MSZ1
72	FCR12
73	DAW5
74	FRD11
75	FCR2
76	DAW7
77	FCR12
78	FRM3
79	FCR16
80	PLD10
81	FRD2
82	FRD2
83	PLS4
84	PLS11
85	PLS13
86	MSZ1
87	FRM1
88	FRM4
89	PLD10
90	FRM1
91	DAW13
91	PLD10
92	PLD1
93	MSZ5
94	DAW5
94	MSZ1
95	PLD10
96	FRM1
97	MSZ2
98	FRD2
99	FRD6
100	MSZ1
101	FCR16
102	ZGP5
103	FRD2
104	FRD5
105	PLS11
106	PLS4
107	FRM3
108	PLD7
108	FRD2
109	PLS8
110	PLS4
111	FRD11
112	MSZ2
113	MKZ3
114	FRM4
115	POO1
115	PLD10
116	PLD10
117	FCR2
118	FRD8
118	FRD6
119	PLS4
120	ZGP5
121	FRM3
122	PLD10
123	PLS11
124	FCR12
125	PLS7
126	DAW13
127	FRM1
128	MSZ5
129	FRM1
130	MSZ2
131	FRD2
132	FRM1
133	DAW5
134	DAW13
135	MSZ1
136	FRD5
136	DAW7
136	MSZ1
137	FRD2
138	FRM1
139	FRD2
140	POO1
140	MSZ2
140	FRD5
141	MSZ1
142	MKZ3
143	FRD2
144	PLS8
145	MSZ1
146	PLD1
147	FCR5
148	FRD8
148	FRD6
149	FRM3
150	FCR16
150	FRM1
151	FCR2
152	FRM3
153	FRM4
154	PLS4
155	PLS8
156	FRD6
157	FCR12
158	DAW5
159	FRM1
160	FRM1
161	DAW7
162	MSZ1
163	PLD1
164	FRM3
165	DAW13
166	PLS13
167	MSZ1
168	PLS11
169	FRD2
170	FCR5
170	PLS9
171	FCR13
172	PLD7
172	MSZ2
173	FRM1
174	MSZ5
175	FCR5
176	PLD10
177	MSZ2
178	PLS4
179	MSZ1
180	POO1
180	MSZ1
181	FCR2
182	FRD10
183	DAW5
184	DAW8
185	MSZ1
186	DAW11
187	PLD1
188	FRM3
189	FRD10
