kod_zabiegu	dzial	zabieg	cena (zl)	
POO1	PIELEGNACJA OPRAWY OCZU	Henna brwi	15	
POO2	PIELEGNACJA OPRAWY OCZU	Henna rzes	15	
POO3	PIELEGNACJA OPRAWY OCZU	Regulacja brwi	10	
POO4	PIELEGNACJA OPRAWY OCZU	Regulacja brwi woskiem	15	
POO5	PIELEGNACJA OPRAWY OCZU	Henna brwi + regulacja	25	
POO6	PIELEGNACJA OPRAWY OCZU	Henna brwi i rzes + regulacja	30	
POO7	PIELEGNACJA OPRAWY OCZU	Henna brwi i rzes + regulacja woskiem	35	
MKZ1	MAKIJAZ	Makijaz dzienny	50	
MKZ2	MAKIJAZ	Makijaz probny	50	
MKZ3	MAKIJAZ	Makijaz wieczorowy/slubny	80	
PLD1	PIELEGNACJA DLONI	Manicure biologiczny	25	
PLD2	PIELEGNACJA DLONI	Manicure biologiczny z malowaniem klasycznym	30	
PLD3	PIELEGNACJA DLONI	Manicure biologiczny z malowaniem french	35	
PLD4	PIELEGNACJA DLONI	Manicure BalbCare bez malowania	35	
PLD5	PIELEGNACJA DLONI	Manicure BalbCare z malowaniem	45	
PLD6	PIELEGNACJA DLONI	Manicure BalbCare z malowaniem French	50	
PLD7	PIELEGNACJA DLONI	Manicure hybrydowy Semilac	50	
PLD8	PIELEGNACJA DLONI	Manicure hybrydowy z malowaniem french	65	
PLD9	PIELEGNACJA DLONI	Usuniecie manicure hybrydowego	20	
PLD10	PIELEGNACJA DLONI	Kapiel parafinowa dloni (peeling, maska , masaz dloni)	30	
PLS1	PIELEGNACJA STOP	Pedicure	70	
PLS2	PIELEGNACJA STOP	Pedicure z malowaniem klasycznym	75	
PLS3	PIELEGNACJA STOP	Pedicure z malowaniem french	80	
PLS4	PIELEGNACJA STOP	Pedicure BalbCare bez malowania	75	
PLS5	PIELEGNACJA STOP	Pedicure BalbCare z malowaniem	85	
PLS6	PIELEGNACJA STOP	Pedicure BalbCare z malowaniem french	90	
