Jezyk	Rodzina
aceh	austronezyjska
acholi	nilo-saharyjska
adhola	nilo-saharyjska
adi	sino-tybetanska
adygejski	abchasko-adygijska
afar	afroazjatycka
afrikaans	indoeuropejska
aimaq	indoeuropejska
akha	sino-tybetanska
aklanon	austronezyjska
albanski	indoeuropejska
altajski	abchasko-adygijska
alur	nilo-saharyjska
alzacki	indoeuropejska
ama	nilo-saharyjska
ambonski	austronezyjska
amharski	afroazjatycka
angami	sino-tybetanska
angielski	indoeuropejska
ao	sino-tybetanska
arabski	afroazjatycka
aringa	nilo-saharyjska
armenski	indoeuropejska
assamski	indoeuropejska
asu	nigero-kongijska
asyryjski	afroazjatycka
awarski	polnocno-wschodniokaukaska
azerski	turecka
bacama	afroazjatycka
bahnar	austroazjatycka
bai	sino-tybetanska
bali	austronezyjska
bandzarski	austronezyjska
bangka	austronezyjska
basasemawa	austronezyjska
baskijski	jezyk izolowany
baszkirski	turecka
bata	afroazjatycka
batakangkola	austronezyjska
batakdairi	austronezyjska
batakkaro	austronezyjska
batakmandailing	austronezyjska
bataksimalungun	austronezyjska
bataktoba	austronezyjska
bedawiyet	afroazjatycka
beja	afroazjatycka
beludzi	indoeuropejska
bemba	nigero-kongijska
bembe	nigero-kongijska
bena	nigero-kongijska
bengalski	indoeuropejska
berta	nilo-saharyjska
betawi	austronezyjska
bhili	indoeuropejska
bialoruski	indoeuropejska
bikol	austronezyjska
bima	austronezyjska
birmanski	sino-tybetanska
blang	austroazjatycka
bodo	sino-tybetanska
borana	afroazjatycka
brahui	drawidyjska
bretonski	indoeuropejska
budu	nigero-kongijska
bugis	austronezyjska
bulgarski	indoeuropejska
buriacki	mongolska
buyei	dajska
caolan	dajska
cebuano	austronezyjska
ch'ol	majanska
chaldejski	afroazjatycka
cham	austronezyjska
chavacano	indoeuropejska
chidigo	nigero-kongijska
chiduruma	nigero-kongijska
chiga	nigero-kongijska
chin	sino-tybetanska
chinantec	otomang
chokwe	nigero-kongijska
coorgi	drawidyjska
czeczenski	polnocno-wschodniokaukaska
czuwaski	turecka
dargwa	polnocno-wschodniokaukaska
dari	indoeuropejska
daur	mongolska
dawida	nigero-kongijska
dholuo	nilo-saharyjska
dimasa	sino-tybetanska
dogri	indoeuropejska
domari	indoeuropejska
dongxiang	mongolska
edo	nigero-kongijska
ekegusii	nigero-kongijska
fipa	nigero-kongijska
francuski	indoeuropejska
friulski	indoeuropejska
fula	nigero-kongijska
fuliiru	nigero-kongijska
fumbira	nigero-kongijska
fur	nilo-saharyjska
galicyjski	indoeuropejska
gamo	afroazjatycka
ganda	nigero-kongijska
garo	sino-tybetanska
gayo	austronezyjska
gedeo	afroazjatycka
gikuyu	nigero-kongijska
gilaki	indoeuropejska
gogo	nigero-kongijska
gondi	drawidyjska
gorontalo	austronezyjska
grecki	indoeuropejska
guarani	tupi
gudzaracki	indoeuropejska
gungu	nigero-kongijska
gurage	afroazjatycka
gurani	indoeuropejska
gwere	nigero-kongijska
ha	nigero-kongijska
hadiyya	afroazjatycka
hakka	hmong-mien
halabi	indoeuropejska
hangaza	nigero-kongijska
hani	sino-tybetanska
