data	port	towar	Z/W	ile ton	cena za tone w talarach
2016-01-01	Algier	T4	Z	3	80
2016-01-01	Algier	T5	Z	32	50
2016-01-01	Algier	T1	Z	38	10
2016-01-01	Algier	T2	Z	33	30
2016-01-01	Algier	T3	Z	43	25
2016-01-16	Tunis	T5	W	32	58
2016-01-16	Tunis	T2	Z	14	26
2016-01-24	Benghazi	T5	Z	44	46
2016-01-24	Benghazi	T2	Z	1	28
2016-01-24	Benghazi	T4	Z	21	74
2016-02-19	Aleksandria	T3	W	43	32
2016-02-19	Aleksandria	T1	W	38	13
2016-02-19	Aleksandria	T4	Z	9	59
2016-02-19	Aleksandria	T5	Z	8	37
2016-03-11	Bejrut	T5	W	50	61
2016-03-11	Bejrut	T3	Z	32	20
2016-03-11	Bejrut	T1	Z	7	8
2016-03-11	Bejrut	T2	Z	10	24
2016-04-04	Palermo	T1	W	7	12
2016-04-04	Palermo	T3	Z	25	19
2016-04-04	Palermo	T5	Z	33	38
2016-04-22	Neapol	T2	W	36	35
2016-04-22	Neapol	T4	Z	5	66
2016-04-22	Neapol	T5	Z	35	41
2016-05-14	Monako	T4	W	38	98
2016-05-14	Monako	T2	Z	10	23
2016-06-08	Barcelona	T2	W	4	38
2016-06-08	Barcelona	T4	Z	42	60
2016-06-08	Barcelona	T1	Z	28	8
2016-06-08	Barcelona	T3	Z	19	19
2016-06-21	Walencja	T3	W	72	28
2016-06-21	Walencja	T4	W	42	90
2016-06-21	Walencja	T5	Z	42	44
2016-06-21	Walencja	T2	Z	33	26
2016-06-21	Walencja	T1	Z	9	9
2016-07-08	Algier	T3	W	4	29
2016-07-08	Algier	T1	W	37	12
2016-07-08	Algier	T5	Z	35	42
2016-07-08	Algier	T4	Z	32	66
2016-07-23	Tunis	T4	W	32	92
2016-07-23	Tunis	T5	Z	48	43
2016-08-11	Benghazi	T5	W	191	60
2016-08-11	Benghazi	T2	Z	9	24
2016-08-11	Benghazi	T4	Z	36	65
2016-09-06	Aleksandria	T1	Z	47	7
2016-09-06	Aleksandria	T5	W	4	63
2016-09-06	Aleksandria	T3	Z	8	19
2016-09-06	Aleksandria	T2	Z	3	22
2016-09-06	Aleksandria	T4	Z	41	59
2016-09-27	Bejrut	T5	Z	44	40
2016-09-27	Bejrut	T1	W	45	12
2016-09-27	Bejrut	T3	Z	40	20
2016-09-27	Bejrut	T4	Z	3	63
2016-09-27	Bejrut	T2	Z	17	24
2016-10-21	Palermo	T1	W	2	12
2016-10-21	Palermo	T3	Z	14	19
2016-10-21	Palermo	T2	Z	23	23
2016-11-08	Neapol	T1	Z	11	8
2016-11-08	Neapol	T4	Z	17	66
2016-11-08	Neapol	T5	Z	30	41
2016-11-30	Monako	T4	W	97	98
2016-11-30	Monako	T1	W	11	12
2016-11-30	Monako	T3	Z	17	20
2016-11-30	Monako	T2	Z	4	23
2016-12-25	Barcelona	T3	W	79	31
2016-12-25	Barcelona	T4	Z	33	60
2016-12-25	Barcelona	T2	Z	26	23
2017-01-07	Walencja	T3	Z	40	22
2017-01-07	Walencja	T1	Z	42	9
2017-01-07	Walencja	T2	Z	42	26
2017-01-07	Walencja	T4	Z	9	70
2017-01-07	Walencja	T5	Z	39	44
2017-01-24	Algier	T5	W	112	59
2017-01-24	Algier	T4	Z	34	66
2017-01-24	Algier	T3	Z	5	21
2017-02-08	Tunis	T4	W	74	92
2017-02-08	Tunis	T2	Z	14	26
2017-02-27	Benghazi	T5	W	1	60
2017-02-27	Benghazi	T2	W	43	36
2017-02-27	Benghazi	T1	Z	30	8
2017-02-27	Benghazi	T3	Z	14	20
2017-03-25	Aleksandria	T2	W	33	38
