Panstwo	Jezyk	Uzytkownicy	Urzedowy
Chiny	mandarynski	1212,0	tak
Indie	hindi	422,0	tak
USA	angielski	255,0	tak
Brazylia	portugalski	202,0	tak
Bangladesz	bengalski	157,9	tak
Japonia	japonski	125,0	tak
Rosja	rosyjski	119,0	tak
Meksyk	hiszpanski	118,0	tak
Egipt	arabski	89,0	tak
Indonezja	jawajski	84,3	nie
Indie	bengalski	83,4	nie
Pakistan	pendzabski	76,4	nie
Indie	telugu	74,0	nie
Chiny	kantonski	72,9	nie
Indie	marathi	71,9	nie
Niemcy	niemiecki	69,8	tak
Wietnam	wietnamski	65,8	tak
Turcja	turecki	64,9	tak
Indie	tamilski	60,8	nie
Wielka Brytania	angielski	59,8	tak
Francja	francuski	59,6	tak
Wlochy	wloski	55,0	tak
Indie	urdu	51,5	nie
Korea Poludniowa	koreanski	48,4	tak
Kolumbia	hiszpanski	47,5	tak
Indie	gudzaracki	46,1	nie
Indonezja	sundanese	42,0	nie
USA	hiszpanski	41,5	nie
Iran	perski	39,8	tak
Argentyna	hiszpanski	39,0	tak
Indie	kannada	37,9	nie
Polska	polski	37,8	tak
Etiopia	oromo	35,3	nie
Hiszpania	hiszpanski	34,1	tak
Indie	malayalam	33,1	nie
Indie	odia	33,0	nie
Birma	birmanski	32,9	tak
Ukraina	ukrainski	32,0	tak
Etiopia	amharski	30,6	tak
Indie	pendzabski	29,1	nie
Algieria	arabski	28,7	tak
Pakistan	paszto	26,7	nie
Sudan	arabski	26,7	tak
Filipiny	tagalog	26,4	tak
Maroko	arabski	25,0	tak
Pakistan	sindhi	24,4	nie
Nigeria	igbo	24,0	nie
Indonezja	indonezyjski	23,1	tak
Irak	arabski	22,4	tak
Filipiny	cebuano	21,3	nie
Tajlandia	tajski	20,0	tak
Kanada	angielski	19,4	tak
Nigeria	yoruba	18,9	nie
Nigeria	hausa	18,5	nie
Pakistan	saraiki	18,0	nie
Chiny	zhuang	16,9	nie
Afganistan	dari	16,2	tak
Tajlandia	lao	15,2	nie
Tanzania	suahili	15,0	tak
Indonezja	madurese	13,6	nie
Iran	azerski	13,5	nie
Indie	assamski	13,2	nie
Pakistan	urdu	13,1	tak
Indie	maithili	12,2	nie
Poludniowa Afryka	zulu	11,6	tak
Chiny	ujgurski	10,1	nie
Indie	bhili	9,6	nie
Chiny	hmong	9,4	nie
Afganistan	paszto	8,7	tak
Chiny	yi	8,7	nie
Ukraina	rosyjski	8,3	nie
Poludniowa Afryka	xhosa	8,2	tak
Kanada	francuski	8,1	tak
Turcja	kurdyjski	8,1	nie
Algieria	kabyle	8,0	nie
Filipiny	ilocano	7,8	nie
Hiszpania	katalonski	7,8	nie
Iran	kurdyjski	7,5	nie
Irak	kurdyjski	7,4	tak
Tanzania	sukuma	7,3	nie
Filipiny	hiligaynon	7,0	nie
Poludniowa Afryka	afrikaans	6,9	tak
Kenia	gikuyu	6,6	nie
Etiopia	somalijski	6,5	nie
Indie	santali	6,5	nie
Chiny	tibetan	6,3	nie
DRK	luba-kasai	6,3	tak
Etiopia	tigrinya	6,2	nie
Pakistan	beludzi	6,2	nie
Chiny	mongolski	6,0	nie
Tajlandia	khammuang	6,0	nie
Uganda	ganda	5,6	nie
Indie	kaszmirski	5,5	nie
Indonezja	minangkabau	5,5	nie
Iran	gilaki	5,3	nie
Poludniowa Afryka	angielski	4,9	tak
Poludniowa Afryka	sotho	4,6	tak
Iran	luri	4,5	nie
Tajlandia	paktai	4,5	nie
Rosja	tatarski	4,3	nie
DRK	kituba	4,2	tak
Poludniowa Afryka	tswana	4,1	tak
Kenia	dholuo	4,0	nie
Nigeria	angielski	4,0	tak
Indonezja	musi	3,9	nie
Kenia	kamba	3,9	nie
Maroko	tachelhit	3,9	nie
Indonezja	minhasan	3,8	nie
Poludniowa Afryka	sesotho	3,8	tak
Indonezja	aceh	3,5	nie
Indonezja	bandzarski	3,5	nie
Indonezja	bugis	3,5	nie
Uganda	nyankore	3,4	nie
Indonezja	bali	3,3	nie
Birma	shan	3,2	nie
Hiszpania	galicyjski	3,2	nie
Filipiny	waray-waray	3,1	nie
DRK	koongo	3,0	nie
Nigeria	kanuri	3,0	nie
Uganda	soga	3,0	nie
Afganistan	uzbecki	2,9	nie
Chiny	kam	2,9	nie
Chiny	buyei	2,9	nie
Indie	nepalski	2,9	nie
USA	mandarynski	2,9	nie
Chiny	mien	2,8	nie
Indie	gondi	2,7	nie
Indonezja	betawi	2,7	nie
Birma	karen	2,6	nie
Filipiny	bikol	2,5	nie
Filipiny	kapampangan	2,5	nie
Indie	sindhi	2,5	nie
Indie	konkani	2,5	nie
Filipiny	pangasinan	2,4	nie
Kenia	somalijski	2,4	nie
Uganda	chiga	2,4	nie
Uganda	teso	2,4	nie
Etiopia	wolaytta	2,3	nie
Indie	dogri	2,3	nie
Maroko	tamazight	2,3	tak
Poludniowa Afryka	tsonga	2,3	tak
Filipiny	maranao	2,2	nie
Kenia	ekegusii	2,2	nie
Etiopia	gurage	2,1	nie
Etiopia	sidamo	2,1	nie
Indie	khandeshi	2,1	nie
Indonezja	sasak	2,1	nie
Rosja	niemiecki	2,1	nie
Uganda	lango	2,1	nie
USA	francuski	2,1	nie
Algieria	tachawit	2,0	nie
DRK	lingala	2,0	tak
Indonezja	bataktoba	2,0	nie
Irak	azerski	2,0	nie
Nigeria	ijaw	2,0	nie
Nigeria	tiv	2,0	nie
Sudan	bedawiyet	2,0	nie
Indonezja	ambonski	1,9	nie
Kenia	kipsigis	1,9	nie
Tanzania	gogo	1,9	nie
Afganistan	hazaragi	1,8	nie
Chiny	koreanski	1,8	nie
Etiopia	afar	1,8	nie
Etiopia	hadiyya	1,8	nie
Filipiny	tausug	1,8	nie
Filipiny	maguindanao	1,8	nie
Indie	kurukh	1,8	nie
Chiny	hani	1,7	nie
Indie	tulu	1,7	nie
Kenia	kimiiru	1,7	nie
Nigeria	fula	1,7	nie
Tanzania	haya	1,7	nie
Turcja	zazaki	1,7	nie
Uganda	masaaba	1,7	nie
Etiopia	gamo	1,6	nie
Indonezja	makassarese	1,6	nie
USA	tagalog	1,6	nie
Wietnam	tay	1,6	nie
Afganistan	turkmenski	1,5	nie
Argentyna	wloski	1,5	nie
Brazylia	niemiecki	1,5	nie
Chiny	hlai	1,5	nie
Chiny	kazakh	1,5	nie
DRK	luba-katanga	1,5	nie
Indie	meitei	1,5	nie
Iran	arabski	1,5	nie
Iran	beludzi	1,5	nie
Niemcy	turecki	1,5	nie
Nigeria	ibibio	1,5	nie
Uganda	acholi	1,5	nie
Etiopia	gedeo	1,4	nie
Indie	bodo	1,4	nie
Kenia	lubukusu	1,4	nie
Meksyk	nahuatl	1,4	nie
Rosja	czeczenski	1,4	nie
Tajlandia	khmerski	1,4	nie
Tajlandia	yawi	1,4	nie
USA	wietnamski	1,4	nie
Maroko	tarift	1,3	nie
Pakistan	uzbecki	1,3	nie
Poludniowa Afryka	suazi	1,3	tak
Tanzania	makonde	1,3	nie
Tanzania	nyamwezi	1,3	nie
Chiny	bai	1,2	nie
Filipiny	chavacano	1,2	nie
Indonezja	batakdairi	1,2	nie
Indonezja	bataksimalungun	1,2	nie
Poludniowa Afryka	venda	1,2	tak
Rosja	baszkirski	1,2	nie
Uganda	fumbira	1,2	nie
Etiopia	kafa	1,1	nie
Filipiny	kinaray-a	1,1	nie
Indie	khasi	1,1	nie
Indie	mundari	1,1	nie
Indonezja	batakmandailing	1,1	nie
Poludniowa Afryka	ndebele	1,1	tak
Rosja	ukrainski	1,1	nie
Tanzania	hehe	1,1	nie
Tanzania	nyakyusa-ngonde	1,1	nie
Turcja	arabski	1,1	nie
Uganda	lugbara	1,1	nie
USA	koreanski	1,1	nie
USA	niemiecki	1,1	nie
Wietnam	muong	1,1	nie
Wietnam	hmong	1,1	nie
Wietnam	khmerski	1,1	nie
Argentyna	arabski	1,0	nie
DRK	ngbaka	1,0	nie
DRK	songe	1,0	nie
Egipt	beja	1,0	nie
Filipiny	surigaonon	1,0	nie
Indie	ho	1,0	nie
Indonezja	hokkien	1,0	nie
Indonezja	jambi	1,0	nie
Japonia	okinawski	1,0	nie
Kenia	turkana	1,0	nie
Nigeria	edo	1,0	nie
Rosja	czuwaski	1,0	nie
Tanzania	ha	1,0	nie
Turcja	kabardyjski	1,0	nie
Uganda	alur	1,0	nie
Uganda	nyoro	1,0	nie
USA	rumunski	1,0	nie
USA	arabski	1,0	nie
Wietnam	nung	1,0	nie
Birma	jinpgho	0,9	nie
DRK	nande	0,9	nie
Francja	arabski	0,9	nie
Hiszpania	baskijski	0,9	nie
Indie	kui	0,9	nie
Indie	garo	0,9	nie
Indie	tripuri	0,9	nie
Indonezja	gorontalo	0,9	nie
Indonezja	mongondow	0,9	nie
Indonezja	ngajudayak	0,9	nie
Kenia	maasai	0,9	nie
Kenia	nandi	0,9	nie
Kenia	kigiryama	0,9	nie
Korea Poludniowa	mandarynski	0,9	nie
Uganda	konzo	0,9	nie
USA	rosyjski	0,9	nie
Wietnam	kantonski	0,9	nie
Argentyna	keczua	0,8	nie
Birma	rakhine	0,8	nie
Birma	rohingya	0,8	nie
Birma	chin	0,8	nie
Birma	mon	0,8	nie
DRK	alur	0,8	nie
DRK	tetela	0,8	nie
Indonezja	nias	0,8	nie
Meksyk	maya	0,8	nie
Niemcy	polski	0,8	nie
Tanzania	nyaturu	0,8	nie
Uganda	tooro	0,8	nie
Wlochy	rumunski	0,8	nie
Chiny	hakka	0,7	nie
Chiny	lisu	0,7	nie
DRK	zande	0,7	nie
DRK	yaka	0,7	nie
DRK	yombe	0,7	nie
DRK	shi	0,7	nie
Francja	alzacki	0,7	nie
Indie	mizo	0,7	nie
Indonezja	batakangkola	0,7	nie
Indonezja	minnan	0,7	nie
Indonezja	molukanski	0,7	nie
Rosja	armenski	0,7	nie
Rosja	awarski	0,7	nie
Sudan	fur	0,7	nie
Tanzania	luguru	0,7	nie
Tanzania	bena	0,7	nie
Tanzania	shambala	0,7	nie
Uganda	ng'akarimojong	0,7	nie
USA	wloski	0,7	nie
USA	portugalski	0,7	nie
Wietnam	taidam	0,7	nie
Birma	pa'o	0,6	nie
