Id	Srod_lok	Pora_roku
1	rower	wiosna
1	rower	lato
1	rower	jesien
1	tramwaj	zima
2	samochod	wiosna
2	samochod	lato
2	samochod	jesien
2	samochod	zima
3	autobus	wiosna
3	autobus	lato
3	autobus	jesien
3	autobus	zima
4	samochod	wiosna
4	rower	lato
4	samochod	jesien
4	samochod	zima
5	samochod	wiosna
5	rower	lato
5	samochod	jesien
5	samochod	zima
6	tramwaj	wiosna
6	tramwaj	lato
6	tramwaj	jesien
6	tramwaj	zima
7	rower	wiosna
7	rower	lato
7	tramwaj	jesien
7	tramwaj	zima
8	samochod	wiosna
8	samochod	lato
8	samochod	jesien
8	samochod	zima
9	rower	wiosna
9	rower	lato
9	tramwaj	jesien
9	tramwaj	zima
10	samochod	wiosna
10	samochod	lato
10	samochod	jesien
10	samochod	zima
11	pociag	wiosna
11	pociag	lato
11	pociag	jesien
11	pociag	zima
12	autobus	wiosna
12	autobus	lato
12	autobus	jesien
12	autobus	zima
13	samochod	wiosna
13	samochod	lato
13	samochod	jesien
13	samochod	zima
14	autobus	wiosna
14	autobus	lato
14	autobus	jesien
14	autobus	zima
15	rower	wiosna
15	rower	lato
15	tramwaj	jesien
15	tramwaj	zima
16	rower	wiosna
16	rower	lato
16	tramwaj	jesien
16	tramwaj	zima
17	autobus	wiosna
17	autobus	lato
17	autobus	jesien
17	autobus	zima
18	rower	wiosna
18	rower	lato
18	tramwaj	jesien
18	tramwaj	zima
19	rower	wiosna
19	rower	lato
19	tramwaj	jesien
19	tramwaj	zima
20	rower	wiosna
20	rower	lato
20	tramwaj	jesien
20	tramwaj	zima
21	tramwaj	wiosna
21	tramwaj	lato
21	tramwaj	jesien
21	tramwaj	zima
22	tramwaj	wiosna
22	tramwaj	lato
22	tramwaj	jesien
22	tramwaj	zima
23	samochod	wiosna
23	rower	lato
23	samochod	jesien
23	samochod	zima
24	samochod	wiosna
24	samochod	lato
24	samochod	jesien
24	samochod	zima
25	samochod	wiosna
25	samochod	lato
25	samochod	jesien
25	samochod	zima
26	rower	wiosna
26	rower	lato
26	samochod	jesien
26	samochod	zima
27	samochod	wiosna
27	rower	lato
27	samochod	jesien
27	samochod	zima
28	samochod	wiosna
28	samochod	lato
28	samochod	jesien
28	samochod	zima
29	pociag	wiosna
29	pociag	lato
29	pociag	jesien
29	pociag	zima
30	tramwaj	wiosna
30	rower	lato
30	tramwaj	jesien
30	tramwaj	zima
31	rower	wiosna
31	rower	lato
31	autobus	jesien
31	autobus	zima
32	pociag	wiosna
32	pociag	lato
32	pociag	jesien
32	pociag	zima
33	rower	wiosna
33	rower	lato
33	autobus	jesien
33	autobus	zima
34	pociag	wiosna
34	pociag	lato
34	pociag	jesien
34	pociag	zima
35	tramwaj	wiosna
35	tramwaj	lato
35	tramwaj	jesien
35	tramwaj	zima
36	rower	wiosna
36	rower	lato
36	autobus	jesien
36	autobus	zima
37	pociag	wiosna
37	pociag	lato
37	pociag	jesien
37	pociag	zima
38	samochod	wiosna
38	rower	lato
38	samochod	jesien
38	samochod	zima
39	rower	wiosna
39	rower	lato
39	autobus	jesien
39	autobus	zima
40	rower	wiosna
40	rower	lato
40	autobus	jesien
40	autobus	zima
41	samochod	wiosna
41	samochod	lato
41	samochod	jesien
41	samochod	zima
42	tramwaj	wiosna
42	rower	lato
42	tramwaj	jesien
42	tramwaj	zima
43	samochod	wiosna
43	samochod	lato
43	samochod	jesien
43	samochod	zima
44	rower	wiosna
44	rower	lato
44	rower	jesien
44	autobus	zima
45	samochod	wiosna
45	samochod	lato
45	samochod	jesien
45	samochod	zima
46	tramwaj	wiosna
46	tramwaj	lato
46	tramwaj	jesien
46	tramwaj	zima
47	tramwaj	wiosna
47	tramwaj	lato
47	tramwaj	jesien
47	tramwaj	zima
48	tramwaj	wiosna
48	tramwaj	lato
48	tramwaj	jesien
48	tramwaj	zima
49	pociag	wiosna
49	pociag	lato
49	pociag	jesien
49	pociag	zima
50	rower	wiosna
50	rower	lato
50	autobus	jesien
50	autobus	zima
51	pociag	wiosna
51	pociag	lato
51	pociag	jesien
51	pociag	zima
52	samochod	wiosna
52	samochod	lato
52	samochod	jesien
52	samochod	zima
53	samochod	wiosna
53	rower	lato
53	samochod	jesien
53	samochod	zima
54	tramwaj	wiosna
54	tramwaj	lato
54	tramwaj	jesien
54	tramwaj	zima
55	samochod	wiosna
55	samochod	lato
55	samochod	jesien
55	samochod	zima
56	rower	wiosna
56	rower	lato
56	autobus	jesien
56	autobus	zima
57	autobus	wiosna
57	autobus	lato
57	autobus	jesien
57	autobus	zima
58	samochod	wiosna
58	samochod	lato
58	samochod	jesien
58	samochod	zima
59	tramwaj	wiosna
59	tramwaj	lato
59	tramwaj	jesien
59	tramwaj	zima
60	tramwaj	wiosna
60	rower	lato
60	tramwaj	jesien
60	tramwaj	zima
61	rower	wiosna
61	rower	lato
61	autobus	jesien
61	autobus	zima
62	rower	wiosna
62	rower	lato
62	autobus	jesien
62	autobus	zima
63	pociag	wiosna
63	pociag	lato
63	pociag	jesien
63	pociag	zima
64	autobus	wiosna
64	rower	lato
64	autobus	jesien
64	autobus	zima
65	rower	wiosna
65	rower	lato
65	autobus	jesien
65	autobus	zima
66	tramwaj	wiosna
66	tramwaj	lato
66	tramwaj	jesien
66	tramwaj	zima
67	rower	wiosna
67	rower	lato
67	autobus	jesien
67	autobus	zima
68	rower	wiosna
68	rower	lato
68	autobus	jesien
68	autobus	zima
69	tramwaj	wiosna
69	tramwaj	lato
69	tramwaj	jesien
69	tramwaj	zima
70	pociag	wiosna
70	pociag	lato
70	pociag	jesien
70	pociag	zima
71	pociag	wiosna
71	pociag	lato
71	pociag	jesien
71	pociag	zima
72	rower	wiosna
72	rower	lato
72	autobus	jesien
72	autobus	zima
73	rower	wiosna
73	rower	lato
73	autobus	jesien
73	autobus	zima
74	pociag	wiosna
74	pociag	lato
74	pociag	jesien
74	pociag	zima
75	rower	wiosna
75	rower	lato
75	rower	jesien
75	autobus	zima
76	pociag	wiosna
76	pociag	lato
76	pociag	jesien
76	pociag	zima
77	tramwaj	wiosna
77	tramwaj	lato
77	tramwaj	jesien
77	tramwaj	zima
78	autobus	wiosna
78	autobus	lato
78	autobus	jesien
78	autobus	zima
79	autobus	wiosna
79	autobus	lato
79	autobus	jesien
79	autobus	zima
80	tramwaj	wiosna
80	tramwaj	lato
80	tramwaj	jesien
80	tramwaj	zima
81	rower	wiosna
81	rower	lato
81	rower	jesien
81	autobus	zima
82	tramwaj	wiosna
82	tramwaj	lato
82	tramwaj	jesien
82	tramwaj	zima
83	tramwaj	wiosna
83	tramwaj	lato
83	tramwaj	jesien
83	tramwaj	zima
84	rower	wiosna
84	rower	lato
84	rower	jesien
84	autobus	zima
85	tramwaj	wiosna
85	tramwaj	lato
85	tramwaj	jesien
85	tramwaj	zima
86	pociag	wiosna
86	pociag	lato
86	pociag	jesien
86	pociag	zima
87	tramwaj	wiosna
87	rower	lato
87	tramwaj	jesien
87	tramwaj	zima
88	autobus	wiosna
88	autobus	lato
88	autobus	jesien
88	autobus	zima
89	samochod	wiosna
89	samochod	lato
89	samochod	jesien
89	samochod	zima
90	samochod	wiosna
90	samochod	lato
90	samochod	jesien
90	samochod	zima
91	pociag	wiosna
91	pociag	lato
91	pociag	jesien
91	pociag	zima
92	rower	wiosna
92	rower	lato
92	autobus	jesien
92	autobus	zima
93	pociag	wiosna
93	pociag	lato
93	pociag	jesien
93	pociag	zima
94	samochod	wiosna
94	rower	lato
94	samochod	jesien
94	samochod	zima
95	rower	wiosna
95	rower	lato
95	autobus	jesien
95	autobus	zima
96	tramwaj	wiosna
96	rower	lato
96	tramwaj	jesien
96	tramwaj	zima
97	samochod	wiosna
97	samochod	lato
97	samochod	jesien
97	samochod	zima
98	tramwaj	wiosna
98	tramwaj	lato
98	tramwaj	jesien
98	tramwaj	zima
99	rower	wiosna
99	rower	lato
99	autobus	jesien
99	autobus	zima
100	samochod	wiosna
100	samochod	lato
100	samochod	jesien
100	samochod	zima
101	samochod	wiosna
101	samochod	lato
101	samochod	jesien
101	samochod	zima
102	rower	wiosna
102	rower	lato
102	autobus	jesien
102	autobus	zima
103	tramwaj	wiosna
103	tramwaj	lato
103	tramwaj	jesien
103	tramwaj	zima
104	samochod	wiosna
104	rower	lato
104	samochod	jesien
104	samochod	zima
105	samochod	wiosna
105	samochod	lato
105	samochod	jesien
105	samochod	zima
106	autobus	wiosna
106	autobus	lato
106	autobus	jesien
106	autobus	zima
107	samochod	wiosna
107	samochod	lato
107	samochod	jesien
107	samochod	zima
108	rower	wiosna
108	rower	lato
108	autobus	jesien
108	autobus	zima
109	tramwaj	wiosna
109	tramwaj	lato
109	tramwaj	jesien
109	tramwaj	zima
110	tramwaj	wiosna
110	tramwaj	lato
110	tramwaj	jesien
110	tramwaj	zima
111	pociag	wiosna
111	pociag	lato
111	pociag	jesien
111	pociag	zima
112	tramwaj	wiosna
112	tramwaj	lato
112	tramwaj	jesien
112	tramwaj	zima
113	rower	wiosna
113	rower	lato
113	autobus	jesien
113	autobus	zima
114	autobus	wiosna
114	autobus	lato
114	autobus	jesien
114	autobus	zima
115	rower	wiosna
115	rower	lato
115	autobus	jesien
115	autobus	zima
116	tramwaj	wiosna
116	tramwaj	lato
116	tramwaj	jesien
116	tramwaj	zima
117	samochod	wiosna
117	samochod	lato
117	samochod	jesien
117	samochod	zima
118	pociag	wiosna
118	pociag	lato
118	pociag	jesien
118	pociag	zima
119	rower	wiosna
119	rower	lato
119	autobus	jesien
119	autobus	zima
120	tramwaj	wiosna
120	tramwaj	lato
120	tramwaj	jesien
120	tramwaj	zima
121	samochod	wiosna
121	samochod	lato
121	samochod	jesien
121	samochod	zima
122	tramwaj	wiosna
122	tramwaj	lato
122	tramwaj	jesien
122	tramwaj	zima
123	pociag	wiosna
123	pociag	lato
123	pociag	jesien
123	pociag	zima
124	tramwaj	wiosna
124	tramwaj	lato
124	tramwaj	jesien
124	tramwaj	zima
125	tramwaj	wiosna
125	tramwaj	lato
125	tramwaj	jesien
125	tramwaj	zima
126	rower	wiosna
126	rower	lato
126	autobus	jesien
126	autobus	zima
127	pociag	wiosna
127	pociag	lato
127	pociag	jesien
127	pociag	zima
128	rower	wiosna
128	rower	lato
128	rower	jesien
128	tramwaj	zima
129	tramwaj	wiosna
129	tramwaj	lato
129	tramwaj	jesien
129	tramwaj	zima
130	samochod	wiosna
130	samochod	lato
130	samochod	jesien
130	samochod	zima
