Id	Zainteresowania
14	polityka
254	muzyka
201	jezyki
147	gry komputerowe
232	jezyki
74	matematyka
165	turystyka
56	sport
219	informatyka
52	turystyka
128	jezyki
280	matematyka
126	muzyka
143	gry komputerowe
214	informatyka
130	gry komputerowe
223	turystyka
207	matematyka
51	informatyka
276	sport
104	taniec
279	matematyka
196	turystyka
119	polityka
22	muzyka
16	turystyka
77	turystyka
148	turystyka
101	sport
149	jezyki
203	turystyka
211	sport
97	matematyka
114	turystyka
145	jezyki
75	taniec
260	sport
234	jezyki
250	informatyka
175	gry komputerowe
277	polityka
218	polityka
139	turystyka
23	informatyka
184	taniec
156	turystyka
253	informatyka
30	informatyka
136	jezyki
182	muzyka
9	polityka
173	jezyki
84	muzyka
19	turystyka
243	muzyka
264	polityka
103	polityka
161	turystyka
235	informatyka
258	sport
85	gry komputerowe
237	turystyka
57	matematyka
47	matematyka
127	gry komputerowe
99	jezyki
191	muzyka
206	gry komputerowe
110	jezyki
113	polityka
53	jezyki
32	jezyki
33	turystyka
210	muzyka
91	sport
112	muzyka
5	turystyka
262	polityka
46	informatyka
105	jezyki
178	gry komputerowe
123	turystyka
199	turystyka
70	jezyki
67	muzyka
153	muzyka
190	jezyki
76	matematyka
146	muzyka
244	sport
41	sport
205	informatyka
198	muzyka
124	jezyki
204	jezyki
241	polityka
88	gry komputerowe
132	jezyki
6	muzyka
212	matematyka
272	sport
179	gry komputerowe
64	sport
60	polityka
185	jezyki
202	muzyka
171	muzyka
58	polityka
39	muzyka
188	gry komputerowe
168	jezyki
208	sport
160	jezyki
170	jezyki
100	turystyka
36	informatyka
251	matematyka
62	matematyka
95	turystyka
108	muzyka
15	informatyka
166	jezyki
186	gry komputerowe
18	matematyka
40	sport
54	sport
152	jezyki
82	muzyka
239	muzyka
4	sport
224	jezyki
150	muzyka
86	informatyka
255	informatyka
249	muzyka
120	turystyka
44	jezyki
174	muzyka
138	gry komputerowe
159	gry komputerowe
66	matematyka
71	turystyka
17	informatyka
195	muzyka
238	muzyka
162	gry komputerowe
92	turystyka
261	matematyka
134	gry komputerowe
222	matematyka
27	gry komputerowe
269	gry komputerowe
35	muzyka
213	polityka
50	muzyka
61	matematyka
257	jezyki
