id_startu	czas
1	87:53:50
2	88:41:50
4	90:13:41
5	91:16:45
6	91:15:28
7	88:29:16
8	90:19:56
9	91:48:37
10	87:52:52
11	89:42:32
12	89:50:01
13	89:22:51
14	91:00:38
15	88:04:24
16	87:57:20
17	91:09:53
18	89:04:47
19	89:19:52
20	88:16:32
21	90:50:36
22	89:29:52
23	90:49:04
24	90:26:47
25	87:59:17
26	89:34:51
27	90:01:15
28	88:00:04
29	88:41:15
30	91:08:45
31	91:32:40
32	89:41:19
33	89:32:29
35	89:51:08
36	89:48:31
37	87:59:47
38	91:13:20
40	90:51:26
41	91:47:44
42	90:57:44
43	89:01:07
44	89:18:19
45	88:17:47
47	89:29:13
49	90:23:04
52	90:15:25
53	90:56:54
55	89:52:05
58	90:05:55
59	88:05:51
60	91:19:39
61	88:21:25
62	91:20:55
63	91:06:30
65	90:28:00
66	91:09:28
67	88:38:11
68	90:27:00
69	91:30:14
70	91:19:08
71	88:37:35
72	89:29:49
73	90:38:12
74	90:48:21
75	88:20:03
76	91:28:22
77	88:21:23
78	90:07:17
79	89:13:16
80	90:09:25
83	90:23:28
84	89:02:17
85	91:17:00
87	90:32:50
88	91:01:15
89	90:30:59
90	90:06:42
91	88:39:23
92	90:00:25
93	89:40:16
94	88:02:47
95	89:59:13
97	88:24:42
98	91:28:16
99	88:01:57
100	88:30:12
101	91:09:03
102	88:53:56
103	91:18:26
105	91:44:47
106	90:02:15
107	90:27:04
110	91:25:17
113	89:12:58
115	90:09:35
116	90:15:56
117	89:48:56
118	87:55:02
120	89:58:38
121	91:20:59
122	88:58:30
123	89:58:02
124	89:43:16
125	88:25:51
126	89:48:44
127	88:43:11
128	90:25:11
129	90:46:43
130	90:16:08
131	89:05:50
132	91:41:10
134	89:40:14
135	90:31:05
136	89:19:32
137	91:16:09
138	88:40:35
139	91:20:21
140	90:51:23
141	90:41:25
142	91:26:32
143	89:42:41
144	89:19:34
145	88:12:15
147	89:42:46
148	91:22:52
149	91:02:48
151	90:01:42
152	91:14:24
153	90:12:25
163	89:47:17
164	91:28:44
165	91:10:37
167	91:07:29
168	89:37:16
169	88:16:23
170	89:19:14
171	88:28:33
172	87:55:57
174	91:00:49
175	91:23:39
176	89:26:14
177	90:06:33
178	91:24:22
179	89:52:31
180	90:29:21
181	86:14:56
182	88:05:14
184	86:56:50
185	88:17:10
186	88:34:35
188	89:04:08
189	87:56:33
190	86:33:59
191	88:30:55
192	87:49:27
193	86:57:40
194	88:53:46
195	88:08:49
196	86:09:25
197	88:14:13
198	87:18:12
199	85:48:35
201	85:55:17
203	89:31:50
204	86:42:35
205	86:49:43
206	89:18:42
207	86:32:09
208	85:52:46
210	88:12:30
211	87:03:57
212	88:57:14
213	85:54:39
214	86:38:22
215	86:35:09
218	88:50:46
219	88:31:20
220	88:28:00
221	87:25:54
223	87:10:34
224	87:47:00
225	87:23:32
226	86:00:39
227	88:53:16
228	89:36:48
229	87:02:38
230	88:18:28
231	88:03:39
232	89:21:14
233	85:54:36
234	87:51:11
235	86:03:19
236	87:33:14
238	86:55:55
239	88:34:52
241	87:46:04
243	87:24:24
244	89:10:29
245	89:36:18
246	89:15:41
247	86:22:02
248	87:15:27
249	86:43:39
250	86:32:29
251	89:34:55
252	88:31:32
254	88:00:04
256	86:38:18
257	86:11:04
258	89:14:14
259	86:09:20
260	88:01:18
261	86:26:55
263	89:15:49
264	86:02:51
265	88:12:33
266	85:56:10
267	89:30:46
268	88:48:32
269	88:52:35
270	88:04:46
271	86:05:54
273	88:51:01
274	90:05:02
276	86:03:00
277	86:57:58
278	89:23:10
279	88:35:56
281	87:40:27
283	88:47:45
284	87:42:43
285	86:46:22
286	88:02:51
287	86:30:02
288	87:08:55
289	87:17:10
290	89:15:53
291	89:18:58
292	88:14:27
293	88:34:03
294	87:47:55
295	86:46:12
296	87:31:03
297	86:51:39
298	88:14:57
299	89:27:49
300	87:57:17
302	87:10:31
303	88:41:19
304	89:12:04
305	89:30:21
306	88:40:59
307	87:36:15
308	89:05:19
309	89:05:04
310	87:14:42
311	89:23:30
312	86:50:04
313	88:50:36
314	86:26:19
315	86:57:58
316	86:22:44
317	87:27:05
319	89:37:56
320	88:02:31
321	88:06:11
322	88:31:57
323	88:47:03
325	86:07:09
326	86:18:08
327	87:47:27
328	89:20:44
329	86:48:56
331	88:28:14
332	88:53:45
333	88:15:09
334	86:33:08
335	87:41:39
336	87:14:22
337	86:29:49
341	87:28:44
342	87:39:44
343	86:27:10
344	89:03:47
345	89:01:20
346	87:53:28
347	86:23:23
348	89:37:13
349	86:35:10
350	89:18:29
352	89:24:49
353	88:43:56
354	88:42:00
355	88:44:03
356	89:38:14
357	88:11:33
359	89:05:25
362	95:09:52
363	95:28:54
364	95:30:50
365	95:25:16
366	93:37:18
367	95:04:10
368	93:43:49
369	92:16:34
370	91:59:27
371	95:34:19
372	95:18:31
373	93:37:20
374	95:41:27
376	94:03:34
377	95:53:00
378	95:22:19
380	93:22:14
381	92:10:50
382	92:15:24
383	92:13:28
384	95:40:35
385	93:24:31
386	94:36:44
387	95:12:59
388	92:38:12
389	95:00:22
390	95:44:35
391	94:42:28
393	95:13:45
394	92:19:34
395	95:07:36
396	93:58:53
397	92:58:21
398	95:19:14
399	94:55:59
400	92:10:42
401	94:38:28
402	95:21:07
403	95:59:50
404	93:46:50
405	95:23:05
407	95:55:01
409	92:09:03
411	95:30:44
412	95:55:34
413	92:57:41
414	95:00:36
415	93:21:26
416	92:44:40
417	94:20:22
418	95:38:25
419	94:54:24
420	96:12:25
421	95:36:45
422	95:45:47
423	94:56:53
425	95:02:00
426	95:07:58
427	93:54:01
428	96:07:16
429	95:07:53
430	92:10:25
432	94:26:07
433	92:15:47
434	95:06:28
435	95:58:33
436	94:14:21
437	92:22:52
439	95:15:08
440	94:59:57
441	92:54:01
442	92:25:25
444	93:08:39
445	96:01:09
446	95:11:45
448	95:22:24
449	95:55:48
450	96:01:47
451	92:05:42
452	93:01:24
453	94:11:10
455	94:28:26
456	93:28:50
457	92:28:26
458	95:17:15
460	95:50:11
461	95:53:04
462	96:21:49
464	95:29:58
465	93:43:49
467	93:08:59
468	93:12:07
469	92:49:15
470	94:41:26
471	95:40:25
472	95:59:35
474	93:45:38
475	95:30:26
476	93:37:59
478	92:58:05
480	92:20:42
481	95:37:24
482	93:56:46
484	95:27:49
485	93:50:21
486	95:14:07
487	94:35:03
488	95:26:24
489	94:48:11
491	94:52:26
492	95:02:55
493	94:11:45
495	95:16:41
496	94:14:55
497	95:12:08
498	93:23:00
499	93:45:25
500	93:24:00
501	93:45:30
502	95:00:28
503	95:12:53
504	94:41:30
505	92:13:09
506	94:11:16
507	94:18:03
508	93:37:14
509	93:46:42
510	92:32:49
511	93:52:27
512	92:13:17
513	94:00:46
515	95:48:38
517	92:52:10
518	94:57:22
519	94:53:18
520	94:03:58
521	94:08:21
522	93:09:40
523	92:02:28
524	95:13:18
525	93:17:57
527	95:23:38
528	94:56:05
530	93:48:45
531	93:08:57
533	95:25:06
534	95:32:33
535	93:08:51
536	92:08:19
537	93:39:33
538	93:45:20
540	95:26:18
541	92:55:41
542	95:21:55
543	95:20:37
544	95:05:32
545	95:28:00
546	96:08:00
547	96:25:51
548	95:43:26
550	94:33:26
551	95:38:00
553	94:28:37
557	94:31:05
558	93:41:15
560	88:44:22
561	88:05:44
562	89:18:51
563	88:21:46
564	87:27:04
565	88:48:48
566	89:22:58
567	89:26:05
568	86:13:56
569	89:19:53
570	87:52:20
571	88:03:41
572	87:05:38
573	88:30:20
574	89:07:47
575	86:14:52
576	88:12:18
577	86:17:17
578	88:12:09
579	87:20:50
580	88:48:36
581	88:24:50
583	89:42:39
585	86:55:28
587	87:27:13
588	89:47:26
589	89:14:13
590	88:39:50
591	89:34:01
593	86:45:03
595	87:17:31
599	88:18:57
600	88:19:48
601	87:58:31
602	87:59:24
603	88:54:03
604	88:15:37
605	86:20:37
606	89:40:22
607	89:50:54
608	86:39:36
609	88:27:18
610	89:49:15
611	86:39:34
614	87:34:26
615	89:06:21
616	89:38:44
617	89:06:12
618	89:13:21
620	89:32:29
621	87:44:10
624	88:39:35
626	87:16:20
627	89:26:51
628	88:36:51
630	86:38:45
631	87:27:02
632	90:06:57
633	88:43:56
634	88:42:09
635	89:01:45
638	88:35:16
639	89:32:24
640	86:19:45
641	89:35:52
642	88:41:46
643	89:26:06
644	88:59:29
645	88:16:18
646	90:10:05
647	87:37:59
648	89:28:22
649	86:58:45
