id_startu	rok	id_zawodnika	kod_grupy	obywatel_kraju
1	2008	176	TNK	Australia
2	2008	2	TNK	Belgia
3	2008	71	TNK	Belgia
4	2008	111	TNK	Wlochy
5	2008	268	TNK	Belgia
6	2008	397	TNK	Australia
7	2008	482	TNK	Ukraina
8	2008	621	TNK	Belgia
9	2008	619	TNK	Belgia
10	2008	528	TNK	Hiszpania
11	2008	16	TNK	Norwegia
12	2008	85	TNK	Szwajcaria
13	2008	278	TNK	Ukraina
14	2008	443	TNK	Australia
15	2008	534	TNK	Luksemburg
16	2008	533	TNK	Luksemburg
17	2008	553	TNK	Dania
18	2008	641	TNK	Niemcy
19	2008	667	EUS	Hiszpania
20	2008	17	EUS	Hiszpania
21	2008	287	EUS	Hiszpania
22	2008	391	EUS	Hiszpania
23	2008	446	EUS	Hiszpania
24	2008	462	EUS	Hiszpania
25	2008	523	EUS	Hiszpania
26	2008	590	EUS	Hiszpania
27	2008	632	EUS	Hiszpania
28	2008	601	MOV	Hiszpania
29	2008	14	MOV	Hiszpania
30	2008	123	MOV	Francja
31	2008	207	MOV	Hiszpania
32	2008	244	MOV	Hiszpania
33	2008	209	MOV	Hiszpania
34	2008	460	MOV	Hiszpania
35	2008	484	MOV	Francja
36	2008	524	MOV	Hiszpania
37	2008	316	THR	Luksemburg
38	2008	81	THR	Niemcy
39	2008	98	THR	Wielka Brytania
40	2008	110	THR	Niemcy
41	2008	169	THR	Austria
42	2008	250	THR	Australia
43	2008	261	THR	Stany Zjednoczone
44	2008	372	THR	Szwecja
45	2008	548	THR	Bialorus
46	2008	552	BAR	Kolumbia
47	2008	20	BAR	Poludniowa Afryka
48	2008	89	BAR	Kolumbia
49	2008	106	BAR	Wlochy
50	2008	118	BAR	Australia
51	2008	159	BAR	Hiszpania
52	2008	199	BAR	Kenia
53	2008	275	BAR	Poludniowa Afryka
54	2008	368	BAR	Wlochy
55	2008	487	CAN	Wlochy
56	2008	38	CAN	Hiszpania
57	2008	107	CAN	Wlochy
58	2008	187	CAN	Brazylia
59	2008	334	CAN	Czechy
60	2008	339	CAN	Bialorus
61	2008	435	CAN	Wlochy
62	2008	492	CAN	Wlochy
63	2008	651	CAN	Belgia
64	2008	127	UAD	Wlochy
65	2008	27	UAD	Wlochy
66	2008	60	UAD	Wlochy
67	2008	77	UAD	Wlochy
68	2008	392	UAD	Wlochy
69	2008	423	UAD	Wlochy
70	2008	501	UAD	Wlochy
71	2008	567	UAD	Polska
72	2008	580	UAD	Wlochy
73	2008	277	C.A	Norwegia
74	2008	59	C.A	Francja
