id_zawodnika	imie	nazwisko	data
1	Janier	Acevedo	1985-12-06
2	Mario	Aerts	1974-12-31
3	Julian	Alaphilippe	1992-06-11
4	Michael	Albasini	1980-12-20
5	Andrey	Amador	1986-08-29
6	Winner	Anacona	1988-08-11
7	Igor	Anton	1983-03-02
8	Yukiya	Arashiro	1984-09-22
9	Shane	Archbold	1989-02-02
10	Lance	Armstrong	1971-09-18
11	Nikias	Arndt	1991-11-18
12	Julian	Arredondo	1988-07-30
13	Jose Luis	Arrieta	1971-06-15
14	David	Arroyo	1980-01-07
15	Fabio	Aru	1990-07-03
16	Kurt Asle	Arvesen	1975-02-09
17	Mikel	Astarloza	1979-11-17
18	Darwin	Atapuma	1988-01-15
19	Stephane	Auge	1974-12-06
20	John-Lee	Augustyn	1986-08-10
21	Jorge	Azanza	1982-06-16
22	Frederik	Backaert	1990-03-13
23	Magnus	Backstedt	1975-01-30
24	Yoann	Bagot	1987-09-06
25	Lars	Bak	1980-01-16
26	Jan	Bakelants	1986-02-14
27	Alessandro	Ballan	1979-11-06
28	Marco	Bandiera	1984-06-12
29	Romain	Bardet	1990-11-09
30	Warren	Barguil	1991-10-28
31	Carlos	Barredo	1981-06-05
32	Michael	Barry	1975-12-18
33	Jan	Barta	1984-12-07
34	Ivan	Basso	1977-11-26
35	Jack	Bauer	1985-04-07
36	Asan	Bazajew	1981-02-22
37	Francesco	Bellotti	1979-08-06
38	Manuel	Beltran	1971-05-28
39	Cesare	Benedetti	1987-08-03
40	Jose Alberto	Benitez	1981-11-14
41	Daniele	Bennati	1980-09-24
42	Sam	Bennett	1990-10-16
43	George	Bennett	1990-04-07
44	Tiesj	Benoot	1994-03-11
45	Fumiyuki	Beppu	1983-04-10
46	Natnael	Berhane	1991-01-05
47	Giovanni	Bernaudeau	1983-08-25
48	Leonardo	Bertagnolli	1978-01-08
49	Rubens	Bertogliati	1979-05-09
50	Carlos	Betancur	1989-10-13
51	Alberto	Bettiol	1993-10-29
52	Patrick	Bevin	1991-02-15
53	Freddy	Bichot	1979-09-09
54	Jean-Marc	Bideau	1984-04-08
55	Aleksandr	Boczarow	1975-02-26
56	Maciej	Bodnar	1985-03-07
57	Kris	Boeckmans	1987-02-13
58	Grega	Bole	1985-08-13
59	William	Bonnet	1982-06-25
60	Matteo	Bono	1983-11-11
61	Brent	Bookwalter	1984-02-16
62	Lars	Boom	1985-12-30
63	Tom	Boonen	1980-10-15
64	Thomas	Boudat	1994-02-24
65	Maxime	Bouet	1986-11-03
66	Nacer	Bouhanni	1990-07-25
67	Borut	Bozic	1980-08-08
68	Janez	Brajkovic	1983-12-18
69	Gianluca	Brambilla	1987-08-22
70	Matthias	Brandle	1989-12-07
71	Christophe	Brandt	1977-05-06
72	Florent	Brard	1976-02-07
73	Vegard	Breen	1990-02-08
74	Matti	Breschel	1984-08-31
75	Nathan	Brown	1991-07-07
76	Frederic	Brun	1988-08-18
77	Marzio	Bruseghin	1974-06-15
78	Pawiel	Brutt	1982-01-29
79	Emanuel	Buchmann	1992-11-18
80	Mickael	Buffaz	1979-05-21
81	Marcus	Burghardt	1983-06-30
82	Matthew	Busche	1985-05-09
83	Lilian	Calmejane	1992-12-06
84	Sylvain	Calzati	1979-07-01
85	Fabian	Cancellara	1981-03-18
