id_jednostki	id_gracza	nazwa	lok_x	lok_y
1	153	piechur	166	30
2	60	topornik	36	44
3	88	drwal	134	88
4	182	kusznik	3	196
5	132	robotnik	119	50
6	34	kawalerzysta	104	168
7	85	piechur	28	89
8	23	kusznik	102	192
9	107	paladyn	45	117
10	54	piechur	196	137
11	146	troll	126	41
12	121	piechur	0	44
13	45	pikinier	29	171
14	94	drwal	194	12
15	130	lekki jezdziec	42	130
16	5	drwal	140	138
17	170	zwiadowca	164	112
18	60	pikinier	4	40
19	170	lekki jezdziec	106	166
20	172	paladyn	198	197
21	181	kusznik	95	137
22	35	topornik	133	162
23	124	robotnik	25	131
24	175	drwal	149	97
25	142	pikinier	17	28
26	123	lekki jezdziec	108	67
27	187	zwiadowca	7	91
28	129	pikinier	3	178
29	198	balista	35	111
30	101	lucznik	1	175
31	134	lucznik	44	0
32	139	robotnik	95	170
33	76	mag wody	21	44
34	138	lekki jezdziec	164	195
35	176	paladyn	118	93
36	114	paladyn	95	26
37	106	kawalerzysta	164	4
38	196	piechur	32	51
39	168	topornik	183	38
40	1	robotnik	161	185
41	151	konny lucznik	5	133
42	192	pikinier	13	80
43	53	lekki jezdziec	105	21
44	133	robotnik	33	181
45	123	drwal	143	89
46	198	kawalerzysta	124	183
47	195	kawalerzysta	3	34
48	57	pikinier	110	46
49	73	topornik	195	164
50	146	drwal	196	30
51	146	zwiadowca	31	174
52	171	architekt	100	63
53	161	topornik	9	156
54	200	robotnik	117	10
55	98	katapulta	106	23
56	69	drwal	161	50
57	156	lekki jezdziec	8	149
58	9	robotnik	179	166
59	17	lekki jezdziec	30	153
60	157	topornik	11	5
61	182	mag ziemi	25	6
62	71	balista	6	60
63	99	piechur	126	108
64	75	lucznik	64	163
65	191	ciemny elf	31	194
66	120	drwal	82	23
67	93	topornik	199	89
68	150	topornik	139	167
69	99	lucznik	184	2
70	96	robotnik	20	152
71	176	drwal	126	12
72	68	balista	70	162
73	22	pikinier	164	27
74	198	piechur	20	177
75	16	kusznik	159	147
76	141	lucznik	20	78
77	83	robotnik	10	97
78	17	topornik	50	162
79	66	drwal	134	32
80	145	kusznik	106	146
81	26	goniec	192	119
82	197	paladyn	93	149
83	87	artylerzysta	192	182
84	105	pikinier	59	128
85	120	katapulta	197	172
86	195	robotnik	159	29
87	25	robotnik	54	111
88	2	artylerzysta	166	80
89	10	kusznik	49	179
90	21	architekt	48	36
91	13	lekki jezdziec	69	100
92	5	lekki jezdziec	29	14
93	87	kusznik	56	97
94	39	pikinier	103	184
95	8	pikinier	143	44
96	137	robotnik	124	39
97	10	mag ognia	196	127
98	175	kusznik	144	109
99	137	lucznik	43	7
100	189	zwiadowca	51	70
101	23	topornik	12	117
102	191	piechur	149	74
103	64	lekki jezdziec	37	169
104	170	mag powietrza	182	147
105	147	pikinier	172	54
106	61	lucznik	63	38
107	119	topornik	38	75
108	28	topornik	86	85
109	50	kaplan	22	72
110	4	pikinier	35	34
111	114	architekt	17	159
112	52	kawalerzysta	17	110
113	75	pikinier	137	11
114	163	piechur	55	58
115	96	architekt	139	192
116	20	artylerzysta	92	6
117	13	pikinier	81	75
118	4	drwal	31	17
119	185	topornik	54	29
120	7	katapulta	118	130
121	31	pikinier	90	22
122	31	robotnik	183	150
123	102	paladyn	183	4
124	179	artylerzysta	34	50
125	146	lekki jezdziec	176	113
126	79	piechur	154	139
127	199	kawalerzysta	140	188
128	64	robotnik	111	193
129	129	lucznik	49	26
130	86	kusznik	50	51
131	181	balista	62	165
132	174	piechur	169	87
133	118	lucznik	77	17
134	44	lekki jezdziec	182	167
135	163	architekt	152	96
136	125	piechur	29	175
137	27	kusznik	168	103
138	143	robotnik	196	98
139	150	robotnik	102	107
140	1	lucznik	129	40
141	1	kawalerzysta	171	27
142	109	lekki jezdziec	49	32
143	67	zwiadowca	161	166
144	187	pikinier	198	96
145	147	pikinier	91	114
146	4	ciemny elf	7	62
147	112	topornik	166	64
148	169	lekki jezdziec	46	136
149	31	piechur	40	183
150	102	wysoki elf-gwardzista	31	63
151	17	pikinier	21	8
152	30	lekki jezdziec	95	194
153	192	kusznik	53	12
154	15	lucznik	86	63
155	151	lucznik	74	147
156	134	balista	6	17
157	15	lucznik	29	99
158	28	lekki jezdziec	185	21
159	51	topornik	191	74
160	192	drwal	35	23
161	32	robotnik	166	44
162	101	artylerzysta	93	177
163	52	pikinier	128	37
164	192	lucznik	161	191
165	186	balista	13	199
166	130	robotnik	127	80
167	185	architekt	18	187
168	66	piechur	197	71
169	111	pikinier	100	2
170	165	mag powietrza	140	58
171	105	troll	116	10
172	129	kusznik	157	117
173	184	kusznik	45	199
174	62	balista	176	27
175	28	kusznik	106	76
176	179	robotnik	41	23
177	43	piechur	138	191
178	200	drwal	161	28
179	95	topornik	167	110
180	73	pikinier	102	19
181	187	drwal	7	33
182	126	artylerzysta	113	144
183	171	piechur	23	77
184	93	lucznik	19	164
185	80	lucznik	58	24
186	134	pikinier	197	177
187	184	robotnik	13	8
188	184	balista	92	79
189	174	kusznik	189	172
190	171	lucznik	188	138
191	139	piechur	68	99
192	58	lekki jezdziec	193	8
193	48	pikinier	129	33
194	72	topornik	87	22
195	95	robotnik	158	161
196	82	lucznik	41	171
197	65	piechur	135	48
198	7	topornik	111	35
199	53	kusznik	155	99
200	173	kaplan	91	145
201	37	robotnik	20	158
202	5	pikinier	147	36
203	60	lekki jezdziec	147	78
204	143	lekki jezdziec	16	96
205	76	mag ziemi	190	169
206	20	lucznik	23	94
207	120	robotnik	179	58
208	163	topornik	32	123
209	39	piechur	60	155
210	31	kawalerzysta	178	73
211	23	lucznik	58	70
212	53	zwiadowca	42	87
213	47	kawalerzysta	65	150
214	153	drwal	188	26
215	79	balista	185	116
216	172	katapulta	12	0
217	169	lucznik	50	114
218	179	robotnik	195	23
219	90	drwal	134	0
220	111	kaplan	70	151
221	100	balista	86	110
222	83	zwiadowca	53	197
223	81	kawalerzysta	18	28
224	59	pikinier	3	2
225	162	robotnik	25	122
226	148	architekt	4	144
227	168	balista	153	199
228	28	artylerzysta	7	188
229	79	pikinier	26	155
230	84	lucznik	167	70
231	148	architekt	39	32
232	180	balista	73	195
233	181	lekki jezdziec	23	92
234	173	mag wody	48	91
235	183	robotnik	102	197
236	61	topornik	176	54
237	31	pikinier	46	185
238	111	ciemny elf	61	60
239	104	kawalerzysta	108	191
240	32	ciemny elf	85	52
241	134	robotnik	45	186
242	147	lekki jezdziec	168	139
243	125	kawalerzysta	135	3
244	100	topornik	126	87
245	160	robotnik	62	89
246	142	mag ognia	181	34
247	186	robotnik	176	168
248	94	robotnik	123	157
249	166	kusznik	194	22
250	33	paladyn	120	24
251	125	pikinier	188	131
252	163	topornik	11	126
253	59	lucznik	0	196
254	37	lucznik	189	161
255	31	lekki jezdziec	44	75
256	121	topornik	149	36
257	158	artylerzysta	10	178
258	148	artylerzysta	186	42
259	119	drwal	114	81
260	43	kusznik	151	58
261	94	kusznik	80	40
262	175	katapulta	49	112
263	2	kawalerzysta	25	121
264	31	lucznik	104	169
265	22	lucznik	113	115
266	71	drwal	193	12
267	78	mag powietrza	111	144
268	1	pikinier	51	97
269	98	lekki jezdziec	3	16
270	163	pikinier	164	87
271	132	mag wody	105	107
272	161	ciemny elf	127	99
273	3	topornik	127	0
274	187	topornik	91	59
275	124	paladyn	46	104
276	185	robotnik	79	20
277	144	pikinier	173	166
278	170	mag powietrza	48	19
279	106	troll	25	157
280	28	piechur	54	177
281	121	balista	71	188
282	152	piechur	143	51
283	146	topornik	111	160
284	10	pikinier	162	138
285	183	pikinier	104	184
286	71	mag ziemi	142	61
287	62	kusznik	42	37
288	166	kawalerzysta	122	178
289	124	artylerzysta	198	151
290	117	pikinier	108	183
291	189	topornik	42	116
292	169	pikinier	131	114
293	77	lucznik	63	127
294	147	kusznik	148	98
295	86	kawalerzysta	57	171
296	198	pikinier	68	102
297	179	topornik	184	189
298	107	piechur	50	199
299	76	robotnik	7	142
300	113	lekki jezdziec	133	169
301	28	mag ziemi	69	38
302	52	kawalerzysta	103	186
303	197	architekt	22	149
304	142	robotnik	9	153
305	185	balista	95	88
306	147	pikinier	80	99
307	140	robotnik	37	192
308	184	mag ziemi	42	85
309	125	zwiadowca	9	178
310	3	robotnik	127	142
311	115	lekki jezdziec	65	73
312	99	architekt	27	99
313	73	piechur	190	197
314	64	pikinier	160	81
315	163	katapulta	89	192
316	145	artylerzysta	109	8
317	59	kusznik	26	10
318	27	piechur	57	23
319	17	kawalerzysta	14	129
320	119	elfi czarodziej	62	184
321	31	robotnik	190	170
322	184	piechur	189	173
323	122	piechur	94	116
324	26	lucznik	97	154
325	108	topornik	174	79
326	107	mag ognia	197	92
327	33	katapulta	93	119
328	110	architekt	73	182
329	102	piechur	181	87
330	39	lucznik	32	169
331	181	pikinier	174	29
332	140	artylerzysta	110	177
333	108	drwal	117	29
334	137	pikinier	113	143
335	180	pikinier	113	106
336	58	drwal	150	159
337	10	pikinier	124	62
338	67	paladyn	57	161
339	136	pikinier	52	162
340	108	artylerzysta	52	155
341	146	pikinier	109	36
342	61	topornik	136	174
343	134	kawalerzysta	150	69
344	104	artylerzysta	64	177
345	113	mag ziemi	191	73
346	84	katapulta	72	77
347	171	mag powietrza	122	110
348	4	piechur	81	5
349	105	topornik	96	144
