KodKlienta;I;II;III;IV;V;VI;VII;VIII;IX;X;XI;XII
0000104WIL;10;10;5;8;14;18;21;17;10;9;4;10
0000201ZOL;2;2;1;3;3;4;4;4;2;2;2;2
0000302MOK;4;4;2;6;5;7;10;8;4;6;3;3
0000402MOK;3;3;3;5;4;7;9;7;4;6;2;2
0000503BIE;7;3;7;8;7;10;13;10;6;9;7;7
0000601BIA;1;1;2;3;2;3;5;3;2;3;2;2
0000703WIL;3;7;6;10;6;10;13;11;9;6;4;7
0000804BIE;7;7;7;8;12;18;19;13;14;9;9;4
0000902OCH;3;2;4;6;5;6;10;8;6;6;4;3
0001004REM;4;6;5;14;13;15;21;18;9;14;8;9
0001102PRA;2;3;4;4;4;6;10;6;4;5;4;4
0001205URY;6;10;11;16;11;20;27;20;16;14;11;6
0001304WES;5;4;6;10;13;16;16;18;8;13;7;5
0001404OCH;7;5;10;9;9;14;16;17;10;8;6;8
0001504ZOL;10;7;6;11;13;13;21;16;10;12;6;6
0001604WES;9;7;7;11;11;12;19;14;11;14;5;4
0001702MOK;3;4;4;6;6;6;9;7;6;5;4;2
0001803TAR;6;6;7;7;7;10;14;9;8;9;3;5
0001904WOL;5;5;8;14;13;15;16;15;8;11;5;10
0002001TAR;2;2;1;3;3;3;5;4;2;2;2;2
0002104ZOL;4;4;5;10;13;12;19;14;10;9;8;6
0002203BIA;7;7;4;7;8;10;15;10;10;6;7;4
0002304WOL;6;9;10;8;11;14;18;15;13;8;5;5
0002403BIA;5;5;5;6;6;11;14;12;6;9;4;3
0002501WLO;2;1;1;2;3;3;5;3;3;3;2;1
0002601URU;2;1;1;3;3;3;4;4;2;2;2;2
0002703BIA;3;3;6;6;7;10;16;11;8;7;4;4
0002803WES;6;3;4;7;8;11;13;12;9;6;6;7
0002904REM;4;8;9;11;8;15;21;17;14;12;8;10
0003004TAR;6;9;8;13;9;12;18;14;13;10;9;5
0003102PRA;2;2;3;4;6;8;9;6;4;6;4;2
0003204WIL;9;5;8;13;11;13;22;13;12;13;4;5
0003305WLO;6;10;6;13;13;16;23;20;14;17;9;8
