id;id_zespolu;kod_miasta;data
1;109;99-508;2017-07-25
2;111;99-540;2017-07-19
3;104;99-510;2017-07-27
4;114;99-520;2017-08-03
5;123;99-545;2017-07-04
6;106;99-500;2017-08-29
7;108;99-540;2017-07-10
8;121;99-532;2017-07-06
9;108;99-530;2017-07-27
10;106;99-531;2017-08-10
11;104;99-500;2017-07-26
12;114;99-500;2017-07-25
13;121;99-520;2017-07-15
14;114;99-549;2017-08-09
15;107;99-520;2017-08-19
16;120;99-511;2017-07-25
17;115;99-510;2017-08-27
18;112;99-508;2017-08-02
19;102;99-545;2017-08-27
20;101;99-524;2017-07-17
21;114;99-509;2017-07-15
22;101;99-511;2017-07-11
23;104;99-520;2017-07-24
24;105;99-539;2017-07-03
25;110;99-532;2017-08-09
26;123;99-546;2017-07-09
27;113;99-541;2017-07-29
28;122;99-544;2017-07-04
29;118;99-501;2017-07-12
30;104;99-522;2017-08-02
31;115;99-538;2017-07-12
32;103;99-536;2017-08-07
33;102;99-535;2017-07-22
34;123;99-521;2017-08-14
35;102;99-549;2017-08-03
36;109;99-523;2017-07-08
37;101;99-546;2017-08-20
38;104;99-503;2017-07-22
39;116;99-515;2017-07-17
40;106;99-518;2017-07-13
41;119;99-505;2017-07-31
42;102;99-543;2017-07-02
43;122;99-538;2017-08-05
44;108;99-518;2017-08-26
45;110;99-530;2017-07-06
46;116;99-528;2017-07-05
47;104;99-531;2017-07-28
48;109;99-528;2017-08-21
49;111;99-528;2017-07-26
50;109;99-526;2017-08-02
51;118;99-502;2017-07-30
52;110;99-528;2017-08-20
53;102;99-503;2017-08-23
54;103;99-516;2017-07-22
55;120;99-501;2017-07-13
56;122;99-530;2017-08-19
57;121;99-540;2017-08-28
58;111;99-535;2017-08-16
59;116;99-505;2017-08-05
60;108;99-532;2017-08-27
61;103;99-547;2017-07-29
62;123;99-535;2017-07-28
63;122;99-532;2017-08-07
64;106;99-512;2017-08-05
65;123;99-503;2017-07-02
66;120;99-544;2017-08-12
67;101;99-507;2017-07-03
68;106;99-521;2017-07-12
69;107;99-521;2017-08-06
70;108;99-527;2017-08-20
71;121;99-532;2017-07-11
72;122;99-508;2017-07-19
73;113;99-530;2017-07-15
74;119;99-505;2017-08-05
75;116;99-533;2017-07-06
76;104;99-531;2017-08-14
77;105;99-529;2017-08-06
78;102;99-534;2017-08-29
79;105;99-537;2017-08-14
80;111;99-504;2017-07-20
81;120;99-512;2017-07-30
82;110;99-535;2017-07-21
83;118;99-515;2017-07-14
84;107;99-536;2017-08-13
85;102;99-549;2017-07-30
86;101;99-515;2017-07-26
87;101;99-512;2017-07-10
88;101;99-502;2017-08-30
89;104;99-532;2017-08-16
90;118;99-533;2017-08-09
91;121;99-507;2017-07-05
92;109;99-541;2017-08-14
93;101;99-519;2017-07-02
94;115;99-534;2017-07-07
95;109;99-541;2017-08-25
