IdEwidencji;IdUcznia;Wejscie;Wyjscie
1;18;2022-04-04 07:02:00;2022-04-04 14:11:00
2;94;2022-04-04 07:07:00;2022-04-04 14:14:00
3;121;2022-04-04 07:07:00;2022-04-04 14:14:00
4;88;2022-04-04 07:10:00;2022-04-04 14:12:00
5;397;2022-04-04 07:10:00;2022-04-04 14:12:00
6;89;2022-04-04 07:10:00;2022-04-04 14:52:00
7;124;2022-04-04 07:10:00;2022-04-04 14:52:00
8;77;2022-04-04 07:10:00;2022-04-04 15:59:00
9;122;2022-04-04 07:10:00;2022-04-04 15:59:00
10;69;2022-04-04 07:11:00;2022-04-04 14:31:00
11;125;2022-04-04 07:11:00;2022-04-04 14:31:00
12;112;2022-04-04 07:11:00;2022-04-04 14:37:00
13;126;2022-04-04 07:11:00;2022-04-04 14:37:00
14;197;2022-04-04 07:11:00;2022-04-04 14:37:00
15;310;2022-04-04 07:11:00;2022-04-04 14:37:00
16;335;2022-04-04 07:11:00;2022-04-04 14:37:00
17;360;2022-04-04 07:11:00;2022-04-04 14:37:00
18;73;2022-04-04 07:12:00;2022-04-04 14:13:00
19;127;2022-04-04 07:12:00;2022-04-04 14:13:00
20;198;2022-04-04 07:12:00;2022-04-04 14:13:00
21;311;2022-04-04 07:12:00;2022-04-04 14:13:00
22;336;2022-04-04 07:12:00;2022-04-04 14:13:00
23;361;2022-04-04 07:12:00;2022-04-04 14:13:00
24;75;2022-04-04 07:12:00;2022-04-04 15:10:00
25;128;2022-04-04 07:12:00;2022-04-04 15:10:00
26;199;2022-04-04 07:12:00;2022-04-04 15:10:00
27;312;2022-04-04 07:12:00;2022-04-04 15:10:00
28;337;2022-04-04 07:12:00;2022-04-04 15:10:00
29;362;2022-04-04 07:12:00;2022-04-04 15:10:00
30;8;2022-04-04 07:14:00;2022-04-04 14:39:00
31;129;2022-04-04 07:14:00;2022-04-04 14:39:00
32;200;2022-04-04 07:14:00;2022-04-04 14:39:00
33;313;2022-04-04 07:14:00;2022-04-04 14:39:00
34;338;2022-04-04 07:14:00;2022-04-04 14:39:00
35;363;2022-04-04 07:14:00;2022-04-04 14:39:00
36;82;2022-04-04 07:15:00;2022-04-04 15:37:00
37;398;2022-04-04 07:15:00;2022-04-04 15:37:00
38;201;2022-04-04 07:15:00;2022-04-04 15:37:00
39;314;2022-04-04 07:15:00;2022-04-04 15:37:00
40;339;2022-04-04 07:15:00;2022-04-04 15:37:00
41;364;2022-04-04 07:15:00;2022-04-04 15:37:00
42;16;2022-04-04 07:16:00;2022-04-04 14:23:00
43;131;2022-04-04 07:16:00;2022-04-04 14:23:00
44;202;2022-04-04 07:16:00;2022-04-04 14:23:00
45;315;2022-04-04 07:16:00;2022-04-04 14:23:00
46;340;2022-04-04 07:16:00;2022-04-04 14:23:00
47;388;2022-04-04 07:16:00;2022-04-04 14:23:00
48;90;2022-04-04 07:17:00;2022-04-04 14:56:00
49;133;2022-04-04 07:17:00;2022-04-04 14:56:00
50;204;2022-04-04 07:17:00;2022-04-04 14:56:00
51;317;2022-04-04 07:17:00;2022-04-04 14:56:00
52;342;2022-04-04 07:17:00;2022-04-04 14:56:00
53;367;2022-04-04 07:17:00;2022-04-04 14:56:00
54;57;2022-04-04 07:17:00;2022-04-04 15:41:00
55;132;2022-04-04 07:17:00;2022-04-04 15:41:00
56;394;2022-04-04 07:17:00;2022-04-04 15:41:00
57;316;2022-04-04 07:17:00;2022-04-04 15:41:00
58;341;2022-04-04 07:17:00;2022-04-04 15:41:00
59;366;2022-04-04 07:17:00;2022-04-04 15:41:00
60;5;2022-04-04 07:19:00;2022-04-04 14:15:00
61;134;2022-04-04 07:19:00;2022-04-04 14:15:00
62;205;2022-04-04 07:19:00;2022-04-04 14:15:00
63;318;2022-04-04 07:19:00;2022-04-04 14:15:00
64;343;2022-04-04 07:19:00;2022-04-04 14:15:00
65;368;2022-04-04 07:19:00;2022-04-04 14:15:00
66;105;2022-04-04 07:19:00;2022-04-04 14:55:00
67;396;2022-04-04 07:19:00;2022-04-04 14:55:00
68;206;2022-04-04 07:19:00;2022-04-04 14:55:00
69;319;2022-04-04 07:19:00;2022-04-04 14:55:00
70;344;2022-04-04 07:19:00;2022-04-04 14:55:00
71;369;2022-04-04 07:19:00;2022-04-04 14:55:00
72;117;2022-04-04 07:20:00;2022-04-04 14:21:00
73;137;2022-04-04 07:20:00;2022-04-04 14:21:00
74;208;2022-04-04 07:20:00;2022-04-04 14:21:00
75;321;2022-04-04 07:20:00;2022-04-04 14:21:00
76;346;2022-04-04 07:20:00;2022-04-04 14:21:00
77;371;2022-04-04 07:20:00;2022-04-04 14:21:00
78;78;2022-04-04 07:20:00;2022-04-04 15:58:00
79;136;2022-04-04 07:20:00;2022-04-04 15:58:00
80;207;2022-04-04 07:20:00;2022-04-04 15:58:00
81;320;2022-04-04 07:20:00;2022-04-04 15:58:00
82;345;2022-04-04 07:20:00;2022-04-04 15:58:00
83;370;2022-04-04 07:20:00;2022-04-04 15:58:00
84;15;2022-04-04 07:21:00;2022-04-04 14:29:00
85;138;2022-04-04 07:21:00;2022-04-04 14:29:00
86;209;2022-04-04 07:21:00;2022-04-04 14:29:00
87;322;2022-04-04 07:21:00;2022-04-04 14:29:00
88;347;2022-04-04 07:21:00;2022-04-04 14:29:00
89;372;2022-04-04 07:21:00;2022-04-04 14:29:00
90;107;2022-04-04 07:21:00;2022-04-04 15:36:00
91;139;2022-04-04 07:21:00;2022-04-04 15:36:00
92;210;2022-04-04 07:21:00;2022-04-04 15:36:00
93;323;2022-04-04 07:21:00;2022-04-04 15:36:00
94;348;2022-04-04 07:21:00;2022-04-04 15:36:00
95;386;2022-04-04 07:21:00;2022-04-04 15:36:00
96;399;2022-04-04 07:22:00;2022-04-04 14:11:00
97;211;2022-04-04 07:22:00;2022-04-04 14:11:00
98;324;2022-04-04 07:22:00;2022-04-04 14:11:00
99;349;2022-04-04 07:22:00;2022-04-04 14:11:00
100;374;2022-04-04 07:22:00;2022-04-04 14:11:00
101;24;2022-04-04 07:22:00;2022-04-04 15:29:00
102;141;2022-04-04 07:22:00;2022-04-04 15:29:00
103;212;2022-04-04 07:22:00;2022-04-04 15:29:00
104;325;2022-04-04 07:22:00;2022-04-04 15:29:00
105;350;2022-04-04 07:22:00;2022-04-04 15:29:00
106;375;2022-04-04 07:22:00;2022-04-04 15:29:00
107;50;2022-04-04 07:24:00;2022-04-04 14:32:00
108;142;2022-04-04 07:24:00;2022-04-04 14:32:00
109;165;2022-04-04 07:24:00;2022-04-04 14:32:00
110;181;2022-04-04 07:24:00;2022-04-04 14:32:00
111;213;2022-04-04 07:24:00;2022-04-04 14:32:00
112;326;2022-04-04 07:24:00;2022-04-04 14:32:00
113;351;2022-04-04 07:24:00;2022-04-04 14:32:00
114;376;2022-04-04 07:24:00;2022-04-04 14:32:00
115;380;2022-04-04 07:24:00;2022-04-04 14:32:00
116;72;2022-04-04 07:24:00;2022-04-04 15:19:00
117;143;2022-04-04 07:24:00;2022-04-04 15:19:00
118;166;2022-04-04 07:24:00;2022-04-04 15:19:00
119;182;2022-04-04 07:24:00;2022-04-04 15:19:00
120;214;2022-04-04 07:24:00;2022-04-04 15:19:00
121;327;2022-04-04 07:24:00;2022-04-04 15:19:00
122;352;2022-04-04 07:24:00;2022-04-04 15:19:00
123;377;2022-04-04 07:24:00;2022-04-04 15:19:00
124;385;2022-04-04 07:24:00;2022-04-04 15:19:00
125;109;2022-04-04 07:25:00;2022-04-04 14:52:00
126;145;2022-04-04 07:25:00;2022-04-04 14:52:00
127;168;2022-04-04 07:25:00;2022-04-04 14:52:00
128;184;2022-04-04 07:25:00;2022-04-04 14:52:00
129;216;2022-04-04 07:25:00;2022-04-04 14:52:00
130;329;2022-04-04 07:25:00;2022-04-04 14:52:00
131;354;2022-04-04 07:25:00;2022-04-04 14:52:00
132;379;2022-04-04 07:25:00;2022-04-04 14:52:00
133;61;2022-04-04 07:25:00;2022-04-04 14:52:00
134;38;2022-04-04 07:25:00;2022-04-04 15:32:00
135;144;2022-04-04 07:25:00;2022-04-04 15:32:00
136;167;2022-04-04 07:25:00;2022-04-04 15:32:00
137;183;2022-04-04 07:25:00;2022-04-04 15:32:00
138;215;2022-04-04 07:25:00;2022-04-04 15:32:00
139;328;2022-04-04 07:25:00;2022-04-04 15:32:00
140;353;2022-04-04 07:25:00;2022-04-04 15:32:00
141;378;2022-04-04 07:25:00;2022-04-04 15:32:00
142;382;2022-04-04 07:25:00;2022-04-04 15:32:00
143;29;2022-04-04 07:26:00;2022-04-04 14:25:00
144;146;2022-04-04 07:26:00;2022-04-04 14:25:00
145;395;2022-04-04 07:26:00;2022-04-04 14:25:00
146;185;2022-04-04 07:26:00;2022-04-04 14:25:00
147;217;2022-04-04 07:26:00;2022-04-04 14:25:00
148;23;2022-04-04 07:29:00;2022-04-04 14:22:00
149;147;2022-04-04 07:29:00;2022-04-04 14:22:00
150;170;2022-04-04 07:29:00;2022-04-04 14:22:00
151;186;2022-04-04 07:29:00;2022-04-04 14:22:00
152;218;2022-04-04 07:29:00;2022-04-04 14:22:00
153;35;2022-04-04 07:30:00;2022-04-04 14:32:00
154;220;2022-04-04 07:30:00;2022-04-04 14:32:00
155;20;2022-04-04 07:30:00;2022-04-04 14:51:00
156;219;2022-04-04 07:30:00;2022-04-04 14:51:00
157;102;2022-04-04 07:31:00;2022-04-04 14:39:00
