nr_zamowienia	data	magazyn	wielkosc_zamowienia
1	02.01.2021	Ogrodzieniec	1290
2	02.01.2021	Przemysl	4420
3	02.01.2021	Gniezno	5190
4	03.01.2021	Malbork	950
5	03.01.2021	Gniezno	6000
6	03.01.2021	Przemysl	8530
7	04.01.2021	Malbork	1140
8	04.01.2021	Przemysl	2460
9	05.01.2021	Gniezno	7520
10	05.01.2021	Przemysl	7920
11	05.01.2021	Ogrodzieniec	1430
12	06.01.2021	Malbork	1500
13	06.01.2021	Ogrodzieniec	5540
14	06.01.2021	Gniezno	7340
15	07.01.2021	Przemysl	8170
16	08.01.2021	Ogrodzieniec	9410
17	08.01.2021	Malbork	4660
18	09.01.2021	Ogrodzieniec	2240
19	09.01.2021	Przemysl	6760
20	10.01.2021	Gniezno	7850
21	11.01.2021	Przemysl	5440
22	11.01.2021	Malbork	5230
23	11.01.2021	Ogrodzieniec	9750
24	12.01.2021	Gniezno	4800
25	13.01.2021	Malbork	8650
26	14.01.2021	Ogrodzieniec	2260
27	14.01.2021	Przemysl	5000
28	14.01.2021	Malbork	1650
29	15.01.2021	Malbork	7060
30	15.01.2021	Ogrodzieniec	3260
31	15.01.2021	Gniezno	5760
32	16.01.2021	Przemysl	1990
33	17.01.2021	Malbork	5240
34	17.01.2021	Przemysl	2720
35	17.01.2021	Gniezno	3220
36	17.01.2021	Ogrodzieniec	3140
37	18.01.2021	Malbork	4150
38	19.01.2021	Malbork	3870
39	19.01.2021	Ogrodzieniec	1170
40	20.01.2021	Ogrodzieniec	2350
41	20.01.2021	Malbork	7700
42	21.01.2021	Gniezno	3210
43	21.01.2021	Malbork	1060
44	22.01.2021	Gniezno	2300
45	22.01.2021	Malbork	7840
46	23.01.2021	Ogrodzieniec	2870
47	24.01.2021	Ogrodzieniec	8690
48	25.01.2021	Gniezno	6450
49	26.01.2021	Malbork	3050
50	26.01.2021	Przemysl	7170
51	26.01.2021	Gniezno	1970
52	27.01.2021	Gniezno	3670
53	27.01.2021	Ogrodzieniec	7870
54	28.01.2021	Przemysl	7930
55	28.01.2021	Ogrodzieniec	1940
56	28.01.2021	Malbork	2340
57	29.01.2021	Malbork	8710
58	29.01.2021	Gniezno	1360
59	30.01.2021	Przemysl	6820
60	30.01.2021	Malbork	9020
61	31.01.2021	Ogrodzieniec	6900
62	31.01.2021	Przemysl	9230
63	31.01.2021	Malbork	790
64	01.02.2021	Malbork	7820
65	01.02.2021	Gniezno	2100
66	01.02.2021	Ogrodzieniec	6960
67	02.02.2021	Przemysl	2630
68	03.02.2021	Gniezno	9250
69	03.02.2021	Przemysl	6540
70	04.02.2021	Malbork	8470
71	04.02.2021	Ogrodzieniec	7770
72	04.02.2021	Przemysl	6270
73	05.02.2021	Gniezno	1480
74	06.02.2021	Ogrodzieniec	1820
75	06.02.2021	Przemysl	6460
76	07.02.2021	Ogrodzieniec	5920
77	07.02.2021	Malbork	8900
78	08.02.2021	Malbork	7370
79	08.02.2021	Ogrodzieniec	1970
80	09.02.2021	Malbork	7030
81	10.02.2021	Malbork	1000
82	10.02.2021	Ogrodzieniec	2620
83	11.02.2021	Malbork	9440
84	11.02.2021	Przemysl	8020
85	11.02.2021	Gniezno	5820
86	12.02.2021	Malbork	4850
87	12.02.2021	Przemysl	4910
88	13.02.2021	Przemysl	5690
89	13.02.2021	Ogrodzieniec	1870
90	14.02.2021	Przemysl	1800
91	14.02.2021	Gniezno	4150
92	15.02.2021	Ogrodzieniec	3780
93	16.02.2021	Malbork	3330
94	16.02.2021	Ogrodzieniec	1570
95	16.02.2021	Gniezno	1590
96	17.02.2021	Przemysl	7240
97	17.02.2021	Ogrodzieniec	9690
98	17.02.2021	Malbork	5600
99	18.02.2021	Przemysl	1740
100	19.02.2021	Przemysl	5430
101	20.02.2021	Malbork	8190
102	20.02.2021	Przemysl	1470
103	21.02.2021	Gniezno	1620
104	21.02.2021	Ogrodzieniec	6700
105	22.02.2021	Ogrodzieniec	5570
106	22.02.2021	Malbork	4070
107	22.02.2021	Gniezno	6500
108	23.02.2021	Gniezno	6050
109	23.02.2021	Przemysl	6880
110	24.02.2021	Przemysl	3790
111	25.02.2021	Przemysl	4560
112	25.02.2021	Gniezno	3910
113	25.02.2021	Ogrodzieniec	5060
114	26.02.2021	Malbork	9440
115	26.02.2021	Ogrodzieniec	5100
116	27.02.2021	Przemysl	4360
117	27.02.2021	Gniezno	6220
118	28.02.2021	Ogrodzieniec	4290
119	28.02.2021	Gniezno	1260
120	01.03.2021	Przemysl	9520
121	01.03.2021	Ogrodzieniec	8650
122	02.03.2021	Gniezno	9080
123	02.03.2021	Przemysl	1510
124	03.03.2021	Ogrodzieniec	6850
125	04.03.2021	Ogrodzieniec	6210
126	05.03.2021	Ogrodzieniec	3340
127	05.03.2021	Przemysl	3450
128	06.03.2021	Malbork	3270
129	06.03.2021	Gniezno	3580
130	06.03.2021	Przemysl	9560
131	07.03.2021	Ogrodzieniec	5310
132	08.03.2021	Ogrodzieniec	9130
133	08.03.2021	Przemysl	8710
134	09.03.2021	Ogrodzieniec	1920
135	09.03.2021	Przemysl	4330
136	10.03.2021	Gniezno	6010
137	10.03.2021	Przemysl	8680
138	10.03.2021	Malbork	6950
139	11.03.2021	Przemysl	3280
140	12.03.2021	Gniezno	9590
141	12.03.2021	Ogrodzieniec	820
142	13.03.2021	Ogrodzieniec	5220
143	14.03.2021	Gniezno	6210
144	14.03.2021	Przemysl	3180
145	15.03.2021	Ogrodzieniec	6860
146	16.03.2021	Ogrodzieniec	2020
147	16.03.2021	Przemysl	3650
148	17.03.2021	Ogrodzieniec	9720
149	18.03.2021	Przemysl	7840
150	18.03.2021	Ogrodzieniec	6780
151	18.03.2021	Gniezno	3490
152	18.03.2021	Malbork	9980
153	19.03.2021	Malbork	7850
154	19.03.2021	Gniezno	9770
155	20.03.2021	Gniezno	750
156	20.03.2021	Malbork	8900
157	20.03.2021	Ogrodzieniec	9410
158	21.03.2021	Gniezno	9310
159	21.03.2021	Ogrodzieniec	2480
160	21.03.2021	Przemysl	1740
161	22.03.2021	Ogrodzieniec	860
162	23.03.2021	Przemysl	1830
163	24.03.2021	Gniezno	1770
164	24.03.2021	Malbork	7830
165	24.03.2021	Ogrodzieniec	8300
166	25.03.2021	Przemysl	1050
167	25.03.2021	Malbork	5150
168	25.03.2021	Gniezno	6860
169	26.03.2021	Ogrodzieniec	1300
170	26.03.2021	Przemysl	8800
171	27.03.2021	Gniezno	1250
172	28.03.2021	Przemysl	3910
173	28.03.2021	Ogrodzieniec	1460
174	28.03.2021	Malbork	6470
175	28.03.2021	Gniezno	6580
176	29.03.2021	Ogrodzieniec	8090
177	30.03.2021	Ogrodzieniec	4230
178	31.03.2021	Malbork	2750
179	31.03.2021	Przemysl	5660
180	01.04.2021	Ogrodzieniec	3540
181	01.04.2021	Malbork	2630
182	02.04.2021	Gniezno	1030
183	02.04.2021	Ogrodzieniec	4560
184	03.04.2021	Przemysl	6400
185	04.04.2021	Przemysl	3040
186	04.04.2021	Gniezno	6450
187	05.04.2021	Gniezno	7650
188	06.04.2021	Przemysl	7190
189	06.04.2021	Ogrodzieniec	7100
190	06.04.2021	Malbork	8950
191	07.04.2021	Ogrodzieniec	7650
192	07.04.2021	Gniezno	3350
193	08.04.2021	Ogrodzieniec	8230
194	08.04.2021	Malbork	4860
195	08.04.2021	Gniezno	2250
196	09.04.2021	Ogrodzieniec	9980
197	09.04.2021	Gniezno	6320
198	09.04.2021	Malbork	4600
199	10.04.2021	Przemysl	9150
200	11.04.2021	Malbork	4940
201	12.04.2021	Przemysl	7550
202	12.04.2021	Ogrodzieniec	4460
203	13.04.2021	Przemysl	1680
204	13.04.2021	Malbork	5220
205	13.04.2021	Gniezno	6180
206	14.04.2021	Ogrodzieniec	6780
207	14.04.2021	Gniezno	6770
208	14.04.2021	Malbork	2070
209	15.04.2021	Ogrodzieniec	6720
210	15.04.2021	Gniezno	5160
211	15.04.2021	Malbork	3130
212	16.04.2021	Przemysl	6560
213	16.04.2021	Ogrodzieniec	1000
214	17.04.2021	Malbork	2660
215	17.04.2021	Gniezno	8880
216	17.04.2021	Ogrodzieniec	1800
217	18.04.2021	Gniezno	6820
218	18.04.2021	Malbork	3860
219	18.04.2021	Ogrodzieniec	6470
220	19.04.2021	Gniezno	1560
221	19.04.2021	Malbork	3420
222	19.04.2021	Ogrodzieniec	5220
223	20.04.2021	Malbork	6100
224	20.04.2021	Przemysl	3800
225	21.04.2021	Malbork	3170
226	21.04.2021	Ogrodzieniec	4140
227	21.04.2021	Przemysl	2060
228	22.04.2021	Przemysl	8220
229	23.04.2021	Malbork	9490
230	23.04.2021	Ogrodzieniec	950
231	24.04.2021	Przemysl	3110
232	25.04.2021	Gniezno	6010
233	25.04.2021	Malbork	1220
234	25.04.2021	Ogrodzieniec	8060
235	26.04.2021	Malbork	4040
236	27.04.2021	Gniezno	950
237	27.04.2021	Przemysl	9470
238	27.04.2021	Malbork	4760
239	28.04.2021	Ogrodzieniec	9390
240	28.04.2021	Przemysl	4520
241	29.04.2021	Przemysl	8460
242	30.04.2021	Ogrodzieniec	4880
243	01.05.2021	Ogrodzieniec	3980
244	02.05.2021	Ogrodzieniec	3980
245	03.05.2021	Gniezno	2130
246	03.05.2021	Przemysl	7520
247	04.05.2021	Przemysl	3900
248	05.05.2021	Przemysl	8960
249	05.05.2021	Ogrodzieniec	3070
250	06.05.2021	Ogrodzieniec	1950
251	06.05.2021	Malbork	4340
252	07.05.2021	Malbork	8510
253	07.05.2021	Ogrodzieniec	9810
254	07.05.2021	Gniezno	5560
255	07.05.2021	Przemysl	8340
256	08.05.2021	Przemysl	4510
