Id_meczu;Data;Id_klubu;Sety_wygrane;Sety_przegrane;Id_sedziego
1;2019-10-16;102;1;3;319
2;2019-10-19;106;3;2;306
3;2019-10-19;109;0;3;317
4;2019-10-19;104;0;3;307
5;2019-10-20;105;1;3;312
6;2019-10-20;113;3;2;320
7;2019-10-20;112;1;3;305
8;2019-10-20;119;3;0;312
9;2019-10-20;102;3;2;308
10;2019-10-24;104;3;2;308
11;2019-10-24;105;2;3;307
12;2019-10-24;112;3;1;314
13;2019-10-24;111;0;3;320
14;2019-10-24;107;1;3;313
15;2019-10-24;113;2;3;307
16;2019-10-27;120;3;0;301
17;2019-11-01;118;3;2;301
18;2019-11-01;109;2;3;303
19;2019-11-01;108;2;3;308
20;2019-11-01;116;3;0;316
21;2019-11-01;103;3;1;313
22;2019-11-01;114;3;0;313
23;2019-11-01;104;1;3;302
24;2019-11-04;119;1;3;314
25;2019-11-04;114;3;1;319
26;2019-11-04;104;2;3;306
27;2019-11-04;118;3;2;307
28;2019-11-06;103;3;1;305
29;2019-11-06;106;3;2;307
30;2019-11-06;108;2;3;313
31;2019-11-06;117;2;3;312
32;2019-11-06;116;0;3;312
33;2019-11-11;105;2;3;306
34;2019-11-12;116;3;2;312
35;2019-11-12;106;1;3;302
36;2019-11-12;102;3;1;305
37;2019-11-15;118;0;3;320
38;2019-11-15;114;1;3;317
39;2019-11-15;117;3;1;303
40;2019-11-18;107;2;3;313
41;2019-11-18;109;0;3;314
42;2019-11-18;104;3;2;317
43;2019-11-18;105;3;0;319
44;2019-11-18;101;2;3;307
45;2019-11-22;104;3;1;305
46;2019-11-22;116;1;3;312
47;2019-11-27;103;3;1;310
48;2019-11-27;111;3;1;312
49;2019-11-27;115;1;3;308
50;2019-12-01;110;3;0;311
51;2019-12-01;108;3;2;311
52;2019-12-04;107;3;0;317
53;2019-12-04;113;3;1;319
54;2019-12-04;103;0;3;307
55;2019-12-04;116;1;3;313
56;2019-12-05;110;3;2;301
57;2019-12-05;119;3;0;308
58;2019-12-05;118;1;3;308
59;2019-12-08;120;0;3;302
60;2019-12-08;114;1;3;316
61;2019-12-08;107;3;1;305
62;2019-12-08;109;3;2;310
63;2019-12-08;106;3;2;308
64;2019-12-08;112;3;2;312
65;2019-12-08;103;1;3;314
66;2019-12-13;117;1;3;314
67;2019-12-13;103;2;3;310
68;2019-12-13;115;1;3;320
69;2019-12-13;113;0;3;308
70;2019-12-13;109;3;2;308
71;2019-12-13;111;2;3;317
72;2019-12-14;112;0;3;313
73;2019-12-14;119;2;3;317
74;2019-12-14;109;3;2;319
75;2019-12-14;108;3;1;316
76;2019-12-14;101;3;0;302
77;2019-12-15;109;3;0;317
78;2019-12-15;116;2;3;303
79;2019-12-15;108;3;0;310
80;2019-12-17;115;3;0;320
81;2019-12-17;111;2;3;303
82;2019-12-17;109;3;2;310
83;2019-12-17;117;3;2;310
84;2019-12-17;110;3;1;320
85;2019-12-17;120;0;3;307
86;2019-12-21;101;3;1;308
87;2019-12-21;109;3;1;310
88;2019-12-21;102;0;3;311
89;2019-12-23;102;3;1;308
90;2019-12-23;101;1;3;302
91;2019-12-23;107;2;3;308
92;2019-12-28;109;2;3;320
93;2019-12-28;110;3;1;306
94;2019-12-28;114;3;0;320
95;2019-12-28;117;2;3;303
96;2019-12-28;102;0;3;317
97;2019-12-28;104;3;2;310
98;2019-12-31;110;1;3;316
99;2019-12-31;115;3;1;310
100;2019-12-31;107;1;3;301
101;2019-12-31;108;3;1;313
102;2019-12-31;120;3;1;311
103;2019-12-31;104;3;1;311
104;2019-12-31;106;3;1;310
105;2020-01-01;111;0;3;317
106;2020-01-01;120;3;2;303
107;2020-01-01;108;3;2;310
108;2020-01-01;105;3;2;319
109;2020-01-01;115;1;3;317
110;2020-01-01;117;3;2;313
111;2020-01-01;119;0;3;313
112;2020-01-03;105;1;3;303
113;2020-01-03;112;2;3;319
114;2020-01-03;116;3;0;308
115;2020-01-04;118;3;1;311
116;2020-01-04;101;3;0;317
117;2020-01-04;114;2;3;305
118;2020-01-04;115;3;0;303
119;2020-01-06;103;1;3;317
120;2020-01-06;110;3;0;312
121;2020-01-06;105;3;1;302
122;2020-01-06;120;2;3;320
123;2020-01-06;101;3;0;308
124;2020-01-10;108;0;3;317
125;2020-01-10;102;3;0;305
126;2020-01-10;118;1;3;311
127;2020-01-10;106;1;3;307
128;2020-01-10;115;3;1;303
129;2020-01-10;116;3;0;314
130;2020-01-15;111;3;0;308
131;2020-01-15;118;3;2;307
132;2020-01-15;112;0;3;302
133;2020-01-20;104;1;3;301
134;2020-01-25;115;3;2;316
135;2020-01-25;105;0;3;317
136;2020-01-25;116;1;3;320
137;2020-01-25;108;0;3;317
138;2020-01-25;104;3;2;308
139;2020-01-25;111;3;2;306
140;2020-01-25;117;1;3;316
141;2020-01-28;106;3;1;302
142;2020-01-31;104;3;2;311
143;2020-01-31;114;3;0;312
144;2020-01-31;103;2;3;308
145;2020-01-31;109;3;1;314
146;2020-02-05;102;3;1;305
147;2020-02-05;115;3;2;306
148;2020-02-05;120;3;1;316
149;2020-02-05;118;0;3;317
150;2020-02-05;116;3;1;308
151;2020-02-07;107;3;0;314
152;2020-02-07;120;3;0;302
153;2020-02-07;108;2;3;306
154;2020-02-07;110;2;3;313
155;2020-02-07;109;1;3;314
156;2020-02-09;106;3;1;302
157;2020-02-09;105;1;3;308
158;2020-02-12;115;0;3;320
159;2020-02-12;103;3;1;307
160;2020-02-12;113;3;1;313
161;2020-02-12;119;0;3;317
162;2020-02-12;109;0;3;305
163;2020-02-12;106;3;1;305
164;2020-02-12;120;2;3;316
165;2020-02-14;112;0;3;306
166;2020-02-14;108;3;0;319
167;2020-02-14;106;1;3;308
168;2020-02-14;115;3;1;301
169;2020-02-14;111;3;2;302
170;2020-02-16;114;3;0;310
171;2020-02-16;115;3;2;303
172;2020-02-16;117;1;3;308
173;2020-02-16;106;3;0;319
